start,end,total
11012928.684462,11018278.818962,5350.1345
11018279.272362,11023448.832862,5169.5605
11023449.038662,11029243.457162,5794.4185
11029243.597362,11034565.792962,5322.1956
11034565.942262,11040085.421162,5519.4789
11040085.556762,11045418.631262,5333.0745
11045418.768562,11050918.803562,5500.035
11050918.956862,11056575.298162,5656.3413
11056575.487062,11062011.255862,5435.7688
11062011.384062,11067378.056262,5366.6722
11067378.201162,11072764.826162,5386.625
11072764.965562,11078272.629262,5507.6637
11078272.802962,11083688.199162,5415.3962
11083688.315262,11089062.359662,5374.0444
11089062.487562,11094556.949062,5494.4615
11094557.080762,11099399.386562,4842.3058
11099399.506462,11104247.898062,4848.3916
11104248.011262,11109067.830862,4819.8196
11109067.963062,11113944.561262,4876.5982
11113944.712162,11118845.889362,4901.1772
11118846.012262,11123793.183062,4947.1708
11123793.347562,11128639.889062,4846.5415
11128640.016862,11133498.379462,4858.3626
11133498.499262,11138397.668362,4899.1691
11138397.781362,11143238.465162,4840.6838
11143238.601262,11148073.558862,4834.9576
11148073.681362,11152949.990662,4876.3093
11152950.116562,11157793.774862,4843.6583
11157793.910162,11162679.769862,4885.8597
11162679.898162,11167536.739562,4856.8414
11167536.872862,11172422.880962,4886.0081
11172423.021062,11177320.506862,4897.4858
11177320.639362,11182205.988762,4885.3494
11182206.109662,11187121.391862,4915.2822
11187121.554562,11192794.231362,5672.6768
11192794.357862,11198104.657362,5310.2995
11198104.807562,11203043.953462,4939.1459
11203044.064762,11207959.646062,4915.5813
11207959.800962,11212750.256262,4790.4553
11212750.381262,11217714.379762,4963.9985
11217714.495962,11222624.427962,4909.932
11222624.561862,11227727.313162,5102.7513
11227727.432862,11232897.306662,5169.8738
11232897.416362,11238047.905762,5150.4894
11238048.125762,11242902.900062,4854.7743
11242903.011662,11247692.338462,4789.3268
11247692.456262,11252547.341762,4854.8855
11252547.470162,11257496.040362,4948.5702
11257496.150562,11262413.053962,4916.9034
11262413.207862,11267252.891162,4839.6833
