start,end,total
11574700.293962,11575426.884162,726.5902
11575427.345462,11576190.241162,762.8957
11576190.784062,11576893.261162,702.4771
11576893.398262,11577608.992062,715.5938
11577609.161962,11578268.901862,659.7399
11578269.044262,11578960.351562,691.3073
11578960.491662,11579655.325362,694.8337
11579655.465162,11580340.880062,685.4149
11580341.014662,11581019.826062,678.8114
11581019.953262,11581718.950762,698.9975
11581719.091962,11582392.520362,673.4284
11582392.666262,11583078.524962,685.8587
11583078.683862,11583800.848062,722.1642
11583801.003162,11584501.054362,700.0512
11584501.174162,11585231.578562,730.4044
11585231.708362,11585925.603262,693.8949
11585925.721762,11586632.820662,707.0989
11586632.946762,11587304.118262,671.1715
11587304.240662,11588026.885662,722.645
11588027.014162,11588723.807862,696.7937
11588723.954162,11589426.401662,702.4475
11589426.528962,11590106.330562,679.8016
11590106.457062,11590827.523662,721.0666
11590827.641262,11591517.030962,689.3897
11591517.166262,11592235.825462,718.6592
11592235.942062,11592964.322662,728.3806
11592964.448162,11593674.794862,710.3467
11593674.918362,11594353.890762,678.9724
11594354.010162,11595036.959762,682.9496
11595037.083362,11595753.900462,716.8171
11595754.015562,11596442.122262,688.1067
11596442.247462,11597150.605062,708.3576
11597150.729662,11597856.181462,705.4518
11597856.300262,11598550.508162,694.2079
11598550.632462,11599222.878362,672.2459
11599222.997662,11599949.248662,726.251
11599949.367362,11600661.562862,712.1955
11600661.695962,11601385.774662,724.0787
11601385.902662,11602100.719162,714.8165
11602100.843662,11602794.999262,694.1556
11602795.117262,11603521.762962,726.6457
11603521.905262,11604407.420062,885.5148
11604407.546762,11605154.001462,746.4547
11605154.109962,11605857.627062,703.5171
11605857.743962,11606536.123662,678.3797
11606536.233162,11607241.250662,705.0175
11607241.367862,11607980.760562,739.3927
11607980.867562,11608696.676862,715.8093
11608696.792062,11609403.363962,706.5719
11609403.479362,11610125.323962,721.8446
