start,end,total
9775436.939462,9776112.926762,675.9873
9776113.405962,9776736.743362,623.3374
9776736.884262,9777345.923662,609.0394
9777346.041062,9777959.030762,612.9897
9777959.155362,9778552.089662,592.9343
9778552.221262,9779154.322262,602.101
9779154.433662,9779775.905662,621.472
9779776.034462,9780373.498962,597.4645
9780373.631162,9781013.827662,640.1965
9781013.949762,9781618.663362,604.7136
9781618.782662,9782201.652562,582.8699
9782201.858062,9782831.292162,629.4341
9782831.437262,9783442.060962,610.6237
9783442.507062,9784056.214762,613.7077
9784056.349362,9784650.795462,594.4461
9784650.921662,9785253.173762,602.2521
9785253.270762,9785884.109962,630.8392
9785884.222762,9786483.515262,599.2925
9786483.634262,9787066.208862,582.5746
9787066.310562,9787649.550462,583.2399
9787649.701262,9788255.868462,606.1672
9788255.987662,9788846.652062,590.6644
9788846.839762,9789478.903862,632.0641
9789479.005762,9790076.814362,597.8086
9790076.914662,9790702.980162,626.0655
9790703.080762,9791295.571862,592.4911
9791295.691862,9791895.948762,600.2569
9791896.046962,9792486.020662,589.9737
9792486.139762,9793087.276662,601.1369
9793087.411262,9793706.891462,619.4802
9793707.019162,9794316.103162,609.084
9794316.221662,9794946.790962,630.5693
9794946.913562,9795566.978062,620.0645
9795567.108662,9796243.563562,676.4549
9796243.685962,9796886.249862,642.5639
9796886.383462,9797534.854462,648.471
9797534.965062,9798133.527462,598.5624
9798133.642662,9798724.980662,591.338
9798725.080762,9799328.665962,603.5852
9799328.787862,9799932.328562,603.5407
9799932.446962,9800516.101062,583.6541
9800516.223762,9801128.614562,612.3908
9801128.735362,9801748.010362,619.275
9801748.131962,9802336.188762,588.0568
9802336.287662,9802943.079562,606.7919
9802943.253062,9803545.059962,601.8069
9803545.178962,9804148.832662,603.6537
9804148.932962,9804779.072862,630.1399
9804779.200262,9805381.371062,602.1708
9805381.491762,9806011.576762,630.085
