start,end,total
10288325.436962,10289610.848862,1285.4119
10289611.333062,10290926.950362,1315.6173
10290927.109162,10292166.295962,1239.1868
10292166.438462,10293414.479962,1248.0415
10293414.606662,10294595.303462,1180.6968
10294595.419062,10295765.526362,1170.1073
10295765.649962,10296925.034562,1159.3846
10296925.232062,10298108.981662,1183.7496
10298109.139962,10299275.966462,1166.8265
10299276.083062,10300440.790662,1164.7076
10300440.928862,10301627.544362,1186.6155
10301627.697662,10302785.174362,1157.4767
10302785.325962,10303938.869862,1153.5439
10303938.981862,10305137.842362,1198.8605
10305137.973362,10306310.496762,1172.5234
10306310.654962,10307467.429662,1156.7747
10307467.548362,10308621.805662,1154.2573
10308621.920162,10309783.772562,1161.8524
10309783.886262,10310926.465762,1142.5795
10310926.577762,10312086.124762,1159.547
10312086.218962,10313237.267762,1151.0488
10313237.393462,10314396.879662,1159.4862
10314397.015762,10315563.693562,1166.6778
10315563.842762,10316715.715662,1151.8729
10316715.904662,10317873.975562,1158.0709
10317874.070362,10319032.212662,1158.1423
10319032.325462,10320189.595462,1157.27
10320189.706162,10321324.904662,1135.1985
10321325.021262,10322477.160862,1152.1396
10322477.257962,10323637.091562,1159.8336
10323637.221262,10324795.456262,1158.235
10324795.599962,10325958.984962,1163.385
10325959.098762,10327131.609662,1172.5109
10327131.739462,10328289.071762,1157.3323
10328289.228862,10329440.684062,1151.4552
10329440.834862,10330597.108462,1156.2736
10330597.222562,10331806.308462,1209.0859
10331806.415862,10332978.310162,1171.8943
10332978.458862,10334128.433562,1149.9747
10334128.536362,10335279.506962,1150.9706
10335279.649762,10336443.613062,1163.9633
10336443.746962,10337602.351362,1158.6044
10337602.483662,10338798.665362,1196.1817
10338798.810562,10339981.253762,1182.4432
10339981.393462,10341137.545962,1156.1525
10341137.685662,10342300.826262,1163.1406
10342300.982262,10343451.756762,1150.7745
10343451.905262,10344595.163562,1143.2583
10344595.283462,10345755.989962,1160.7065
10345756.120162,10346923.056162,1166.936
