start,end,total
8499007.924662,8499108.763762,100.8391
8499109.217662,8499177.857462,68.6398
8499178.010462,8499318.085562,140.0751
8499318.212162,8499399.309762,81.0976
8499399.437062,8499471.063262,71.6262
8499471.177162,8499536.734862,65.5577
8499536.858162,8499628.218362,91.3602
8499628.343862,8499705.975362,77.6315
8499706.076962,8499773.259462,67.1825
8499773.370662,8499846.238562,72.8679
8499846.341562,8499916.155962,69.8144
8499916.262862,8499984.051362,67.7885
8499984.161862,8500039.967262,55.8054
8500040.084462,8500108.606862,68.5224
8500108.712262,8500193.917662,85.2054
8500194.038862,8500289.609562,95.5707
8500289.724762,8500363.600862,73.8761
8500363.714462,8500432.604062,68.8896
8500432.716962,8500501.034162,68.3172
8500501.159762,8500569.285562,68.1258
8500569.405062,8500638.687362,69.2823
8500638.800562,8500709.992762,71.1922
8500710.097062,8500770.531162,60.4341
8500770.633862,8500839.345962,68.7121
8500839.446162,8500909.721062,70.2749
8500909.824862,8500983.279262,73.4544
8500983.383262,8501051.012062,67.6288
8501051.109562,8501117.610162,66.5006
8501117.707362,8501179.138362,61.431
8501179.240662,8501248.344562,69.1039
8501248.440562,8501312.644262,64.2037
8501312.737962,8501386.045762,73.3078
8501386.154462,8501445.685862,59.5314
8501445.783062,8501508.759862,62.9768
8501508.862062,8501580.412962,71.5509
8501580.513062,8501643.602562,63.0895
8501643.725262,8501709.997262,66.272
8501710.102862,8501779.576862,69.474
8501779.675962,8501842.110062,62.4341
8501842.209862,8501908.627062,66.4172
8501908.738662,8501969.942462,61.2038
8501970.052662,8502038.676562,68.6239
8502038.792562,8502099.578262,60.7857
8502099.674762,8502169.131562,69.4568
8502169.249762,8502234.324262,65.0745
8502234.422062,8502308.254562,73.8325
8502308.350562,8502375.683262,67.3327
8502375.786362,8502436.969762,61.1834
8502437.079062,8502506.148762,69.0697
8502506.250562,8502569.091962,62.8414
