start,end,total
9460865.399362,9461728.922862,863.5235
9461729.425662,9462461.193662,731.768
9462461.336762,9463130.599562,669.2628
9463130.716162,9463833.458762,702.7426
9463833.587262,9464533.932562,700.3453
9464534.039662,9465280.809862,746.7702
9465280.926862,9465974.110762,693.1839
9465974.224762,9466717.047762,742.823
9466717.157262,9467423.119162,705.9619
9467423.276962,9468153.582062,730.3051
9468153.690162,9468879.681762,725.9916
9468879.797062,9469585.225062,705.428
9469585.359462,9470301.368362,716.0089
9470301.507662,9471003.533162,702.0255
9471003.640362,9471734.848062,731.2077
9471734.956962,9472464.024662,729.0677
9472464.155762,9473200.527662,736.3719
9473200.632262,9473886.309462,685.6772
9473886.409162,9474606.878562,720.4694
9474606.986462,9475327.105862,720.1194
9475327.214362,9476014.569962,687.3556
9476014.675762,9476741.719862,727.0441
9476741.847062,9477474.535762,732.6887
9477474.643562,9478195.771962,721.1284
9478195.869662,9478893.570762,697.7011
9478893.674962,9479588.925762,695.2508
9479589.023062,9480324.155562,735.1325
9480324.257862,9481026.789562,702.5317
9481026.889762,9481741.605362,714.7156
9481741.701662,9482474.333062,732.6314
9482474.447562,9483199.433662,724.9861
9483199.537662,9483934.676762,735.1391
9483934.784662,9484635.650762,700.8661
9484635.749662,9485339.006662,703.257
9485339.111762,9486076.564762,737.453
9486076.674962,9486797.168562,720.4936
9486797.265462,9487510.034062,712.7686
9487510.135562,9488227.782362,717.6468
9488227.883262,9488942.497962,714.6147
9488942.597762,9489677.022062,734.4243
9489677.123762,9490398.546162,721.4224
9490398.646562,9491119.400662,720.7541
9491119.500562,9491819.354562,699.854
9491819.455062,9492559.023862,739.5688
9492559.124062,9493289.441662,730.3176
9493289.539162,9494011.859962,722.3208
9494011.956662,9494729.778462,717.8218
9494729.874162,9495428.956562,699.0824
9495429.055062,9496121.475562,692.4205
9496121.571362,9496869.119862,747.5485
