(PDH-CSV 4.0) (Central European Summer Time)(-120),\\DESKTOP-940RFIL\Proces(chrome#6)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#5)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#4)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#6)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#5)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome)\Czas procesora (%)
58:24.9,56500224,84553728,14938112,217784320,4100096,3989504,82817024,0,115.1487033,0,0,0,1.693363284,40.64071881
58:25.9,55689216,84209664,15069184,208408576,4100096,3989504,82894848,0,117.9004914,0,1.572006552,0,0,33.0121376
58:26.8,54112256,71561216,15069184,192106496,4100096,3989504,84848640,3.158196115,112.1159621,0,0,0,0,36.31925532
58:27.9,54431744,71368704,15069184,190889984,4100096,3989504,84672512,0,117.4384358,0,0,0,0,37.08582183
58:28.9,54431744,70381568,15069184,153157632,4100096,3989504,84901888,0,114.0190018,0,1.561904134,0,0,28.1142744
58:29.8,54431744,69836800,15069184,146681856,4100096,3989504,84901888,0,106.0362708,0,6.330523627,0,0,0
58:30.8,54431744,69971968,15069184,133275648,4100096,3989504,84901888,0,110.8190455,0,6.243326508,0,0,0
58:31.8,54431744,70037504,15122432,96641024,4100096,3989504,84901888,0,117.124089,0,9.369927121,0,0,0
58:32.8,54431744,70213632,15122432,96296960,4100096,3989504,84901888,0,111.2857688,0,10.97183636,0,0,0
58:33.8,54431744,70262784,15122432,95772672,4100096,3989504,84901888,0,107.4292997,0,4.670839117,0,0,1.556946372
58:34.8,54431744,70328320,15122432,95068160,4100096,3989504,84901888,0,112.4574686,0,12.49527429,0,0,0
58:35.8,54431744,70594560,15122432,95068160,4100096,3989504,85970944,0,109.6204182,0,7.830029871,0,0,0
58:36.8,54431744,70660096,15122432,95334400,4100096,3989504,84905984,0,107.7914914,0,7.81097764,0,0,1.562195528
58:37.9,54431744,71217152,15122432,95334400,4100096,3989504,84905984,0,106.2765069,0,13.86215307,0,0,0
58:38.9,54431744,71544832,15122432,95334400,4100096,3989504,84905984,0,104.7307538,0,14.06831021,0,0,0
58:39.9,54431744,72134656,15122432,95330304,4100096,3989504,84901888,0,111.9007046,0,13.98758807,0,0,0
58:40.8,54431744,72200192,15122432,95367168,4100096,3989504,84901888,0,109.9031771,0,7.963998344,0,0,0
58:41.9,54431744,72527872,15122432,95367168,4100096,3989504,84901888,0,115.5024691,0,4.620098765,0,0,0
58:42.9,54431744,72593408,15048704,95322112,4100096,3895296,84037632,0,100.0289384,0,0,0,0,0
58:43.9,54431744,72658944,15265792,95322112,4100096,3895296,84037632,0,109.4615403,0,6.25494516,0,0,0
58:44.9,54431744,72658944,15265792,95322112,4100096,3895296,84037632,0,114.1639347,0,6.255558063,0,0,0
58:45.8,54431744,72986624,15265792,95322112,4100096,3895296,83869696,0,107.7529708,0,3.169205022,0,0,0
58:46.8,54431744,73015296,15265792,95322112,4100096,3895296,83869696,0,112.292618,0,9.357718166,0,0,0
58:47.8,54431744,73179136,15265792,95322112,4100096,3895296,83869696,0,107.7640924,0,12.49438752,0,0,0
58:48.8,54431744,73469952,15265792,95322112,4100096,3895296,83869696,0,111.3212243,0,9.407427402,0,0,1.567904567
58:49.9,54431744,74620928,15265792,95322112,4100096,3895296,83869696,0,112.421129,0,3.080030932,0,0,0
58:50.9,54394880,74686464,15265792,95322112,4100096,3895296,83869696,0,104.584244,0,9.365753192,0,0,0
58:51.9,54394880,74743808,15269888,95322112,4100096,3895296,83832832,0,107.7822347,0,9.372368239,0,0,0
58:52.9,54394880,75177984,15269888,95322112,4100096,3895296,83894272,0,116.6937106,0,6.223664563,0,0,0
58:53.8,54394880,75366400,15269888,95322112,4100096,3895296,83894272,0,106.6704938,0,3.184193845,0,0,0
58:54.9,54394880,75468800,15233024,95322112,4100096,3895296,83894272,0,104.5394626,0,6.149380152,0,0,0
58:55.9,54394880,75468800,15233024,95322112,4100096,3895296,83894272,0,115.3396727,0,7.79322113,0,0,0
58:56.8,54394880,75866112,15187968,95322112,4100096,3895296,83894272,0,106.8644027,0,7.974955424,0,0,0
58:57.8,54394880,75997184,15138816,95322112,4100096,3895296,83906560,0,107.3762625,0,1.556177717,0,0,0
58:58.9,54394880,76169216,15138816,95322112,4100096,3895296,83906560,0,106.4388534,0,6.170368312,0,0,0
58:59.9,54317056,76500992,15138816,95322112,4100096,3895296,83906560,0,113.6869352,0,14.01619749,0,0,0
59:00.8,54317056,76574720,15138816,95322112,4100096,3895296,83906560,0,105.0262375,0,0,0,0,0
59:01.9,54317056,76709888,15138816,95322112,4100096,3895296,83906560,0,107.4134162,0,3.068954748,0,0,0
59:02.8,54317056,77332480,15138816,95322112,4100096,3895296,83906560,0,106.6070886,0,14.32035518,0,0,0
59:03.9,54317056,77729792,15138816,95322112,4100096,3895296,83906560,0,115.7743925,0,10.80560997,0,0,0
59:04.9,54317056,77991936,15138816,95322112,4100096,3895296,83906560,0,105.7086455,0,6.310963911,0,0,0
59:05.8,54317056,75702272,15138816,95322112,4100096,3895296,83906560,0,108.4247747,0,7.856867732,0,0,0
59:06.9,54317056,76029952,15138816,95322112,4100096,3895296,83906560,0,110.0454904,0,7.642047942,0,0,0
59:07.8,54317056,75833344,15138816,95322112,4100096,3895296,83906560,0,108.2312157,0,3.18327105,0,0,0
59:08.9,54317056,75837440,15138816,95322112,4100096,3895296,83906560,0,117.2222657,0,0,0,0,0
