(PDH-CSV 4.0) (,\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne
44:16.0,27.92795432,24.82484828,58.95901467,0,0,246292480,212738048,123400192,29704192,14946304
44:17.0,37.1177466,15.46572775,106.7135215,0,0,261189632,212094976,127991808,26746880,14946304
44:18.0,3.174624782,9.523874347,101.587993,0,0,261206016,208949248,132435968,26746880,14946304
44:19.0,0,14.06207954,115.6215429,0,0,260534272,163631104,121520128,26746880,14946304
44:20.0,3.120874204,15.60437102,112.3514714,0,0,260493312,159502336,125734912,26746880,14946304
44:21.0,10.93749781,9.374998125,109.3749781,0,0,214847488,159502336,129830912,26701824,14946304
44:22.0,0,15.515883,110.1627693,0,0,211734528,159477760,135155712,26701824,14946304
44:23.0,0,15.62499844,109.3749891,0,0,211509248,152334336,133550080,26701824,14946304
44:24.0,1.562498906,17.18748797,115.6249191,0,0,213114880,152334336,121327616,26701824,14946304
44:25.0,12.47984754,12.47984754,115.4385898,0,0,209997824,151863296,125644800,26701824,14946304
44:26.0,6.249785632,6.249785632,112.4961414,0,0,209997824,157040640,130097152,26701824,14946304
44:27.0,3.099655973,9.298967919,105.3883031,0,0,209969152,157040640,134361088,26701824,14946304
44:28.0,4.762053277,11.11145765,104.7651721,0,0,209498112,157040640,130183168,26701824,14946304
44:29.0,0,7.812266413,112.4966364,0,0,209723392,121135104,133349376,26673152,14946304
44:30.0,4.680894789,10.92208784,109.2208784,0,0,209723392,121135104,138293248,26673152,14946304
44:31.0,3.124909065,7.812272663,104.6844537,0,0,209698816,121135104,142270464,26644480,14946304
44:32.0,3.103572932,6.207145865,117.9357714,0,0,211484672,121135104,121163776,26644480,14946304
44:33.0,6.153781927,9.230672891,109.2296292,0,0,211492864,121135104,125792256,26644480,14946304
44:34.0,6.349086382,9.523629573,107.9344685,0,0,211505152,121135104,130183168,26644480,14946304
44:35.0,4.681646537,9.363293075,112.3595169,0,0,211505152,121069568,134283264,26644480,14946304
44:36.0,0,6.24999,110.9373225,0,0,211935232,121192448,130473984,26619904,14946304
44:37.0,0,20.05085835,112.5932815,0,0,211324928,121192448,133410816,26619904,14946304
44:38.0,6.303823304,7.87977913,107.1649962,0,0,211324928,121192448,138285056,26619904,14946304
44:39.0,4.761929917,6.349239889,101.5878382,0,0,211324928,121192448,142233600,26619904,14946304
44:40.0,3.077022148,4.615533221,112.3113084,0,0,212168704,121192448,120344576,26619904,14946304
44:41.0,0,15.63610946,111.0163771,0,0,212123648,121192448,124866560,26619904,14946304
44:42.0,0,12.69877262,109.5269138,0,0,212148224,121192448,129101824,26656768,14946304
44:43.0,3.107747959,7.769369897,113.4328005,0,0,212172800,121192448,133234688,26656768,14946304
44:44.0,1.562497344,10.93748141,112.4998088,0,0,212172800,121192448,128876544,26656768,14946304
44:45.0,3.076909444,10.76918305,112.3071947,0,0,212189184,121192448,132796416,26656768,14946304
44:46.0,3.170825403,9.512476209,106.222651,0,0,212189184,121192448,137609216,26656768,14946304
44:47.0,3.124999375,10.93749781,115.6249769,0,0,211701760,121192448,141533184,26656768,14946304
44:48.0,1.555531685,6.222126739,115.1093447,0,0,212066304,121192448,129224704,26656768,14946304
44:49.0,1.562448127,10.93713689,104.6840245,0,0,212074496,121192448,124579840,26656768,14946304
44:50.0,1.562496406,6.249985625,104.6872592,0,0,212045824,121192448,128958464,26656768,14946304
44:51.0,1.560028603,9.360171616,107.6419736,0,0,212049920,121192448,133148672,26628096,14946304
44:52.0,1.538519406,16.92371346,115.3889554,0,0,211992576,121192448,137220096,26636288,14946304
44:53.0,6.304359974,11.03262996,107.1741196,0,0,211992576,121323520,131760128,26636288,14946304
44:54.0,4.761897506,11.11109418,109.5236426,0,0,211992576,121323520,136536064,26636288,14946304
44:55.0,4.687385159,6.249846879,109.3723204,0,0,211992576,121323520,140169216,26636288,14946304
44:56.0,3.120950567,14.04427755,112.3542204,0,0,211992576,121323520,143859712,26636288,14946304
44:57.0,0,10.76919472,121.5380547,0,0,212455424,121323520,123011072,26640384,14946304
44:58.0,9.481088641,6.320725761,105.8721565,0,0,212406272,121323520,127205376,26640384,14946304
44:59.0,54.68729219,12.4999525,110.9370784,0,0,249835520,121507840,131096576,26640384,14946304
45:00.0,43.0771097,21.53855485,113.8466471,0,0,277905408,123170816,153317376,26640384,14946304
45:01.0,7.887157466,14.19688344,107.2653415,0,0,277905408,123174912,149770240,26640384,14946304
45:02.0,9.523809524,17.46031746,107.9365079,0,0,277905408,123174912,153391104,26685440,14946304
45:03.0,15.52552177,13.97296959,111.7837568,0,0,256425984,123174912,157065216,26685440,14946304
45:04.0,12.49964126,17.18700673,109.371861,0,0,255025152,125943808,160755712,26685440,14946304
45:05.0,16.92354682,9.231025541,123.0803405,0,0,258408448,125943808,141434880,26685440,14946304
45:06.0,23.77418285,12.67956418,110.9461866,1.584945523,0,265900032,126373888,144134144,26845184,14983168
45:07.0,7.692312994,21.53847638,110.7693071,0,0,264966144,126373888,149045248,26992640,14983168
45:08.0,12.64181333,14.22204,107.4554133,0,0,254058496,126177280,153038848,26992640,14987264
45:09.0,10.9375,17.1875,98.4375,0,0,254054400,124051456,149643264,26992640,14987264
45:10.0,18.74947876,21.87439189,99.99722008,0,0,261521408,124276736,152985600,26992640,14987264
45:11.0,7.780194299,6.224155439,104.2546036,0,0,260718592,124145664,153038848,26992640,14987264
45:12.0,4.761736907,6.348982543,103.1709663,0,0,251265024,123179008,156889088,26992640,14987264
45:13.0,0,10.85034245,108.5034245,0,0,251265024,123179008,160616448,26992640,14987264
45:14.0,23.07699806,9.230799224,116.9234568,0,0,259420160,123179008,142802944,26992640,14987264
45:15.0,3.174609302,9.523827906,112.6986302,0,0,259420160,123179008,147795968,26992640,14987264
45:16.0,4.68133702,10.92311971,112.3520885,0,0,251351040,123179008,151932928,26992640,14987264
45:17.0,7.812492969,6.249994375,104.6874058,0,0,247832576,123179008,156049408,26992640,14987264
45:18.0,4.666908666,9.333817331,107.3388993,0,0,247984128,123179008,152236032,26992640,14987264
