(PDH-CSV 4.0) (Central European Summer Time)(-120),\\DESKTOP-940RFIL\Proces(chrome#6)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#5)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#4)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#6)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#5)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome)\Czas procesora (%)
14:38.1,74862592,55640064,14532608,163786752,4087808,3997696,84582400,53.93806783,3.172827519,1.58641376,12.69131008,0,0,49.17882655
14:39.1,76328960,46567424,14532608,154427392,4087808,3997696,84561920,104.2924195,6.226413102,0,9.339619653,0,0,17.12263603
14:40.1,63688704,46780416,14532608,147202048,4087808,3997696,84996096,132.9054167,0,0,6.328829367,0,0,25.31531747
14:41.1,62459904,46780416,14532608,135098368,4087808,3997696,87285760,123.1030921,0,0,1.538788652,0,0,30.77577304
14:42.1,62971904,46780416,14532608,126144512,4087808,3997696,87113728,122.1157094,0,0,0,0,0,25.37469286
14:43.1,62291968,46780416,14532608,117821440,4087808,3997696,87162880,126.4852578,0,0,6.170012574,0,0,37.02007544
14:44.1,62455808,46780416,14532608,117624832,4087808,3997696,87441408,117.1819456,0,0,17.18668535,0,0,1.562425941
14:45.1,62476288,46780416,14532608,98979840,4087808,3997696,87441408,118.8158113,0,0,19.01052981,0,0,0
14:46.1,62959616,46780416,14532608,83865600,4087808,3997696,87441408,129.3945895,0,0,10.9127967,0,0,0
14:47.1,63549440,46780416,14532608,83865600,4087808,3997696,87441408,120.5589066,0,0,24.73003213,0,0,0
14:48.1,64155648,46780416,14532608,83603456,4087808,3997696,87441408,120.5559645,0,0,22.20767767,0,0,0
14:49.1,64221184,46780416,14532608,83603456,4087808,3997696,87441408,118.3687933,0,0,15.57484122,0,0,0
14:50.1,64708608,46780416,14532608,83603456,4087808,3997696,87441408,110.8038916,0,0,16.92837233,0,0,0
14:51.1,65110016,46780416,14532608,83865600,4087808,3997696,87445504,128.3610688,0,0,10.95765222,0,0,0
14:52.1,65314816,46780416,14532608,83865600,4087808,3997696,87445504,117.4605135,0,0,14.09526162,0,0,0
14:53.1,66797568,46780416,14532608,83865600,4087808,3997696,87445504,120.518048,0,0,19.02916547,0,0,0
14:54.1,67166208,46780416,14532608,83865600,4087808,3997696,87441408,113.7580607,0,0,18.69995518,0,0,0
14:55.1,67629056,46780416,14536704,83820544,4055040,3903488,86810624,119.9139158,0,1.537357895,21.52301053,0,0,0
14:56.1,67883008,46780416,14491648,83820544,4055040,3903488,86810624,125.2362582,0,0,10.95817259,0,0,0
14:57.1,68534272,46780416,14491648,83820544,4055040,3903488,86810624,120.4519988,0,0,22.18852609,0,0,0
14:58.1,68739072,46780416,14491648,83820544,4055040,3903488,86450176,126.3079963,0,0,13.86307277,0,0,0
