(PDH-CSV 4.0) (,\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne
54:15.1,40.36582316,13.97278494,85.3892413,0,0,200404992,167292928,111329280,27328512,15097856
54:16.1,7.749341318,4.649604791,100.7414371,0,0,200396800,166375424,112246784,27328512,15097856
54:17.1,0,3.12121085,104.5605635,0,0,199684096,166375424,98856960,27328512,15097856
54:18.0,1.58730062,1.58730062,103.1745403,0,0,199647232,161984512,99639296,27328512,15097856
54:19.1,4.652079532,1.550693177,102.3457497,0,0,192561152,147062784,99889152,26296320,15097856
54:20.1,0,0,103.0809829,0,0,189243392,147062784,101072896,26562560,15097856
54:21.1,0,4.761906213,101.5873325,0,0,189243392,147062784,101593088,26562560,15097856
54:22.1,0,1.557142806,102.7714252,0,0,189243392,146931712,102146048,26562560,15097856
54:23.1,3.077024571,6.154049143,98.46478628,0,0,188014592,146407424,102637568,26562560,15097856
54:24.1,0,1.576086178,102.4456016,0,0,188014592,146407424,103112704,26562560,15097856
54:25.0,0,3.174711538,101.5907692,0,0,187973632,150528000,103583744,26562560,15097856
54:26.1,1.53846169,1.53846169,103.0769332,0,0,187944960,150528000,104087552,26562560,15097856
54:27.0,3.170028029,1.585014015,104.610925,0,0,188047360,150675456,104579072,26562560,15097856
54:28.0,0,3.124895628,96.87176448,0,0,187924480,148635648,105103360,26562560,15097856
54:29.1,3.104915852,1.552457926,100.9097652,0,0,187895808,148635648,105623552,26509312,15097856
54:30.1,3.076933378,4.615400066,98.46186808,0,0,187895808,115421184,106176512,26509312,15097856
54:31.1,0,1.587276916,101.5857227,0,0,187895808,115159040,106684416,26509312,15097856
54:32.1,0,0,99.88136092,0,0,187895808,115159040,107163648,26509312,15097856
54:33.1,0,0,99.99995,0,0,187895808,115159040,107659264,26509312,15097856
54:34.1,6.219734771,1.554933693,102.6256237,0,0,187924480,115081216,108126208,26480640,15097856
54:35.0,1.587302232,1.587302232,101.5873429,0,0,185163776,115081216,108638208,26480640,15097856
54:36.0,4.687345318,3.124896878,103.121597,0,0,186970112,115081216,109125632,26480640,15097856
54:37.0,0,1.560586721,99.87755012,0,0,186970112,115081216,109629440,26480640,15097856
54:38.1,1.538461841,6.153847366,100.0000197,0,0,186970112,115081216,110133248,26480640,15097856
54:39.1,1.576214803,3.152429605,102.4539622,0,0,186925056,115081216,110620672,26480640,15097856
54:40.1,0,3.124998125,101.5624391,0,0,186925056,115081216,111124480,26517504,15097856
54:41.1,0,4.615560035,104.6193608,0,0,186925056,115167232,111632384,26517504,15097856
54:42.1,0,3.170961501,101.470768,0,0,186925056,115167232,112103424,26517504,15097856
54:43.1,1.538463205,1.538463205,101.5385715,0,0,186925056,115167232,112553984,26517504,15097856
54:44.1,0,1.578471767,101.0221931,0,0,186925056,115167232,113033216,26517504,15097856
54:45.0,0,3.174602207,104.7618728,0,0,186925056,115167232,113475584,26517504,15097856
54:46.0,1.562445002,1.562445002,99.99648012,0,0,186925056,115167232,113946624,26517504,15097856
54:47.0,1.560577057,0,101.4375087,0,0,186884096,115167232,113385472,26517504,15097856
54:48.0,0,1.56249875,101.5624188,0,0,186884096,115167232,113905664,26517504,15097856
54:49.1,1.552271771,4.656815313,100.8976651,0,0,186884096,115167232,114417664,26488832,15097856
54:50.1,6.249773133,3.124886567,98.43392685,0,0,186884096,115167232,114892800,26488832,15097856
54:51.1,4.615546855,0,100.0035152,0,0,186884096,115167232,115380224,26497024,15097856
54:52.1,3.170396913,3.170396913,103.0378997,0,0,186884096,115167232,115810304,26497024,15097856
54:53.1,1.538468658,1.538468658,101.5389314,0,0,186884096,115167232,116162560,26497024,15097856
54:54.1,0,1.579363177,99.49988012,0,0,186884096,115167232,116633600,26497024,15097856
54:55.1,0,0,99.99812004,0,0,186884096,115167232,117100544,26497024,15097856
54:56.1,0,1.538457297,99.99972431,0,0,186884096,115167232,117596160,26513408,15097856
54:57.1,0,3.174708635,100.003322,0,0,186884096,115167232,118083584,26513408,15097856
54:58.1,1.560421051,4.681263153,102.9877894,0,0,186884096,115167232,118501376,26513408,15097856
54:59.1,3.154235027,0,102.5126384,0,0,186884096,115167232,118956032,26513408,15097856
55:00.1,0,4.615516861,101.5413709,0,0,186888192,115167232,119439360,26513408,15097856
55:01.1,0,4.761741744,99.99657663,0,0,187367424,115167232,119894016,26558464,15097856
55:02.1,1.538455782,3.076911565,106.153449,0,0,187367424,115167232,120373248,26558464,15097856
55:03.1,0,3.170521717,104.6272167,0,0,187367424,115167232,121827328,26558464,15097856
55:04.1,13.98581716,0,99.45469983,1.553979685,1.553979685,189935616,115105792,122937344,26583040,15138816
55:05.1,0,3.076928833,95.38479383,0,0,189980672,115105792,123502592,26656768,15138816
55:06.1,1.587301104,3.174602207,101.5872706,0,0,189943808,115105792,123940864,26669056,15138816
55:07.1,0,10.76923819,96.92314373,0,0,189943808,115105792,124473344,26669056,15138816
55:08.1,0,0,99.86637815,0,0,189943808,115105792,124887040,26669056,15138816
55:09.1,4.657718548,6.210291397,100.9172352,0,0,189517824,115105792,125366272,26669056,15138816
55:10.0,0,0,99.99652583,0,0,188710912,115105792,125804544,26669056,15138816
55:11.1,1.555402697,3.110805395,101.1011753,0,0,188710912,115105792,126291968,26669056,15138816
55:12.1,0,1.53850865,104.6185882,0,0,188710912,115105792,126730240,26669056,15138816
55:13.1,3.170127398,3.170127398,98.27394932,0,0,188710912,115105792,127139840,26669056,15138816
55:14.1,0,0,103.7902231,0,0,187019264,115105792,127586304,26669056,15138816
55:15.0,6.349169584,3.174584792,101.5867134,0,0,186851328,115105792,128024576,26669056,15138816
55:16.1,1.538466386,3.076932772,100.0003151,0,0,186269696,115105792,128503808,26669056,15138816
55:17.0,1.587302555,0,100.000061,0,0,186269696,115105792,128212992,26669056,15138816
55:18.0,4.68168675,4.68168675,99.87598399,0,0,186269696,115105792,127684608,26669056,15138816
55:19.1,6.20911114,1.552277785,100.898056,0,0,182759424,115105792,128098304,24920064,15138816
55:20.1,0,3.124994063,104.6873011,0,0,182759424,115105792,128507904,24920064,15138816
55:21.1,3.081798121,6.163596242,106.3220352,0,0,182759424,115105792,128913408,24924160,15138816
55:22.1,0,4.761824945,99.99832384,0,0,182759424,115105792,116314112,24924160,15138816
55:23.1,0,3.117800686,99.76962197,0,0,182759424,115105792,116744192,24924160,15138816
55:24.1,1.562491406,3.124982813,101.5619414,0,0,182759424,115105792,117157888,24924160,15138816
55:25.1,0,0,105.6579667,0,0,182759424,115105792,117551104,24924160,15138816
55:26.0,0,7.936531318,100.0002946,0,0,182759424,115105792,117121024,24924160,15138816
55:27.0,0,3.124990313,101.5621852,0,0,182759424,115105792,117514240,24924160,15138816
55:28.1,1.555444659,4.666333976,129.1019067,0,0,183017472,115101696,101568512,24924160,15138816
55:29.1,1.538462144,4.615386433,96.9231151,0,0,183017472,115101696,102277120,24924160,15138816
55:30.1,1.576133555,3.152267111,100.8725475,0,0,183119872,115101696,102154240,24924160,15138816
55:31.1,0,1.562449377,103.1216589,0,0,183119872,115101696,102641664,24924160,15138816
55:32.1,0,9.352942022,101.3235386,0,0,183119872,115101696,103153664,24924160,15138816
55:33.0,3.170443874,0,103.0394259,0,0,183119872,115101696,102920192,24924160,15138816
55:34.1,1.538512892,6.154051567,103.0803637,0,0,183119872,115101696,102428672,24924160,15138816
55:35.1,0,4.728281904,97.71782602,0,0,183054336,115101696,103260160,24895488,15138816
55:36.1,0,3.077024874,100.0033084,0,0,183054336,115101696,103751680,24895488,15110144
55:37.1,1.587254988,1.587254988,99.99706421,0,0,183054336,115101696,104226816,24895488,15110144
55:38.1,0,1.560541988,102.9957712,0,0,183054336,115101696,104747008,24895488,15110144
55:39.1,0,3.1249975,99.99992,0,0,183054336,115101696,104132608,24895488,15110144
55:40.1,4.65682364,6.209098187,102.4501201,0,0,183054336,115101696,104624128,24895488,15110144
55:41.1,1.573637894,3.147275789,99.13918734,0,0,183054336,115101696,105082880,24895488,15110144
55:42.1,4.615227385,1.538409128,99.99659335,0,0,183054336,115101696,105578496,24895488,15110144
55:43.1,1.5849071,3.169814199,101.4340544,0,0,183054336,115101696,105058304,24895488,15110144
55:44.1,0,1.562499688,103.1249794,0,0,183054336,115101696,105521152,24895488,15110144
55:45.1,7.750597528,4.650358517,100.7577679,0,0,183054336,115101696,105967616,24895488,15110144
55:46.0,3.174507073,4.761760609,104.7587334,0,0,183054336,115101696,106426368,24928256,15110144
55:47.1,3.077012755,3.077012755,101.5414209,0,0,183054336,115101696,105930752,24928256,15110144
55:48.0,0,6.341356756,103.0470473,0,0,183054336,115101696,106360832,24928256,15110144
55:49.1,1.538458963,3.076917927,101.5382916,0,0,183054336,115101696,106819584,24928256,15110144
55:50.1,1.575939136,1.575939136,99.28416558,0,0,183054336,115101696,107261952,24928256,15110144
55:51.1,0,1.538506226,101.5414109,0,0,183054336,115101696,106668032,24928256,15110144
55:52.1,0,1.587242572,101.5835246,0,0,183054336,115101696,107175936,24928256,15110144
55:53.1,0,1.538518345,100.0036924,0,0,183054336,115101696,107642880,24928256,15110144
55:54.1,0,0,101.9318603,0,0,183054336,115101696,108081152,24928256,15110144
55:55.1,1.577638705,1.577638705,99.39123845,0,0,183054336,115101696,108527616,24928256,15110144
55:56.1,0,3.124901253,101.5592907,0,0,183054336,115101696,107978752,24928256,15110144
55:57.1,1.562490469,4.687471406,101.5618805,0,0,183054336,115101696,108421120,24928256,15110144
55:58.1,1.53846881,6.153875238,103.0774102,0,0,183054336,115101696,108617728,24928256,15110144
55:59.1,3.138094326,3.138094326,101.9880656,0,0,183054336,115101696,109056000,24928256,15110144
56:00.1,1.574224827,3.148449653,100.7503889,0,0,183054336,115101696,108564480,24928256,15110144
56:01.0,0,0,100.0034033,0,0,183054336,115101696,108990464,24928256,15110144
56:02.1,1.53846684,1.53846684,100.0003446,0,0,183054336,115101696,109424640,24928256,15110144
56:03.0,0,1.587296589,99.99968508,0,0,183054336,115101696,109858816,24928256,15110144
56:04.0,28.08983153,0,88.95113318,0,0,194195456,115101696,109383680,24928256,15110144
56:05.1,27.9851331,4.664188851,101.0574251,17.10202579,0,196980736,115101696,116559872,33738752,15110144
56:06.1,16.92362848,4.615535039,96.92623582,3.077023359,3.077023359,201302016,115101696,116969472,35966976,21176320
56:07.1,0,9.523441889,98.40889952,0,0,201302016,115101696,117395456,35966976,21336064
56:08.1,3.077033358,0,103.0806175,0,0,201302016,115101696,117829632,35934208,21336064
56:09.1,0,1.585275816,98.2871006,0,0,201302016,115101696,117325824,35934208,21336064
56:10.1,1.551481687,3.102963375,100.8463097,0,0,201302016,115101696,117772288,35934208,21336064
56:11.1,1.573749635,1.573749635,99.14622697,0,0,201310208,115101696,118140928,36081664,21336064
56:12.1,0,1.562450158,99.9968101,0,0,201310208,115101696,118566912,36081664,21336064
56:13.1,3.124994375,3.124994375,101.5623172,0,0,201310208,115101696,118116352,36081664,21336064
56:14.1,0,3.120033219,102.9610962,0,0,201310208,115101696,118525952,36081664,21336064
56:15.1,0,1.549713162,102.2810687,0,0,201310208,115101696,118951936,36081664,21336064
56:16.0,0,3.174721214,101.5910788,0,0,201310208,115101696,119603200,36081664,21336064
56:17.0,0,3.125,100,0,0,201310208,115101696,119689216,36081664,21336064
56:18.1,3.076930348,7.69232587,101.5387015,0,0,201310208,115101696,120131584,36081664,21336064
56:19.1,3.170428113,3.170428113,101.4536996,0,0,198086656,115101696,120561664,36081664,21336064
56:20.1,0,1.552445123,100.908933,0,0,198086656,115101696,120979456,36081664,21336064
56:21.1,1.562493438,3.124986875,101.5620734,0,0,198086656,115101696,120631296,36081664,21336064
56:22.1,1.538465628,3.076931257,101.5387315,0,0,198086656,115101696,118915072,36081664,21336064
56:23.1,0,0,101.5861767,0,0,198086656,115101696,119308288,36081664,21336064
56:24.1,1.560622259,1.560622259,99.8798246,0,0,198086656,115101696,119771136,36081664,21336064
56:25.1,0,6.219757672,101.0710622,0,0,198086656,115101696,120274944,36081664,21336064
56:26.0,1.587301265,1.587301265,99.99997968,0,0,198086656,115101696,120692736,36081664,21336064
56:27.1,0,0,101.5384715,0,0,198086656,115101696,121126912,36081664,21336064
56:28.0,0,3.174487079,101.5835865,0,0,198086656,115101696,121540608,36081664,21336064
56:29.0,0,1.560600593,99.87843795,0,0,198086656,115101696,122019840,36081664,21336064
56:30.1,1.551751175,7.758755874,100.8638264,0,0,198189056,115101696,122437632,36081664,21336064
56:31.1,7.692559156,0,103.0802927,0,0,198189056,115101696,122855424,36081664,21336064
56:32.1,1.587248699,3.174497398,104.7584141,0,0,198189056,115101696,123256832,36081664,21336064
56:33.1,0,3.077023359,103.0802825,0,0,198189056,115101696,123674624,36081664,21336064
56:34.1,4.755831791,1.585277264,99.87246761,0,0,198189056,115101696,124002304,36081664,21336064
56:35.1,1.554766127,1.554766127,104.1693305,0,0,198115328,115101696,124411904,36081664,21336064
56:36.0,1.587301426,1.587301426,103.1745927,0,0,198115328,115101696,124792832,36081664,21336064
56:37.0,0,4.687498594,99.99997,0,0,198115328,115101696,125235200,36081664,21336064
56:38.0,0,0,99.99635013,0,0,198115328,115101696,125661184,36081664,21336064
56:39.1,0,0,100.0000492,0,0,198115328,115101696,126050304,36081664,21336064
56:40.1,0,1.574782516,100.786081,0,0,198115328,115101696,126459904,36081664,21336064
56:41.1,1.560916918,1.560916918,129.5561042,0,0,197804032,115113984,110743552,36081664,21336064
56:42.1,1.562455158,4.687365473,101.5595852,0,0,197812224,115113984,111353856,36081664,21336064
56:43.1,1.538508801,1.538508801,100.0030721,0,0,197812224,115113984,111890432,36081664,21336064
56:44.1,0,1.587245958,103.1709873,0,0,197812224,115113984,112402432,36081664,21336064
56:45.1,3.095076798,0,100.5899959,0,0,197914624,115113984,112902144,36081664,21336064
56:46.0,3.174612527,0,100.0002946,0,0,197914624,115113984,112545792,36081664,21336064
56:47.0,1.562497188,4.687491563,104.6873116,0,0,197914624,115113984,113049600,36081664,21336064
56:48.0,0,0,98.43723422,0,0,197914624,116162560,113602560,36081664,21336064
56:49.1,1.538467901,4.615403702,101.5388814,0,0,197914624,116162560,114085888,36081664,21336064
56:50.1,0,0,100.7802914,0,0,197914624,116162560,114569216,36081664,21336064
56:51.1,4.687462969,1.562487656,106.2491606,0,0,197914624,116162560,115068928,36081664,21336064
56:52.1,1.538463205,4.615389614,106.1539611,0,0,197914624,116162560,115568640,36081664,21336064
56:53.1,9.523832744,0,100.0002438,0,0,197914624,116162560,116031488,36081664,21336064
56:54.1,1.5625,0,100,0,0,197914624,116162560,116506624,36081664,21336064
