(PDH-CSV 4.0) (Central European Summer Time)(-120),\\DESKTOP-940RFIL\Proces(chrome#6)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#5)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#4)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#6)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#5)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome)\Czas procesora (%)
08:30.1,54845440,56786944,16142336,95707136,4100096,4067328,88956928,0.813691387,250.8881778,0.542460925,1.898613237,0,0.271230462,33.09011642
08:30.3,54845440,56958976,15114240,95707136,4100096,4067328,89432064,0,291.4193446,0,0,0,0,12.40082318
08:31.3,46276608,58232832,15114240,79036416,4100096,4087808,90505216,4.754056313,343.87674,0,0,0,0,4.754056313
08:32.3,46276608,59125760,15114240,77987840,4100096,4087808,90505216,0,372.3935061,0,0,0,0,0
08:33.3,46276608,61370368,15233024,74641408,4100096,4087808,90509312,0,384.8063173,0,1.551638376,0,0,3.103276752
08:34.3,45424640,63041536,15233024,72208384,4100096,4087808,90509312,0,376.0111604,0,0,0,0,0
08:35.3,45424640,53608448,15233024,72208384,4100096,4087808,90509312,0,374.3166004,0,0,0,0,0
08:36.3,45424640,53923840,15233024,71892992,4100096,4087808,90505216,0,388.29519,0,0,0,0,0
08:37.3,45424640,55537664,15233024,71892992,4100096,4087808,90505216,0,393.7879555,0,0,0,0,0
08:38.3,45424640,59887616,15233024,71237632,4100096,4087808,90505216,0,381.2868569,0,0,0,0,0
08:39.3,45424640,58736640,15233024,70135808,4100096,4087808,90505216,0,399.9261507,0,0,0,0,0
08:40.3,45424640,60088320,15233024,70135808,4100096,4087808,90505216,0,385.1010101,0,0,0,0,0
08:41.3,45424640,61566976,15233024,70135808,4100096,4087808,90505216,0,382.4626485,0,0,0,0,0
08:42.3,45424640,62226432,15233024,70135808,4100096,4087808,90505216,0,398.0095542,0,0,0,0,0
08:43.3,45903872,67604480,15233024,114257920,4063232,4022272,84652032,1.585546875,296.4972657,0,9.513281251,0,0,6.342187501
08:44.3,45903872,67973120,15233024,113160192,4063232,4022272,84779008,0,387.5488312,0,0,0,0,0
08:45.3,45903872,68210688,15187968,112103424,4063232,4022272,84779008,0,389.8330526,0,0,0,0,0
08:46.3,45903872,67469312,15187968,112021504,4063232,4022272,84779008,0,389.4566301,0,0,0,0,0
08:47.3,45903872,71577600,15187968,109793280,4063232,4022272,84389888,0,2427.813665,0,0,0,0,0
08:53.3,45903872,72069120,15187968,109793280,4063232,4022272,84389888,0,44.36696175,0,0,0,0,0
08:54.3,45903872,78065664,15187968,109793280,4063232,4022272,84402176,0,386.010825,0,0,0,0,1.537891733
08:55.3,45903872,77811712,15187968,109793280,4063232,4022272,84402176,0,387.5001938,0,0,0,0,0
08:56.3,45903872,78401536,15187968,109793280,4063232,4022272,84402176,0,381.2499238,0,0,0,0,0
08:57.3,45903872,79814656,15187968,109793280,4063232,4022272,84402176,0,385.5319815,0,0,0,0,0
08:58.3,45903872,80306176,15196160,109793280,4063232,4022272,84402176,0,391.0207304,0,0,0,0,0
08:59.3,45944832,81502208,15196160,122355712,4063232,4022272,84447232,1.543189301,307.0946708,0,0,0,0,7.715946503
09:00.3,45944832,77504512,15196160,121303040,4063232,4022272,84447232,0,349.8608307,0,0,0,0,0
