(PDH-CSV 4.0) (,\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne
53:26.6,20.13242798,8.289823288,554.2338998,0,0,216862720,136327168,92983296,26824704,14995456
53:28.5,1.607119751,0,164.7297745,0,0,217104384,136327168,193277952,26824704,14995456
53:29.3,5.660377358,0,696.2264151,0,0,216985600,119193600,211726336,26824704,14995456
53:30.3,9.83604287,1.639340478,237.7043694,0,0,188747776,119193600,252862464,26824704,14995456
53:32.2,1.601064111,0.800532055,360.2394249,0,0,189669376,118931456,289574912,26775552,14995456
53:34.0,0.869566718,0,346.9571203,0,0,186437632,118931456,304091136,26775552,14995456
53:34.2,0,0,24.99941335,0,0,186437632,118931456,290963456,26775552,14995456
53:35.2,3.076935498,0,504.6174217,0,0,187256832,118931456,316723200,26775552,14995456
53:36.2,0,0,317.1873414,0,0,187224064,118931456,317370368,26775552,14995456
53:37.3,2.901996648,1.450998324,399.0245391,0,0,187772928,118931456,329916416,26775552,14995456
53:38.4,0,0,314.7064747,0,0,187731968,118931456,331739136,26775552,14995456
53:39.2,5.45454482,1.818181607,510.9090315,0,0,187195392,118931456,351666176,26775552,14995456
53:40.3,3.076923683,0,333.8462196,0,0,187166720,118931456,359305216,26775552,14995456
53:41.4,0,0,574.887009,0,0,187445248,122929152,379199488,26746880,14995456
53:43.3,0.772140518,0,482.5878236,0,0,187670528,127705088,335564800,26746880,14995456
53:45.2,2.702700209,0,91.89180712,0,0,187715584,127705088,337346560,26746880,14995456
53:46.2,1.562502031,0,600.00078,0,0,186785792,127139840,361435136,26718208,14995456
53:48.8,0.602712279,0,342.9432865,0,0,187293696,102457344,380051456,26718208,14995456
53:50.3,2.970297218,0,320.7920995,0,0,187539456,102502400,391397376,26718208,14995456
53:51.2,3.703705021,0,257.4074989,0,0,187539456,102502400,393236480,26718208,14995456
53:52.3,0,0,260.3091544,0,0,189743104,102502400,347074560,26755072,14995456
53:53.3,1.538465022,0,512.3088525,0,0,189808640,102502400,359227392,26755072,14995456
53:54.3,3.030304206,0,360.6062005,0,0,187772928,102510592,369324032,26755072,14995456
53:55.3,0,0,359.6773451,0,0,187772928,102510592,365527040,26755072,14995456
53:56.3,1.58730062,0,244.4442954,0,0,187863040,102510592,399355904,26755072,14995456
53:57.3,3.130626362,0,565.0780583,0,0,187863040,102510592,355741696,26755072,14995456
53:58.3,3.030284812,0,309.0890508,0,0,188043264,102535168,353722368,26755072,14995456
53:59.3,3.846155424,0,437.1796665,0,0,188002304,102535168,361275392,26755072,14995456
54:00.3,0,0,156.2493958,0,0,187957248,102535168,361635840,26755072,14995456
54:01.7,3.225812223,0,500.0008946,0,0,187957248,102535168,346476544,26734592,14995456
54:03.3,0.971635518,0,268.1714031,0,0,188006400,102596608,360677376,26734592,14995456
54:04.2,3.389826464,0,413.5588286,0,0,188006400,102596608,368713728,26734592,14995456
54:05.5,0,1.219513052,665.8541263,0,0,188002304,102596608,353886208,26734592,14995456
54:07.5,0.794147754,0,196.9486429,0,0,188190720,102633472,358027264,26750976,14995456
54:08.2,2.083335278,0,570.8338661,0,0,188190720,102633472,374837248,26750976,14995456
54:09.2,1.562494531,0,539.0606133,0,0,188088320,102633472,314839040,26750976,14995456
54:11.2,1.562500156,0,157.8125158,0,0,188096512,102633472,309784576,26750976,14995456
54:12.2,0,0,632.9913761,0,0,189198336,102690816,336621568,26796032,14995456
54:13.2,0,0,14.15664612,0,0,189198336,102690816,323211264,26796032,14995456
54:14.3,2.898556908,0,676.8130381,0,0,189259776,102727680,338468864,26796032,14995456
54:15.2,0,0,13.55928379,0,0,189259776,102727680,322609152,26796032,14995456
54:16.5,12.65824631,0,596.203401,0,0,191557632,102625280,358137856,27103232,15028224
54:17.2,0,0,26.31204315,0,0,191557632,102625280,339496960,27103232,15028224
54:18.5,0,0,431.7887317,0,0,191029248,102625280,365338624,27103232,15036416
54:19.2,10.20403099,0,281.6312553,0,0,191029248,102625280,374517760,27103232,15036416
54:20.2,1.098904886,0,573.6283504,0,0,190992384,102719488,329805824,27103232,15036416
54:22.3,0.914289874,0,373.0302685,0,0,194265088,102719488,353112064,27103232,15036416
54:24.2,0.83837449,0,515.6003115,0,0,193019904,102760448,341176320,27103232,15036416
54:26.3,2.290077455,0,306.8703789,0,0,184795136,102760448,353959936,27103232,15036416
54:28.3,0.783374237,0,191.1433138,0,0,186114048,102760448,319385600,27103232,15036416
54:29.5,1.298702162,0,471.4288849,0,0,186114048,102760448,310108160,27103232,15036416
54:30.3,3.999994368,0,425.9994002,0,0,182665216,102825984,308080640,25337856,15036416
54:32.2,0.787401416,0,227.5590092,0,0,182665216,102825984,306208768,25341952,15036416
54:33.3,6.952451196,0,611.8157053,0,0,184135680,102825984,342966272,25341952,15036416
54:34.3,1.724132794,5.172398383,115.5168972,0,0,185532416,102825984,330579968,25341952,15036416
54:35.2,1.612907222,0,696.7759198,0,0,185532416,102825984,355860480,25341952,15036416
54:36.2,0,0,14.06249016,0,0,185532416,102825984,336977920,25341952,15036416
54:37.3,2.631580942,1.315790471,640.7899593,0,0,185655296,102825984,369815552,25341952,15036416
54:38.2,0,0,5.782015963,0,0,185655296,102825984,353091584,25341952,15036416
54:39.5,2.56410551,0,553.8467901,0,0,186621952,110092288,386924544,25341952,15036416
54:41.2,5.217388401,0,439.9997551,0,0,186707968,110092288,402731008,25341952,15036416
54:42.2,0,0,6.349197319,0,0,186707968,110092288,385880064,25341952,15036416
54:43.4,2.742822757,0,563.6500766,0,0,186753024,110092288,419819520,25341952,15036416
54:44.2,0,0,107.2724402,0,0,186753024,110092288,402894848,25341952,15036416
54:45.3,1.388890864,0,465.2784395,0,0,186990592,110092288,428281856,25341952,15036416
54:46.3,1.612903559,0,312.9032904,0,0,186990592,110092288,424292352,25341952,15036416
54:47.2,0,0,529.3101112,0,0,187932672,110092288,443219968,25313280,15007744
54:48.2,0,0,360.2133298,0,0,187932672,110092288,437399552,25313280,15007744
54:49.2,0,0,427.8396898,0,0,188727296,110092288,458014720,25313280,15007744
54:50.2,1.562500938,0,298.4376791,0,0,188727296,110092288,470515712,25313280,15007744
54:51.2,2.777775309,0,784.7215247,0,0,188571648,110092288,486830080,25313280,15007744
54:53.3,0.830517017,0,153.6456481,0,0,188641280,110092288,489590784,25313280,15007744
54:55.2,0,0,286.1372431,0,0,188641280,110092288,491544576,25313280,15007744
54:56.3,3.797579109,0,520.268338,0,0,188895232,110092288,527663104,25313280,15007744
54:57.4,0,0,151.7241044,0,0,188895232,110092288,415477760,25346048,15007744
54:58.3,0,0,635.6932882,0,0,188948480,110092288,432730112,25346048,15007744
55:00.4,3.041590317,0,303.3986341,0,0,190824448,111144960,441688064,25346048,15007744
55:01.3,1.694911945,0,242.3724081,0,0,190824448,111144960,321609728,25346048,15007744
55:02.2,1.666668622,0,535.0006277,0,0,189009920,111144960,325193728,25346048,15007744
55:03.2,0,0,332.2657768,0,0,189009920,111144960,339668992,25346048,15007744
55:04.2,0,0,448.7822139,0,0,189112320,111144960,342835200,25346048,15007744
55:05.2,0,0,201.5876702,0,0,189112320,111144960,351117312,25346048,15007744
55:06.2,3.124997188,0,579.6869783,0,0,189149184,111144960,326176768,25346048,15007744
55:08.2,0.778767018,0,316.1794094,0,0,189362176,111144960,337928192,25346048,15007744
55:09.2,1.599725943,0,318.3454626,0,0,189362176,111144960,352247808,25346048,15007744
55:10.3,0,0,363.7684196,0,0,189399040,111144960,318267392,25346048,15007744
55:11.5,0,0,477.6317398,0,0,189399040,111144960,331841536,25346048,15007744
55:12.2,17.02123024,4.25530756,23.40419158,0,0,190623744,125472768,316952576,25346048,15007744
55:13.2,4.687492969,6.249990625,4.687492969,0,0,193458176,125472768,318980096,25346048,15007744
55:14.2,10.77934332,9.239437131,4.619718565,0,0,193523712,125472768,285696000,25346048,15007744
55:15.2,6.222901132,3.111450566,0,0,0,193732608,121081856,285696000,25346048,15007744
55:16.2,17.30721748,1.573383408,0,0,0,201871360,121081856,285696000,25346048,15007744
55:17.2,26.4293989,4.664011571,13.99203471,6.218682095,0,205672448,121081856,294367232,31395840,15007744
