start,end,total,start: 14:53:25 GMT+0200 (czas środkowoeuropejski letni),end: 14:55:12 GMT+0200 (czas środkowoeuropejski letni)
63,2598,2535,
2600,4743,2143,
4745,6728,1983,
6731,8937,2206,
8938,11168,2230,
11169,13255,2086,
13255,15339,2084,
15340,17530,2190,
17531,19782,2251,
19783,22015,2232,
22016,24218,2202,
24220,26163,1943,
26164,28307,2143,
28308,30263,1955,
30265,32542,2277,
32543,34730,2187,
34731,37038,2307,
37039,39216,2177,
39217,41481,2264,
41482,43738,2256,
43740,45953,2213,
45954,47836,1882,
47837,49843,2006,
49844,51937,2093,
51938,54076,2138,
54078,56160,2082,
56161,58378,2217,
58379,60461,2082,
60463,62639,2176,
62640,64751,2111,
64753,66829,2076,
66831,68748,1917,
68749,70834,2085,
70835,72902,2067,
72903,74981,2078,
74983,76914,1931,
76915,78890,1975,
78891,81108,2217,
81110,83342,2232,
83344,85414,2070,
85415,87642,2227,
87643,89884,2241,
89885,92090,2205,
92092,94203,2111,
94204,96490,2286,
96491,98557,2066,
98558,100676,2118,
100677,102681,2004,
102682,104711,2029,
104713,106695,1982,
