(PDH-CSV 4.0) (Central European Summer Time)(-120),\\DESKTOP-940RFIL\Proces(chrome#6)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#5)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#4)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#6)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#5)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome)\Czas procesora (%)
05:29.8,11931648,21037056,13574144,103968768,4059136,3969024,60669952,0,3.117243985,0,12.46897594,0,0,17.14484192
05:30.9,51015680,22327296,13574144,112320512,4059136,3969024,62214144,58.7775439,6.187109884,0,13.92099724,0,0,41.76299172
05:36.8,55513088,50860032,14536704,93839360,4059136,3969024,63479808,3.163648608,358.8104796,1.581824304,1.581824304,0,0,5.800022448
05:36.9,55513088,50921472,14536704,93839360,4059136,3969024,63696896,0,379.9892995,0,0,0,0,0
05:37.9,55513088,53985280,14536704,85405696,4059136,3969024,63696896,0,398.4384563,0,0,0,0,0
05:38.8,46002176,54493184,14536704,83746816,4059136,3969024,63696896,3.168605076,396.0756345,0,0,0,0,0
05:39.9,46215168,55685120,14536704,82657280,4059136,3969024,63700992,3.1139306,397.0261514,0,0,0,0,0
05:40.8,46215168,57319424,14536704,81334272,4059136,3969024,63700992,0,392.161843,0,0,0,0,0
05:41.9,46215168,59019264,13631488,80216064,4059136,3969024,63782912,0,398.4613815,0,0,0,0,0
05:42.9,46215168,60620800,13631488,79953920,4059136,3969024,63782912,0,399.99988,0,0,0,0,0
05:43.9,46215168,65265664,13660160,78643200,4059136,3969024,63782912,0,398.4378984,0,0,0,0,0
05:44.9,46215168,66805760,13660160,78643200,4059136,3969024,63782912,0,400.1065846,0,0,0,0,0
05:45.9,46215168,63463424,13660160,78643200,4059136,3969024,63782912,0,400.1336081,0,0,0,0,0
05:46.8,46215168,49307648,13660160,103313408,4059136,3969024,78401536,0,377.8253782,0,3.148544818,0,0,7.871362045
05:47.9,45842432,71819264,13860864,117411840,4059136,3969024,81268736,0,350.4737717,1.537165665,3.07433133,0,0,18.44598798
05:48.9,45842432,72187904,13860864,116359168,4059136,3969024,82079744,0,395.3123814,0,0,0,0,1.562499531
05:49.9,45842432,72835072,14041088,116383744,4059136,3969024,82202624,0,395.2348364,1.562193029,0,0,0,1.562193029
05:50.8,45842432,72683520,14041088,115265536,4059136,3969024,82202624,0,397.9692773,0,0,0,0,0
05:51.9,45842432,70049792,14041088,113299456,4059136,3969024,82202624,0,398.5844153,0,0,0,0,0
05:52.8,45826048,66260992,15155200,118648832,4059136,3989504,83181568,0,296.5847847,20.61819359,0,0,0,34.89232761
05:53.9,45826048,66576384,14921728,117559296,4059136,4014080,84611072,0,304.2912166,7.762531035,0,0,0,18.63007448
05:54.9,45826048,70557696,14827520,117514240,4059136,3956736,86577152,0,337.499865,0,0,0,0,10.93749563
05:55.8,45826048,68714496,14827520,117510144,4059136,3981312,87846912,0,308.7194251,0,0,0,0,26.64076257
05:56.9,45826048,69853184,14827520,117510144,4059136,4001792,88637440,0,319.0516564,0,0,0,0,16.95443585
05:57.9,45826048,72404992,14827520,117510144,4059136,4001792,89231360,0,337.4992575,0,0,0,0,21.87495188
06:04.1,45826048,76480512,14827520,117510144,4059136,4050944,93278208,0,373.343664,0,0,0,0,7.020565877
06:04.8,46116864,82018304,14249984,127520768,4059136,4050944,93495296,2.075735863,292.6787567,2.075735863,4.151471727,0,0,24.90883036
06:05.8,46116864,82325504,14249984,126468096,4059136,4050944,93720576,0,325.905377,0,0,0,0,28.06840567
06:06.9,46116864,82694144,14249984,125411328,4059136,4050944,93257728,0,357.1936033,0,0,0,0,6.158510401
06:07.9,46116864,78807040,14249984,123936768,4059136,4050944,93257728,0,396.8746825,0,0,0,0,0
06:08.9,46116864,78757888,14204928,123936768,4059136,4050944,93257728,0,399.99996,0,0,0,0,0
06:09.9,46116864,73785344,14204928,123936768,4059136,4050944,93257728,0,396.8752778,0,0,0,0,0
06:10.9,46116864,74031104,14204928,123936768,4059136,4083712,93978624,0,363.6663872,0,0,0,0,0
06:11.9,46116864,74555392,14159872,123150336,4059136,4083712,93544448,0,382.1695764,0,0,0,0,0
06:12.8,46039040,61865984,14159872,123150336,4059136,4083712,93052928,0,397.0587357,0,0,0,0,0
06:13.8,46039040,64782336,14159872,123150336,4059136,4083712,93052928,0,398.6728182,0,0,0,0,0
06:14.9,46039040,65155072,14159872,123150336,4059136,4083712,93097984,0,398.4618131,0,0,0,0,0
06:15.9,46039040,69226496,14159872,123150336,4059136,4083712,93097984,0,406.047097,0,0,0,0,0
06:16.8,46039040,70356992,14159872,123150336,4059136,4083712,93097984,0,389.3830401,0,0,0,0,0
06:17.8,46039040,71249920,14159872,123150336,4059136,4083712,92626944,0,393.7498031,0,0,0,0,0
06:18.9,46039040,72605696,14159872,123150336,4059136,4083712,92213248,0,399.9999212,0,0,0,0,0
06:19.9,46039040,71553024,14159872,123150336,4059136,4083712,92315648,0,398.4375398,0,0,0,0,0
06:20.9,46096384,77094912,14159872,126513152,4059136,4046848,88735744,0,370.7655384,0,1.564411554,0,0,3.128823109
06:21.9,46096384,77828096,14159872,124403712,4059136,4046848,88735744,0,395.300249,0,0,0,0,0
06:22.9,46096384,78196736,14159872,124403712,4059136,4046848,87998464,0,400.00004,0,0,0,0,0
06:23.8,46096384,80265216,14159872,124403712,4059136,4046848,87994368,0,398.6975172,0,0,0,0,0
06:24.8,46096384,79847424,14254080,124403712,3993600,4014080,88088576,0,398.4370219,0,0,0,0,0
06:31.4,46133248,81653760,14536704,124403712,3993600,4014080,88088576,0,395.1662156,0.476103874,0,0,0,0.714155811
