(PDH-CSV 4.0) (Central European Summer Time)(-120),\\DESKTOP-940RFIL\Proces(chrome#6)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#5)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#4)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#6)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#5)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome)\Czas procesora (%)
05:36.8,55513088,50860032,14536704,93839360,4059136,3969024,63479808,3.16,358.81,1.58,1.58,0.00,0.00,5.80
05:36.9,55513088,50921472,14536704,93839360,4059136,3969024,63696896,0.00,379.99,0.00,0.00,0.00,0.00,0.00
05:37.9,55513088,53985280,14536704,85405696,4059136,3969024,63696896,0.00,398.44,0.00,0.00,0.00,0.00,0.00
05:38.8,46002176,54493184,14536704,83746816,4059136,3969024,63696896,3.17,396.08,0.00,0.00,0.00,0.00,0.00
05:39.9,46215168,55685120,14536704,82657280,4059136,3969024,63700992,3.11,397.03,0.00,0.00,0.00,0.00,0.00
05:40.8,46215168,57319424,14536704,81334272,4059136,3969024,63700992,0.00,392.16,0.00,0.00,0.00,0.00,0.00
05:41.9,46215168,59019264,13631488,80216064,4059136,3969024,63782912,0.00,398.46,0.00,0.00,0.00,0.00,0.00
05:42.9,46215168,60620800,13631488,79953920,4059136,3969024,63782912,0.00,400.00,0.00,0.00,0.00,0.00,0.00
05:43.9,46215168,65265664,13660160,78643200,4059136,3969024,63782912,0.00,398.44,0.00,0.00,0.00,0.00,0.00
05:44.9,46215168,66805760,13660160,78643200,4059136,3969024,63782912,0.00,400.11,0.00,0.00,0.00,0.00,0.00
05:45.9,46215168,63463424,13660160,78643200,4059136,3969024,63782912,0.00,400.13,0.00,0.00,0.00,0.00,0.00
05:46.8,46215168,49307648,13660160,103313408,4059136,3969024,78401536,0.00,377.83,0.00,3.15,0.00,0.00,7.87
05:47.9,45842432,71819264,13860864,117411840,4059136,3969024,81268736,0.00,350.47,1.54,3.07,0.00,0.00,18.45
05:48.9,45842432,72187904,13860864,116359168,4059136,3969024,82079744,0.00,395.31,0.00,0.00,0.00,0.00,1.56
05:49.9,45842432,72835072,14041088,116383744,4059136,3969024,82202624,0.00,395.23,1.56,0.00,0.00,0.00,1.56
05:50.8,45842432,72683520,14041088,115265536,4059136,3969024,82202624,0.00,397.97,0.00,0.00,0.00,0.00,0.00
05:51.9,45842432,70049792,14041088,113299456,4059136,3969024,82202624,0.00,398.58,0.00,0.00,0.00,0.00,0.00
05:52.8,45826048,66260992,15155200,118648832,4059136,3989504,83181568,0.00,296.58,20.62,0.00,0.00,0.00,34.89
05:53.9,45826048,66576384,14921728,117559296,4059136,4014080,84611072,0.00,304.29,7.76,0.00,0.00,0.00,18.63
05:54.9,45826048,70557696,14827520,117514240,4059136,3956736,86577152,0.00,337.50,0.00,0.00,0.00,0.00,10.94
05:55.8,45826048,68714496,14827520,117510144,4059136,3981312,87846912,0.00,308.72,0.00,0.00,0.00,0.00,26.64
05:56.9,45826048,69853184,14827520,117510144,4059136,4001792,88637440,0.00,319.05,0.00,0.00,0.00,0.00,16.95
05:57.9,45826048,72404992,14827520,117510144,4059136,4001792,89231360,0.00,337.50,0.00,0.00,0.00,0.00,21.87
06:04.1,45826048,76480512,14827520,117510144,4059136,4050944,93278208,0.00,373.34,0.00,0.00,0.00,0.00,7.02
06:04.8,46116864,82018304,14249984,127520768,4059136,4050944,93495296,2.08,292.68,2.08,4.15,0.00,0.00,24.91
06:05.8,46116864,82325504,14249984,126468096,4059136,4050944,93720576,0.00,325.91,0.00,0.00,0.00,0.00,28.07
06:06.9,46116864,82694144,14249984,125411328,4059136,4050944,93257728,0.00,357.19,0.00,0.00,0.00,0.00,6.16
