(PDH-CSV 4.0) (,\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne
14:24.7,7.235801695,2.325793402,364.8911426,0,0,240283648,187019264,100528128,27185152,14946304
14:25.6,0,0,395.6791143,0,0,239812608,187019264,101470208,27185152,14946304
14:26.6,0,0,399.9997562,0,0,239812608,146239488,103231488,27185152,14946304
14:27.6,0,0,399.99952,0,0,239812608,146239488,105041920,26488832,14946304
14:28.6,4.615387342,1.538462447,387.6925367,0,0,205332480,146239488,106708992,26488832,14946304
14:29.6,0,1.587303845,396.8259612,0,0,205340672,146239488,107745280,26488832,14946304
14:30.6,0,1.540424485,392.8082436,0,0,205721600,146239488,109432832,26488832,14946304
14:31.7,0,0,391.4289651,0,0,205721600,146239488,111316992,26488832,14946304
14:37.6,1.862104691,0.266014956,390.7759701,0,0,201859072,146239488,85753856,26431488,14946304
14:37.6,0,0,249.9816014,0,0,201859072,146239488,81764352,26431488,14946304
14:43.7,0.77589001,0,380.9619947,0,0,200912896,146382848,217305088,26402816,14946304
14:44.6,0,1.639340994,393.4418386,0,0,202838016,146382848,218984448,26402816,14946304
14:45.6,0,0,392.82033,0,0,202838016,146382848,220651520,26402816,14946304
14:46.6,1.550140267,0,399.9361888,0,0,202838016,146382848,222437376,26402816,14946304
14:47.6,4.761909116,1.587303039,369.841608,0,0,202838016,146382848,223924224,26402816,14946304
14:48.6,3.076924895,0,327.6925013,0,0,202838016,146382848,225431552,26435584,14946304
14:49.6,1.587300781,0,392.0632929,0,0,202838016,146382848,227004416,26435584,14946304
14:50.7,0,2.882877763,389.188498,0,0,202838016,146382848,228732928,26435584,14946304
14:55.6,0,0.317778259,392.7739278,0,0,202321920,146382848,236494848,26435584,14946304
14:56.6,0,0,395.285415,0,0,202321920,146382848,238288896,26435584,14946304
14:57.6,0,1.587253698,369.8301115,0,0,202321920,146382848,215330816,26406912,14946304
14:58.6,0,0,361.5490699,0,0,203313152,146382848,269684736,26415104,14946304
14:59.6,0,0,399.9998781,0,0,203313152,146382848,271745024,26415104,14946304
15:00.6,0,0,395.3845375,0,0,203313152,146382848,273846272,26415104,14946304
15:01.7,0,0,394.6605893,0,0,203313152,146382848,275959808,26415104,14946304
15:07.4,1.362703731,0.817622239,393.2762968,0,0,203313152,146382848,286584832,26431488,14946304
15:07.6,0,7.692288757,384.6144379,0,0,203313152,146382848,286900224,26431488,14946304
15:08.6,0,0,386.1539982,0,0,203714560,146382848,288579584,26476544,14946304
15:09.6,0,0,393.6504737,0,0,203714560,146382848,290242560,26476544,14946304
15:10.6,0,0,390.7690769,0,0,203714560,146382848,291946496,26476544,14946304
15:11.6,12.52039698,0,380.3070582,0,0,206184448,146280448,293523456,26501120,14970880
15:12.6,0,0,395.2393399,3.174613172,0,206209024,146280448,295616512,26632192,14983168
15:13.7,1.428570906,1.428570906,391.4284283,0,1.428570906,206172160,146280448,297435136,26644480,14987264
15:21.7,0.7861089,0.7861089,386.175997,0,0,205991936,109133824,306171904,26644480,14987264
15:22.6,0,1.639333083,398.3579391,0,0,205991936,108478464,307785728,26644480,14987264
15:23.6,0,0,391.5946223,0,0,205991936,108478464,309551104,26644480,14987264
15:24.6,3.124999688,0,392.1874608,0,0,201080832,108478464,311218176,26644480,14987264
15:25.6,1.562497188,0,395.3117884,0,0,201080832,108478464,311435264,26644480,14987264
15:26.6,0,0,401.3787216,0,0,201080832,108478464,313204736,26644480,14987264
15:27.6,0,1.580316808,384.0169843,1.580316808,0,201080832,108478464,314859520,24903680,14987264
15:28.7,0,0,390.0003209,0,0,201080832,108478464,316678144,24903680,14987264
15:34.7,0.259974394,0,395.4210531,0,0,201080832,108478464,278593536,24907776,14987264
15:35.6,5.172409227,0,336.2065998,0,0,201875456,108478464,267350016,24907776,14987264
15:36.6,0,0,396.0560567,0,0,201875456,108478464,268161024,24907776,14987264
15:37.6,0,0,393.5987318,0,0,201883648,108478464,270487552,24907776,14987264
15:38.6,1.538465325,3.076930651,389.2317273,0,0,201883648,108478464,272633856,24907776,14987264
15:39.6,0,0,399.9997156,0,0,201883648,108478464,274329600,24907776,14987264
15:40.6,0,0,398.4375,0,0,201883648,108478464,276373504,24907776,14987264
15:41.7,1.462514741,0,397.8040095,0,0,201883648,108478464,278634496,24907776,14987264
15:47.8,0.769365344,0,394.1715114,0,0,201830400,108478464,290263040,24879104,14958592
15:48.6,0,0,390.5173248,0,0,201830400,108478464,291745792,24879104,14958592
15:49.6,0,0,393.7444088,0,0,201830400,108478464,293535744,24879104,14958592
15:50.6,0,1.538637729,393.8912586,0,0,201830400,108478464,295395328,24879104,14958592
15:51.6,0,0,400.0004876,0,0,201830400,108478464,297242624,24879104,14958592
15:52.6,0,0,344.8768875,0,0,203038720,108478464,283422720,24879104,14958592
15:53.6,0,0,395.384849,0,0,203038720,108478464,285523968,24879104,14958592
15:54.7,0,0,398.5506877,0,0,203038720,108478464,287887360,24911872,14958592
16:00.6,0,0.794382412,397.4560003,0,0,203038720,108478464,298475520,24911872,14958592
16:01.6,0,0,396.9228815,0,0,203038720,108478464,300228608,24911872,14958592
16:02.6,0,0,397.4636927,0,0,203038720,108478464,301981696,24911872,14958592
16:03.6,0,0,390.4757541,0,0,203038720,108478464,303714304,24911872,14958592
16:04.6,0,0,389.2309992,0,0,203038720,108478464,305356800,24911872,14958592
16:05.6,1.587301749,0,393.6508336,0,0,203038720,108478464,306966528,24911872,14958592
16:06.7,0,1.492538026,394.0300389,0,0,203038720,108478464,308760576,24911872,14958592
16:17.5,4.330988849,0,378.3840591,1.299296655,1.010564065,224268288,108478464,338403328,29040640,18862080
16:17.6,0,0,390.003744,0,0,224268288,108478464,338698240,29040640,18862080
16:18.6,3.160644804,0,395.0806005,0,1.580322402,224268288,108478464,340271104,29769728,20123648
16:19.6,4.76188251,0,384.1251891,3.17458834,1.58729417,224268288,108478464,341938176,32129024,21069824
16:20.6,0,3.076933983,380.001347,0,4.615400975,224268288,108478464,343564288,32182272,23977984
16:21.6,3.174600595,0,384.1266719,4.761900892,0,224268288,108478464,345124864,34275328,23982080
16:22.6,7.763244542,0,383.5042804,0,1.552648908,224268288,108478464,346689536,35024896,25251840
16:23.7,0,1.438641591,381.2400216,2.877283182,4.315924773,224268288,108478464,348401664,37027840,26808320
16:29.6,0,0.263397998,395.3603956,0,0,223961088,108478464,357974016,36937728,26898432
16:30.6,0,0,396.8259209,0,0,223961088,108478464,357859328,36937728,26898432
16:31.6,3.124997813,1.562498906,339.0622627,0,0,224649216,108478464,343400448,36937728,26898432
16:32.6,0,0,397.4778836,0,0,224649216,108478464,345341952,36937728,26898432
16:33.6,0,0,399.936903,0,0,224657408,108478464,347480064,36937728,26898432
16:34.6,0,1.587301587,392.0634921,0,0,224657408,108478464,300740608,36937728,26898432
16:35.7,0,1.449275362,391.3043478,0,0,224657408,108478464,302866432,36937728,26898432
16:41.6,0.526796503,0,394.0437842,0,0,224657408,108478464,313384960,36937728,26898432
16:42.6,0,0,393.6212433,0,0,224657408,108478464,315207680,36937728,26898432
16:43.6,0,0,392.705139,0,0,224583680,108478464,316985344,36937728,26898432
16:44.6,0,0,395.3120652,0,0,224583680,108478464,318947328,36937728,26898432
16:45.6,0,0,398.4374203,0,0,224583680,108478464,320626688,36937728,26898432
16:46.6,0,0,393.7494881,0,0,224583680,108478464,322293760,36937728,26898432
16:47.7,0,0,401.4707394,0,0,224583680,108478464,324169728,36937728,26898432
16:55.5,1.203515529,1.002929607,386.1278987,0,0,224702464,108478464,322146304,36937728,26898432
16:55.6,0,0,399.999744,0,0,224702464,108478464,322465792,36937728,26898432
16:56.6,0,0,393.6506337,0,0,224702464,108478464,324210688,36937728,26898432
16:57.6,0,0,390.7693847,0,0,224702464,108478464,326230016,36937728,26898432
16:58.6,0,0,393.8827252,0,0,224702464,108478464,328040448,36937728,26898432
16:59.6,1.551686915,0,401.8869109,0,0,224702464,108478464,329732096,36937728,26898432
17:00.6,3.174604142,0,393.6509136,0,0,224702464,108478464,331444224,36937728,26898432
17:01.7,2.898550187,0,397.1013756,0,0,224702464,108478464,333381632,36937728,26898432
17:07.6,0,0.262706257,397.7372728,0,0,224702464,108478464,343613440,36937728,26898432
17:08.6,1.577910346,1.577910346,345.5623657,0,0,224997376,108478464,328949760,36937728,26898432
17:09.6,0,0,396.660963,0,0,224997376,108478464,330731520,36937728,26898432
17:10.6,0,0,392.1874608,0,0,224997376,108478464,331960320,36937728,26898432
17:11.6,0,0,396.9228034,0,0,224997376,108478464,333844480,36937728,26898432
17:12.6,0,0,395.2386172,0,0,224956416,108478464,335794176,36888576,26898432
17:13.7,0,0,399.0709888,0,0,224956416,108478464,337694720,36888576,26898432
17:20.4,0,0.231930516,396.6011826,0,0,224956416,108478464,349061120,36888576,26898432
17:20.6,0,0,400.0017723,0,0,224956416,108478464,349380608,36888576,26898432
17:21.6,0,0,399.9997243,0,0,224956416,108478464,351170560,36888576,26898432
17:22.6,0,0,396.8257193,0,0,224956416,108478464,352677888,36888576,26898432
17:23.6,0,1.540137511,395.8153404,0,0,224956416,108478464,354430976,36888576,26898432
17:24.6,0,0,392.1096447,0,0,224956416,108478464,356028416,36888576,26898432
17:25.6,0,0,399.99964,0,0,224956416,108478464,357740544,36888576,26898432
17:26.7,0,0,400.0000753,0,0,224956416,108478464,359542784,36888576,26898432
17:33.5,0,0.229945622,387.2284272,0,0,226324480,108478464,356868096,36925440,26898432
17:33.6,0,0,400.004096,0,0,226324480,108478464,357064704,36925440,26898432
17:34.6,0,0,397.4598164,0,0,226324480,108478464,358809600,36925440,26898432
17:35.6,0,0,398.4122532,0,0,226324480,108478464,358711296,36925440,26898432
17:36.6,1.53846169,0,396.923116,0,0,226324480,108478464,360267776,36925440,26898432
17:37.6,0,0,400.000894,0,0,226324480,108478464,362012672,36925440,26898432
17:38.6,0,0,399.9993698,0,0,226324480,108478464,363696128,36925440,26898432
17:44.6,0.521418574,0.260709287,392.8888952,0,0,226324480,108478464,308985856,36925440,26898432
17:45.6,0,0,387.6922695,0,0,226324480,108478464,310587392,36925440,26898432
17:46.6,1.587301104,3.174602207,341.2697373,0,0,226390016,108478464,295927808,36925440,26898432
17:47.6,0,0,393.8461538,0,0,226390016,108478464,296517632,36925440,26898432
17:48.6,0,0,396.8261628,0,0,226390016,108478464,298295296,36925440,26898432
17:49.6,0,0,399.2258709,0,0,226390016,108478464,300396544,36925440,26898432
17:50.7,0,0,399.8298562,0,0,226390016,108478464,302428160,36925440,26898432
17:57.2,0,0.238710331,397.21399,0,0,226390016,109527040,314654720,36925440,26898432
17:57.6,0,0,399.9992123,0,0,226390016,109527040,315322368,36925440,26898432
17:58.6,1.58730191,0,398.4127794,0,0,226390016,109527040,317063168,36925440,26898432
17:59.6,0,0,393.0148175,0,0,226390016,109527040,318881792,36925440,26898432
18:00.6,0,0,398.2690034,0,0,226390016,109527040,320614400,36925440,26898432
