"(PDH-CSV 4.0) (","\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%)","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne"
"05/08/2020 15:13:09.302"," "," "," "," "," ","100","100","100","100","147664896","376897536","59846656","29720576","14790656"
"05/08/2020 15:13:10.302","12.499633760730811005","1.5624542200913513756","3.1249084401827027513","0","0","100","100","100","100","147005440","374538240","59846656","29720576","14790656"
"05/08/2020 15:13:11.312","77.319539164659985886","24.742252532691193068","23.195861749397998608","0","0","100","100","100","100","186966016","233697280","70664192","29720576","14790656"
"05/08/2020 15:13:17.166","11.744133677110461633","4.2705940644038040688","333.90707341057242274","0","0","100","100","100","100","219156480","167804928","76398592","26415104","14934016"
"05/08/2020 15:13:17.291","0","0","387.49907000223203113","0","0","100","100","100","100","219156480","167804928","76627968","26415104","14934016"
"05/08/2020 15:13:18.307","3.0769261065118587162","3.0769261065118587162","386.15422636723826599","0","0","100","100","100","100","198197248","160743424","78368768","26415104","14934016"
"05/08/2020 15:13:19.291","0","0","396.82547745025573249","0","0","100","100","100","100","198307840","160743424","80027648","26464256","14934016"
"05/08/2020 15:13:20.291","4.6874957812537969559","1.562498593751265652","385.93715265656260271","0","0","100","100","100","100","198307840","160743424","81715200","26464256","14934016"
"05/08/2020 15:13:21.302","1.546679020301337637","0","389.76311311593707387","0","0","100","100","100","100","198311936","160743424","81137664","26464256","14934016"
"05/08/2020 15:13:22.317","3.0769242887578740486","1.5384621443789370243","387.69246038349211858","0","0","100","100","100","100","195477504","160743424","82751488","26464256","14934016"
"05/08/2020 15:13:23.317","1.5624996875000625174","0","384.37492312501535707","0","0","100","100","100","100","195915776","160743424","84344832","26464256","14934016"
"05/08/2020 15:13:29.046","0.2727377775946919769","0","395.19703973470859637","0","0","100","100","100","100","195538944","160743424","93519872","26464256","14934016"
"05/08/2020 15:13:29.312","0","0","400.00376474131525129","0","0","100","100","100","100","195538944","160743424","93958144","26464256","14934016"
"05/08/2020 15:13:30.296","0","0","398.41249604444641363","0","0","100","100","100","100","195538944","160743424","95485952","26464256","14934016"
"05/08/2020 15:13:31.299","0","0","397.14788139951946278","0","0","100","100","100","100","195538944","160743424","97136640","26464256","14934016"
"05/08/2020 15:13:32.306","3.1033584197242110037","3.1033584197242110037","283.95729540476531838","0","0","100","100","100","100","197443584","160743424","183123968","26464256","14934016"
"05/08/2020 15:13:33.291","0","0","395.23885811182771022","0","0","100","100","100","100","197402624","160743424","185012224","26464256","14934016"
"05/08/2020 15:13:34.291","0","0","395.31194656327477333","0","0","100","100","100","100","199487488","160665600","186925056","26464256","14934016"
"05/08/2020 15:13:35.322","0","0","393.94023434522722482","0","0","100","100","100","100","196407296","160665600","188821504","26464256","14934016"
"05/08/2020 15:13:41.546","0.50212767967666893654","1.0042553593533378731","1018.56599822412295","0","0","100","100","100","100","196722688","160665600","208928768","26447872","14934016"
"05/08/2020 15:13:53.800","1.6575090431041377137","1.1475062606105570495","465.37753902539247974","0","0.1275006956233951938","100","100","100","100","199884800","159887360","269852672","26681344","14974976"
"05/08/2020 15:14:07.847","0.44494307177647929308","0","137.48740917893209712","0","0","100","100","100","100","195051520","159887360","271163392","26681344","14974976"
"05/08/2020 15:14:13.123","1.9962718129541039414","1.9962718129541039414","1156.9821064506857056","0","0","100","100","100","100","194535424","125140992","258179072","24915968","14974976"
"05/08/2020 15:14:27.305","0","0","2.2355105419988512416","0","0","100","100","100","100","194535424","125140992","258293760","24915968","14974976"
"05/08/2020 15:14:28.294","0","0","396.46067206168243047","0","0","100","100","100","100","194535424","125140992","259833856","24915968","14974976"
"05/08/2020 15:14:29.294","0","1.5624998437500157156","393.74996062500395055","0","0","100","100","100","100","194535424","125140992","261283840","24915968","14974976"
"05/08/2020 15:14:30.310","1.5384588118391520073","0","393.84545583082291387","0","0","100","100","100","100","194535424","125140992","262873088","24915968","14974976"
"05/08/2020 15:14:31.294","0","1.5873036835502614128","338.09568459620567182","0","0","100","100","100","100","196354048","125140992","249503744","24915968","14974976"
"05/08/2020 15:14:32.300","0","0","396.3170452809288804","0","0","100","100","100","100","196354048","125140992","251678720","24915968","14974976"
"05/08/2020 15:14:33.320","0","0","401.15992667360001178","0","0","100","100","100","100","196354048","125140992","252993536","24915968","14974976"
"05/08/2020 15:14:48.304","0.10427953188000479989","0.41711812752001919957","395.32370535709816295","0","0","100","100","100","100","196673536","125140992","278355968","24920064","14946304"
"05/08/2020 15:14:49.288","1.5873022323005896439","0","395.23825584284679735","0","0","100","100","100","100","196673536","125140992","279834624","24920064","14946304"
"05/08/2020 15:14:50.288","0","0","332.81226703141311418","0","0","100","100","100","100","196743168","125140992","266829824","24920064","14946304"
"05/08/2020 15:14:51.304","0","0","398.46165616098147666","0","0","100","100","100","100","197349376","125140992","267628544","24920064","14946304"
"05/08/2020 15:14:52.288","0","0","398.41201036148049752","0","0","100","100","100","100","197349376","125140992","269537280","24920064","14946304"
"05/08/2020 15:14:53.299","0","0","394.33296701295552111","0","0","100","100","100","100","197349376","125140992","271421440","24920064","14946304"
"05/08/2020 15:14:54.314","0","0","398.46157769467839671","0","0","100","100","100","100","197349376","125140992","273301504","24920064","14946304"
"05/08/2020 15:14:55.299","3.1745996271140679568","1.5872998135570339784","385.71385469435921323","0","0","100","100","100","100","197349376","125140992","274972672","24920064","14946304"
"05/08/2020 15:14:57.531","5.3462294208184930611","1.7820764736061645017","1390.0196494128081213","0","0","100","100","100","100","202797056","125140992","296140800","24920064","14946304"
"05/08/2020 15:15:05.757","2.5950013216142115979","0","47.907716706723910249","0.1996154862780162853","0.79846194511206514122","100","100","100","100","203440128","125140992","302170112","25374720","19099648"
"05/08/2020 15:15:09.876","1.1378575813029281338","0","387.6301493638641773","0","0","100","100","100","100","203440128","125140992","307970048","27549696","19173376"
"05/08/2020 15:15:11.782","15.573778661654380073","6.5573804891176337151","3540.1657915623823101","0","0","100","100","100","100","201265152","125140992","280952832","27631616","19173376"
"05/08/2020 15:15:27.318","0","0","2.8161995729856128534","0","0","100","100","100","100","201265152","125140992","281120768","27631616","19173376"
"05/08/2020 15:15:28.307","0","0","394.68097854410638092","0","0","100","100","100","100","201265152","125140992","282624000","27631616","19173376"
"05/08/2020 15:15:29.296","0","0","396.45754599918421945","0","0","100","100","100","100","201265152","125140992","284147712","27631616","19173376"
"05/08/2020 15:15:30.296","0","0","329.6875","0","0","100","100","100","100","202952704","125140992","269422592","27631616","19173376"
"05/08/2020 15:15:31.296","1.5624998437500157156","0","396.87496031250395845","0","0","100","100","100","100","202960896","125140992","271409152","27631616","19173376"
"05/08/2020 15:15:32.312","0","1.5384598721911537655","392.30726740874422376","0","0","100","100","100","100","202960896","125140992","273317888","27631616","19173376"
"05/08/2020 15:15:33.333","0","0","397.90263927229017327","0","0","100","100","100","100","202960896","125140992","275206144","27631616","19173376"
"05/08/2020 15:15:36.494","1.9061375188250140322","1.5249100150600114478","1355.6450033883500055","0","0","100","100","100","100","202883072","125140992","298553344","27631616","19173376"
"05/08/2020 15:15:48.296","0","0","33.078917529874921399","0","0","100","100","100","100","202883072","125140992","299978752","27631616","19173376"
"05/08/2020 15:15:49.306","0","0","341.80892434457564377","0","0","100","100","100","100","203853824","125140992","285908992","27631616","19173376"
"05/08/2020 15:15:50.290","0","3.1746118821100512974","396.8264852637564104","0","0","100","100","100","100","203853824","125140992","287383552","27631616","19173376"
"05/08/2020 15:15:51.306","0","0","393.84627018228286488","0","0","100","100","100","100","203853824","125140992","289742848","27631616","19173376"
"05/08/2020 15:15:52.290","0","0","399.99943111192021661","0","0","100","100","100","100","203853824","125140992","291606528","27631616","19173376"
"05/08/2020 15:15:53.306","0","0","393.84658041229630498","0","0","100","100","100","100","203853824","125140992","293482496","27631616","19173376"
"05/08/2020 15:15:54.301","0","0","394.32910134942875402","0","0","100","100","100","100","203853824","125140992","295432192","27631616","19173376"
"05/08/2020 15:15:59.304","2.4983813986270853036","2.1860837237987000847","392.87047493410921106","0","0","100","100","100","100","203419648","125140992","303996928","27631616","19173376"
"05/08/2020 15:16:00.295","0","0","389.30706947845686727","0","0","100","100","100","100","203419648","125140992","305635328","27631616","19173376"
"05/08/2020 15:16:01.311","0","0","395.38484896581843486","0","0","100","100","100","100","203419648","125140992","307236864","27664384","19173376"
"05/08/2020 15:16:02.295","0","0","395.23821569164670109","0","0","100","100","100","100","203419648","125140992","308875264","27664384","19173376"
"05/08/2020 15:16:03.295","0","0","393.74988187503544168","0","0","100","100","100","100","203419648","125140992","310472704","27664384","19173376"
"05/08/2020 15:16:04.301","3.1068142627132080413","0","386.79837570779443467","0","0","100","100","100","100","203419648","125140992","312037376","27664384","19173376"
"05/08/2020 15:16:05.321","0","0","402.89167271749704469","0","0","100","100","100","100","203337728","125140992","313647104","27664384","19173376"
"05/08/2020 15:16:08.493","0.49261083743842365434","0","398.02955665024632026","0","0","100","100","100","100","203337728","125140992","311242752","27664384","19173376"
"05/08/2020 15:16:09.527","15.104104739837234561","4.5312314219511700131","2298.8447414032270899","0","0","100","100","100","100","204480512","126189568","314064896","27664384","19173376"
