(PDH-CSV 4.0) (Central European Summer Time)(-120),\\DESKTOP-940RFIL\Proces(chrome#6)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#5)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#4)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#6)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#5)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome)\Czas procesora (%)
56:30.0,55615488,23412736,16322560,123617280,4091904,3973120,85491712,40.18757016,11.4821629,0,9.568469087,0,1.913693817,63.15189597
56:31.0,54444032,23412736,16322560,122355712,4091904,3973120,87212032,0,0,0,0,0,0,34.87766741
56:32.0,55517184,50642944,16338944,154517504,4091904,3973120,87248896,4.55178887,15.17262957,3.034525913,13.65536661,0,0,45.5178887
56:33.4,56451072,76992512,16338944,152428544,4091904,4005888,88682496,2.279361624,272.3837141,0,20.51425462,0,0,25.07297787
56:34.2,56946688,82026496,16338944,156815360,4091904,4005888,88678400,4.122692381,404.0238533,2.06134619,32.98153905,0,0,4.122692381
56:35.0,56946688,87793664,16338944,143687680,4091904,4005888,88248320,0,300.1932693,0,27.96831701,0,0,0
56:36.0,55619584,107421696,16338944,142684160,4091904,4005888,87932928,0,344.2351473,0,15.57625101,0,0,0
56:37.0,56037376,106790912,16359424,133447680,4091904,4005888,88031232,6.31264033,353.5078585,0,17.35976091,0,0,0
56:38.0,56037376,122556416,16359424,130953216,4091904,4005888,88031232,0,362.2298625,0,24.55795678,0,0,1.534872299
56:39.0,56090624,89407488,16359424,125370368,4091904,4005888,88031232,4.622793374,360.5778832,0,18.4911735,0,0,4.622793374
56:40.0,55398400,85118976,16359424,123760640,4091904,4005888,88031232,4.736202848,333.1129336,0,33.15341993,0,0,4.736202848
56:41.0,55398400,100085760,16359424,117620736,4091904,4005888,88035328,0,352.8224384,0,28.35180308,0,0,0
56:42.0,55410688,85856256,16359424,117620736,4091904,4005888,88035328,4.650295774,367.3733661,0,10.85069014,0,0,6.200394365
56:43.0,48070656,98349056,16359424,111472640,4091904,4005888,88035328,1.562502813,353.1256356,0,18.75003375,0,0,0
56:44.0,48398336,91439104,16359424,116715520,4091904,4005888,88031232,4.73484992,333.0177777,3.156566613,23.6742496,0,0,3.156566613
56:45.0,48398336,82341888,16359424,115617792,4055040,3907584,87506944,0,236.6471575,0,67.3895879,0,0,1.567199719
56:46.0,48398336,94126080,16314368,116666368,4055040,3907584,87506944,0,223.2142179,1.583079559,44.32622766,0,0,0
56:47.0,49352704,89944064,16314368,117719040,4055040,3907584,87506944,7.708884118,291.3958196,0,32.37731329,0,0,0
56:48.0,49352704,102801408,16314368,117719040,4055040,3907584,87097344,0,374.0980901,0,19.53122559,0,0,0
56:49.0,49577984,84959232,16314368,117456896,4055040,3907584,87097344,3.238344318,357.8370471,0,16.19172159,0,0,0
56:50.0,47751168,102727680,16314368,115191808,4055040,3907584,87097344,0,345.6584696,0,40.6657023,0,0,0
56:51.0,49049600,95764480,16314368,119185408,4055040,3907584,87097344,4.680899464,333.9041617,0,34.32659607,0,0,3.120599642
56:52.0,49049600,100773888,16314368,119185408,4055040,3907584,87097344,0,360.932837,0,26.22161637,0,0,0
56:53.0,49852416,94396416,16314368,119214080,4055040,3907584,87097344,6.319285276,357.0396181,0,14.21839187,0,0,1.579821319
56:54.0,49852416,107663360,16314368,119132160,4055040,3907584,87060480,0,385.6310396,0,19.97292237,0,0,1.536378644
56:55.0,49844224,90963968,16314368,119132160,4055040,3907584,87101440,6.300414023,333.9219432,0,12.60082805,0,0,0
56:56.0,49258496,103743488,16314368,117895168,4055040,3907584,87101440,0,346.3350866,0,22.34419913,0,0,0
56:57.0,50036736,97386496,16224256,125239296,4055040,3907584,87101440,1.540930669,260.417283,0,57.01443475,0,0,1.540930669
56:58.0,50036736,110399488,16224256,125239296,4055040,3907584,87101440,0,238.8235332,0,57.75471064,0,0,0
56:59.0,51888128,91197440,16175104,125538304,4055040,3907584,87101440,7.981903938,228.2824526,0,59.06608914,0,0,6.385523151
57:00.5,51384320,101380096,16121856,121982976,4055040,3907584,87113728,5.031717694,591.7300008,0,32.20299324,0,0,3.019030616
57:02.4,51384320,105910272,16121856,121499648,4055040,3907584,87023616,0,123.0743535,0,5.023443002,0,0,0
57:03.0,51539968,97017856,16121856,121499648,4055040,3907584,87023616,7.79950213,358.777098,2.599834043,7.79950213,0,0,2.599834043
57:04.0,51609600,111554560,16121856,121040896,4055040,3907584,87023616,0,347.0181956,0,18.67362487,0,0,0
57:05.0,51851264,92917760,16121856,120877056,4055040,3907584,87023616,6.243757491,346.5285408,1.560939373,29.65784808,0,0,1.560939373
57:06.0,51851264,107253760,16121856,120877056,4055040,3907584,87023616,0,365.2599227,0,20.29221793,0,0,0
57:07.0,51761152,103211008,16121856,129712128,4055040,3907584,87023616,1.55112498,342.7986206,0,35.67587454,0,0,3.10224996
57:08.0,51761152,106053632,16121856,125325312,4055040,3907584,87023616,0,362.8915299,0,25.35486671,0,0,0
57:09.0,52555776,99348480,16121856,125325312,4055040,3907584,87023616,1.580647733,316.1295465,4.741943198,36.35489785,0,0,1.580647733
57:10.0,52555776,115662848,16121856,118759424,4055040,3907584,87023616,0,366.8347677,0,13.81386154,0,0,0
57:11.0,52764672,115089408,16121856,125648896,4055040,3907584,87023616,1.567015983,355.7126282,0,17.23717582,0,0,4.70104795
57:12.0,52764672,113057792,16121856,125648896,4055040,3907584,87023616,0,353.1787857,0,20.4969831,0,0,0
57:13.0,52695040,107593728,16121856,126697472,4055040,3907584,87023616,0,344.7894376,1.553105575,23.29658362,0,0,4.659316725
57:14.0,52695040,121798656,16121856,125644800,4055040,3907584,87023616,0,360.2170659,0,18.71257485,0,0,0
57:15.0,53059584,104095744,16191488,126697472,3989504,3907584,86986752,6.26252254,352.2668929,1.565630635,23.48445953,0,0,7.828153175
57:16.0,53059584,120020992,16662528,126697472,3989504,3907584,86986752,0,356.5542958,0,22.18560063,0,0,0
57:17.0,53436416,114229248,16662528,126468096,3989504,3907584,86986752,3.054740361,348.2404011,1.52737018,24.43792289,0,0,1.52737018
57:18.0,53436416,116371456,16662528,125415424,3989504,3907584,86986752,0,357.2316458,0,31.06362138,0,0,0
57:19.0,53612544,111337472,16662528,126468096,3989504,3907584,86986752,8.01173749,339.6976696,0,25.63755997,0,0,3.204694996
57:20.0,53612544,125984768,16662528,126468096,3989504,3907584,86986752,0,354.4132849,0,27.73669186,0,0,0
57:21.0,53858304,112537600,16662528,126468096,3989504,3907584,86982656,4.687504688,346.8753469,0,23.43752344,0,0,1.562501563
57:22.0,54304768,111640576,16625664,129855488,3989504,3907584,86831104,3.087938561,361.2888117,1.543969281,24.70350849,0,0,4.631907842
57:23.0,54308864,115433472,16625664,125648896,3989504,3907584,86831104,0,233.7350622,0,75.24347893,0,0,0
57:24.0,54308864,116760576,16625664,125648896,3989504,3907584,86831104,0,237.02609,0,60.81590468,0,0,0
57:25.0,54403072,110104576,16625664,130052096,3989504,3907584,86831104,3.090996259,250.370697,1.54549813,46.36494389,0,0,4.636494389
57:26.0,54403072,125415424,16662528,120729600,3989504,3907584,86831104,0,357.2793628,0,25.40653247,0,0,0
57:27.0,54951936,119013376,16662528,122830848,3989504,3907584,86831104,6.225088441,378.1741228,0,14.00644899,0,0,3.112544221
57:28.0,54951936,120971264,16662528,121585664,3989504,3907584,86831104,0,371.133216,0,24.95013217,0,0,0
57:29.0,55132160,116600832,16662528,121585664,3989504,3907584,86831104,4.682819522,346.5286446,0,21.85315777,0,0,3.121879681
57:30.1,55169024,130301952,16662528,120532992,3989504,3907584,86831104,0,351.781968,0,23.4521312,0,0,0
57:31.0,56549376,113283072,16662528,121298944,3989504,3907584,86831104,8.445956903,354.7301899,0,27.02706209,0,0,5.067574142
57:32.0,56688640,125505536,16662528,120246272,3989504,3907584,86831104,0,369.2898235,0,20.17129288,0,0,0
57:33.0,56250368,121630720,16662528,125419520,3989504,3907584,86982656,7.870579366,343.1572604,3.148231747,20.46350635,0,0,3.148231747
57:34.0,56250368,125784064,16662528,125419520,3989504,3907584,86982656,0,376.0442673,0,12.27899648,0,0,0
57:35.0,57339904,119599104,16662528,125419520,3989504,3907584,86982656,6.281388096,347.0466923,0,34.54763453,0,0,3.140694048
57:36.0,55459840,135077888,16662528,119107584,3989504,3907584,86982656,0,350.894569,0,23.6027737,0,0,0
57:37.0,56397824,117874688,16662528,124256256,3989504,3907584,86982656,6.044480997,341.5131763,0,16.62232274,0,0,3.022240499
57:38.0,56397824,130449408,16662528,123203584,3989504,3907584,86982656,0,352.456041,0,17.86643526,0,0,0
57:39.0,56578048,130834432,16662528,123854848,3989504,3907584,86982656,3.069747613,366.8348397,0,26.09285471,0,0,0
57:40.0,55717888,129191936,16662528,119889920,3989504,3907584,86982656,0,328.863757,0,26.74968359,0,0,0
57:41.0,56975360,128376832,16662528,126574592,3989504,3907584,86982656,4.725074739,348.0805058,0,20.47532387,0,0,0
57:42.0,57278464,126054400,16662528,126574592,3989504,3907584,86982656,4.689086318,357.9335889,0,17.1933165,0,0,4.689086318
57:43.0,57278464,133267456,16662528,126214144,3989504,3907584,86982656,0,353.5136428,0,19.89470717,0,0,0
57:44.0,57520128,125906944,16662528,130420736,3989504,3907584,86982656,3.102006994,339.6697658,3.102006994,21.71404895,0,0,3.102006994
57:45.0,57520128,139517952,16617472,125161472,3989504,3907584,86982656,0,356.9165698,0,12.69036693,0,0,0
57:46.0,58327040,122200064,16617472,126214144,3989504,3907584,86982656,3.15020066,344.9469723,1.57510033,11.02570231,0,0,0
57:47.0,58327040,134750208,16617472,120643584,3989504,3907584,86982656,0,349.1535028,0,26.85796175,0,0,0
57:48.0,58654720,130154496,16621568,129490944,3989504,3907584,86982656,4.618224781,354.0638999,0,18.47289912,0,0,3.078816521
57:49.0,58654720,132825088,16621568,128438272,3989504,3907584,86982656,0,363.1154666,0,17.29121269,0,0,0
57:50.0,58654720,126365696,16621568,129490944,3989504,3907584,86982656,7.799142409,363.4400362,0,10.91879937,0,0,0
57:51.0,58654720,142626816,16621568,118431744,3989504,3907584,86982656,0,352.7720516,0,24.9750125,0,0,0
57:52.0,58953728,129028096,16621568,122380288,3989504,3907584,86982656,7.746383839,322.2495677,1.549276768,37.18264243,0,0,4.647830304
57:53.0,58953728,142217216,16621568,121327616,3989504,3907584,86982656,0,376.6187885,0,18.67531183,0,0,0
57:54.0,60248064,135168000,16621568,123363328,3989504,3907584,86900736,3.198569334,353.4419114,0,17.59213134,0,0,4.797854001
57:55.0,60248064,137740288,16621568,119431168,3989504,3907584,86900736,0,362.4745336,0,18.50933789,0,0,0
57:56.0,60407808,130265088,16621568,123568128,3989504,3907584,86900736,6.189109069,349.6846624,0,23.20915901,0,0,4.641831802
57:57.0,60407808,146333696,16621568,122515456,3989504,3907584,86900736,0,356.1112327,0,21.9628073,0,0,0
57:58.0,60624896,134017024,16621568,123338752,3989504,3907584,86900736,7.727486826,358.5553887,3.090994731,35.5464394,0,0,7.727486826
57:59.0,58507264,142786560,16584704,119324672,3989504,3907584,86900736,0,335.7063097,0,26.29957265,0,0,0
58:00.0,59158528,146878464,16584704,123207680,3989504,3907584,86900736,6.503628504,338.1886822,0,26.01451402,0,0,0
58:01.1,59179008,140967936,16584704,123801600,3989504,3907584,86900736,4.370580877,354.017051,0,23.30976467,0,0,1.456860292
58:02.0,59179008,143794176,16584704,122884096,3989504,3907584,86900736,0,359.3262227,0,22.76274714,0,0,0
58:03.0,59179008,137682944,16584704,127090688,3989504,3907584,86855680,3.267948225,339.8666154,1.633974113,27.77755991,0,0,0
58:04.0,59179008,153743360,16584704,122884096,3989504,3907584,86855680,0,367.0193008,0,21.32062329,0,0,0
58:05.0,59408384,135577600,16584704,122884096,3989504,3907584,86855680,6.319531914,342.8346063,0,18.95859574,0,0,4.739648935
58:06.0,59408384,151347200,16584704,121143296,3989504,3907584,86855680,0,383.991431,0,14.04846699,0,0,0
58:07.0,59539456,144941056,16584704,127438848,3989504,3907584,86855680,3.0876539,353.5363715,1.54382695,12.3506156,0,0,3.0876539
58:08.1,59539456,150056960,16584704,126386176,3989504,3907584,86855680,0,363.8903821,0,26.73480358,0,0,0
58:09.0,60891136,143568896,16584704,127438848,3989504,3907584,86855680,4.862551363,330.6534927,0,30.79615863,0,0,3.241700909
58:10.0,59695104,156979200,16584704,120049664,3989504,3907584,86855680,0,370.2746192,0,25.53618063,0,0,0
