(PDH-CSV 4.0) (,\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne
06:32.5,37.83785747,29.72974516,3336.488218,1.351352053,0,193486848,142340096,100982784,26570752,14917632
06:42.4,1.272595389,1.74981866,6.362976946,0,0,189878272,142340096,101146624,26570752,14917632
06:43.4,7.81249375,4.68749625,384.3746925,0,0,190025728,147714048,102219776,26570752,14917632
06:44.4,4.640025578,4.640025578,383.5754478,0,0,190025728,147714048,103251968,26570752,14917632
06:45.4,0,3.174601885,384.126828,0,0,189997056,147714048,102068224,26570752,14917632
06:46.4,0,3.124998438,389.0623055,0,0,189997056,114212864,103043072,26570752,14917632
06:47.4,0,1.538463659,390.7697694,0,0,189997056,114212864,104067072,26570752,14917632
06:48.4,0,0,393.6501538,0,0,190304256,114212864,105066496,26570752,14917632
06:49.7,20.86359623,12.69958031,1025.339925,0.30237096,0,217100288,114036736,118718464,26517504,14917632
07:03.4,0.476759546,0.476759546,38.14076369,0,0,217100288,114036736,119611392,26517504,14917632
07:04.4,1.554167023,0,390.0959227,0,0,217100288,114036736,120537088,26517504,14917632
07:05.4,0,1.554940811,382.5154394,0,0,217100288,114036736,121524224,26517504,14917632
07:06.4,3.125,3.125,384.375,0,0,218169344,114036736,107798528,26517504,14917632
07:07.4,1.538462599,0,393.8464253,0,0,219783168,114036736,107450368,26517504,14917632
07:08.4,0,6.349201189,387.3012725,0,0,219783168,114036736,108421120,26517504,14917632
07:09.4,0,0,396.1689656,0,0,219783168,114036736,109457408,26484736,14917632
07:15.5,0.257432356,2.574323563,386.9208316,0,0,219873280,114036736,114913280,26497024,14917632
07:16.4,0,5.172413793,384.4827586,0,0,219873280,114036736,115683328,26497024,14917632
07:17.4,6.25,0,379.6875,0,0,219873280,114036736,116518912,26497024,14917632
07:18.4,0,4.678079751,386.7212594,0,0,219873280,114036736,117481472,26497024,14917632
07:19.4,0,3.107796791,391.5823956,0,0,219873280,114036736,118337536,26497024,14917632
07:20.4,1.575609544,4.726828632,381.2975097,0,0,219873280,114036736,119169024,26542080,14917632
07:21.4,3.076921865,3.076921865,384.6152331,0,0,220139520,114036736,120004608,26542080,14917632
07:22.4,0,3.141318206,391.0941166,0,0,220139520,114036736,120774656,26542080,14917632
07:28.4,6.596174887,3.44148255,381.1441924,0.286790212,0,204779520,113934336,136523776,26714112,14958592
07:33.4,16.6663289,0,383.3255646,0,0,200105984,113934336,136613888,26714112,14958592
07:34.4,6.15386312,1.53846578,383.0779792,0,0,199651328,113934336,137736192,26714112,14958592
07:35.4,0,4.712942348,389.6032341,0,0,199651328,113934336,138502144,26714112,14958592
07:36.4,0,3.17460124,395.2378543,0,0,199651328,113934336,139018240,26714112,14958592
07:37.4,1.538462144,0,392.3078468,0,0,199651328,113934336,131977216,26714112,14958592
07:38.4,3.174601562,1.587300781,393.6505937,0,0,195608576,113934336,132751360,26714112,14958592
07:39.4,6.153859484,3.076929742,386.1546826,0,0,195608576,113934336,133550080,24977408,14958592
07:45.4,1.565319297,4.43507134,385.068547,0.260886549,0,195571712,113934336,115204096,24977408,14958592
07:46.4,9.230771049,6.153847366,372.3077656,0,0,199323648,113934336,99880960,24977408,14958592
07:47.4,1.587304006,4.761912018,377.7783534,0,0,199323648,113934336,100794368,24977408,14958592
07:48.4,4.687495313,4.687495313,382.8121172,0,0,199286784,113934336,101842944,24977408,14958592
07:49.4,6.249999375,3.124999688,382.8124617,0,0,199286784,113934336,102862848,24977408,14958592
07:50.4,3.106768241,3.106768241,389.8994143,0,0,199286784,113934336,103739392,24977408,14958592
07:51.4,0,3.160590781,391.9132568,0,0,199286784,113934336,104701952,24977408,14958592
07:54.8,1.357466181,10.40724072,1430.316866,0,0,199262208,113934336,115499008,24944640,14929920
08:04.4,0,0,8.833501546,0,0,199262208,113934336,115662848,24944640,14929920
08:05.4,3.059282931,3.059282931,391.5882152,0,0,199262208,113934336,116465664,24969216,14929920
08:06.4,0,4.816991324,385.3593059,0,0,199262208,113934336,117268480,24969216,14929920
08:07.4,1.538463508,0,386.1543404,0,0,199262208,113934336,118091776,24969216,14929920
08:08.4,3.174598015,7.936495037,377.7771637,0,0,199262208,113934336,118812672,24969216,14929920
08:09.4,0,7.692331172,381.5396261,0,0,199262208,113934336,119619584,24969216,14929920
08:10.4,1.562497188,1.562497188,385.9368053,0,0,199262208,113934336,120430592,24969216,14929920
08:16.4,1.304189708,2.608379417,388.909371,0,0,199184384,113934336,124985344,24969216,14929920
08:17.4,0,1.538460933,395.3844597,0,0,199184384,113934336,125812736,24969216,14929920
08:18.4,0,0,393.6503938,0,0,199184384,113934336,126578688,24969216,14929920
08:19.4,0,3.092804217,391.2397335,0,0,199184384,113934336,127348736,24969216,14929920
08:20.4,0,4.761912502,392.0641293,0,0,199184384,113934336,128110592,24969216,14929920
08:21.4,0,4.636058297,386.3381914,0,0,199184384,113934336,128892928,24969216,14929920
08:22.4,3.117103442,4.675655163,384.9622751,0,0,199184384,113934336,129646592,24969216,14929920
08:24.5,9.498234626,2.922533731,500.4839014,9.498234626,0,204709888,113934336,121872384,29265920,14929920
08:25.4,0,0,0,0,0,204709888,113934336,121872384,29265920,14929920
08:30.1,7.962564819,8.957885421,877.5409978,0.995320602,0.663547068,202354688,113934336,136441856,34230272,24371200
08:36.4,0,0.247355352,10.38892477,0,0,202354688,113934336,136572928,34230272,24371200
08:37.4,0,3.174577697,390.4730568,0,0,202354688,113934336,137383936,34230272,24371200
08:38.4,3.124999063,1.562499531,384.3748847,0,0,202354688,113934336,138203136,34230272,24371200
08:39.4,3.076923683,4.615385524,387.692384,0,0,202354688,113934336,139055104,34230272,24371200
08:40.4,1.587302232,4.761906697,382.539838,0,0,202354688,113934336,139878400,34230272,24371200
08:41.4,1.554155738,3.108311476,393.2014017,1.554155738,0,202354688,113934336,136798208,34230272,24371200
08:42.4,4.664831717,1.554943906,380.9612569,0,0,202354688,113934336,137633792,34230272,24371200
08:44.0,1.941746849,6.796113971,1668.931417,0,0,202354688,113934336,117317632,34230272,24371200
08:49.4,0,0,6.692768168,0,0,202354688,113934336,117399552,34230272,24371200
08:50.4,0,1.54077887,392.8986118,0,0,201818112,113934336,118169600,34230272,24371200
08:51.4,0,4.728943992,387.7734074,0,0,201818112,113934336,119029760,34230272,24371200
08:52.4,0,1.554951488,388.737872,0,0,201818112,113934336,119767040,34230272,24371200
08:53.4,4.685104506,3.123403004,379.493465,0,0,201818112,113934336,120565760,34230272,24371200
08:54.4,1.538462447,1.538462447,386.1540743,0,0,201887744,113934336,121344000,34230272,24371200
08:55.4,1.573406856,6.293627425,387.0580867,0,0,201850880,113934336,121851904,34230272,24371200
09:01.1,0.541799033,2.708995163,389.8244039,0,0,201818112,113934336,126271488,34230272,24371200
09:01.4,0,0,399.9994514,0,0,201818112,113934336,126418944,34230272,24371200
09:02.4,0,1.551081404,397.0768394,0,0,201818112,113934336,127205376,34230272,24371200
09:03.4,1.582210065,1.582210065,389.2236761,0,0,201818112,113934336,127946752,34230272,24371200
09:04.4,0,0,387.7823229,0,0,201793536,113934336,128716800,34230272,24371200
09:05.4,6.249990625,4.687492969,382.8119258,0,0,205787136,113934336,113782784,34230272,24371200
09:06.4,3.076924592,3.076924592,384.615574,0,0,205787136,113934336,114798592,34230272,24371200
09:07.4,3.143515305,7.858788263,383.5088672,0,0,205787136,113934336,115691520,34230272,24371200
09:19.0,0.539586379,3.912001249,387.4230202,0.134896595,0,205787136,113934336,125947904,34230272,24371200
09:19.4,0,7.692300118,388.461156,0,0,205787136,113934336,126291968,34230272,24371200
09:20.4,0,4.615389614,390.769654,0,0,205787136,113934336,127111168,34230272,24371200
09:21.4,0,6.349210219,388.8891259,0,0,205787136,113934336,127913984,34263040,24371200
09:22.4,3.093379169,3.093379169,386.6723961,0,0,205787136,113934336,128733184,34263040,24371200
09:23.4,0,4.734569193,383.5001046,0,0,205787136,113934336,129519616,34263040,24371200
09:24.4,0,3.079831803,386.5188912,0,0,205787136,113934336,130338816,34263040,24371200
09:25.4,0,3.174698315,395.2499402,0,0,205717504,113934336,131125248,34263040,24371200
09:30.0,1.006696556,5.033482781,953.0060732,0,0,205717504,113934336,141983744,34263040,24371200
09:37.4,0,0,32.73678888,0,0,205717504,113934336,142442496,34263040,24371200
09:38.4,0,0,397.6387293,0,0,205717504,113934336,143237120,34263040,24371200
09:39.4,0,3.124993125,389.0616441,0,0,205717504,113934336,143982592,34263040,24371200
09:40.4,0,1.538463053,390.7696155,0,0,205717504,113934336,144769024,34263040,24371200
09:41.4,0,1.572027113,389.8627241,0,0,205717504,113934336,145498112,34361344,24371200
09:42.4,6.157564489,1.539391122,386.3871717,0,0,205717504,113934336,146292736,34361344,24371200
09:43.4,0,1.569250129,392.3125324,0,0,205717504,113934336,147058688,34361344,24371200
09:48.5,5.171512167,11.04823054,920.9993031,0,0,207040512,120377344,119943168,34361344,24371200
09:59.4,0,0,1.339331539,0,0,207040512,120377344,119992320,34361344,24371200
10:00.4,0,1.562498438,389.0621109,0,0,207040512,120377344,120795136,34361344,24371200
10:01.4,0,0,395.3846932,0,0,207040512,120377344,121614336,34361344,24371200
10:02.4,0,6.314339329,385.1746991,0,0,207040512,120377344,122437632,34361344,24371200
10:03.4,0,6.195911551,390.3424277,0,0,207040512,120377344,123240448,34361344,24371200
10:04.4,0,0,388.8888099,0,0,207040512,120377344,123977728,34361344,24371200
10:05.4,0,3.076925198,389.2310375,0,0,207040512,120377344,124768256,34361344,24371200
10:11.4,0.5223056,5.223055997,385.7226853,0,0,207040512,120377344,129503232,34361344,24371200
10:12.4,1.562498906,3.124997813,392.1872255,0,0,207040512,120377344,130301952,34361344,24371200
10:13.4,0,3.10211754,383.1115162,0,0,207040512,120377344,131055616,34361344,24371200
10:14.4,0,0,392.5731637,0,0,207040512,120377344,131596288,34361344,24371200
10:15.4,0,6.153849183,386.1540363,0,0,206987264,120377344,132366336,34361344,24371200
10:16.4,0,3.174598982,392.0629743,0,0,206987264,120377344,133111808,34361344,24371200
10:17.4,4.615390523,1.538463508,390.769731,0,0,206987264,120377344,133922816,34361344,24371200
10:19.7,0.795677922,3.182711687,389.6169556,0,0,206987264,120377344,130240512,34361344,24371200
10:23.4,270.0001728,340.0002176,31440.02012,0,0,208519168,120377344,134918144,34361344,24371200
10:36.4,0,0.120833798,6.404191272,0,0,208519168,120377344,135098368,34361344,24371200
10:37.4,7.69230542,3.076922168,379.9998878,0,0,208519168,120377344,135933952,34361344,24371200
10:38.4,6.349210864,3.174605432,379.3653491,0,0,208519168,120377344,136753152,34361344,24371200
10:39.4,1.546675652,3.093351304,389.7622643,0,0,208519168,120377344,137588736,34361344,24371200
10:40.4,0,4.761903794,382.5396048,0,0,208519168,120377344,138358784,34361344,24371200
10:41.4,0,6.153848578,384.6155361,0,0,208519168,120377344,139145216,34361344,24371200
10:42.4,0,1.587301426,384.1269451,0,0,208519168,120377344,139931648,34361344,24371200
10:46.3,3.973701598,6.357922556,1029.983454,0,0,208519168,120377344,145694720,34361344,24371200
10:53.4,0,0.220919228,33.13788427,0,0,208519168,120377344,145891328,34361344,24371200
10:54.4,0,3.093316704,388.2112463,0,0,208859136,120377344,119476224,34361344,24371200
10:55.4,1.587302071,3.174604142,382.5397991,0,0,208822272,120377344,120217600,34361344,24371200
10:56.4,3.110434767,6.220869534,379.4730416,0,0,208822272,120377344,120987648,34361344,24371200
10:57.4,0,1.538458357,392.3068811,0,0,208822272,120377344,121745408,34361344,24371200
10:58.4,0,1.587304651,392.0642488,0,0,208822272,120377344,122507264,34361344,24371200
10:59.4,1.547471728,6.189886913,393.057819,0,0,208822272,120377344,123305984,34361344,24371200
11:02.7,0,0.941390021,389.7354688,0,0,208822272,120377344,113291264,34361344,24371200
11:05.8,6.444630007,12.39351925,2289.330875,0,0,211619840,120377344,126738432,34361344,24371200
11:21.4,0,0,2.316242411,0,0,211619840,120377344,126820352,34361344,24371200
11:22.4,0,3.124998125,385.9372684,0,0,211619840,120377344,127647744,34361344,24371200
11:23.4,0,0,387.4999225,0,0,211619840,120377344,128450560,34361344,24371200
11:24.4,0,4.615384161,386.1538081,0,0,211554304,120344576,129220608,34361344,24371200
11:30.4,2.081653439,4.163306878,385.8865063,0,0,213131264,120344576,135942144,33239040,24309760
11:31.4,0,3.174600917,387.3013119,0,0,213131264,120344576,136720384,33251328,24309760
11:32.4,1.53846169,1.53846169,395.3846543,0,0,213131264,120344576,137498624,33251328,24309760
11:33.4,0,4.761905729,390.4762698,0,0,213139456,120344576,138014720,33251328,24309760
11:34.4,3.1249925,6.249985,382.8115813,0,0,213139456,120344576,138776576,33251328,24309760
11:35.4,1.540382267,1.540382267,383.5551845,0,0,213139456,120344576,139534336,33251328,24309760
11:36.4,3.142464245,0,381.8094058,0,0,213139456,120344576,140271616,33251328,24309760
11:45.9,2.570068409,2.89132696,387.3307265,0,0,199839744,125116416,114147328,33251328,24309760
11:51.4,0,0,392.3088511,0,0,199839744,125116416,114491392,33251328,24309760
11:52.4,0,3.099803864,389.025385,0,0,199839744,125116416,115347456,33251328,24309760
11:53.4,0,1.587305135,385.7151478,0,0,199839744,125116416,116199424,33251328,24309760
11:54.4,0,1.543221308,395.0646548,0,0,199839744,125116416,114204672,33251328,24309760
11:55.4,0,0,391.4231117,0,0,199745536,125116416,115056640,33251328,24309760
11:56.4,0,4.725977014,381.2288125,0,0,199745536,125116416,115875840,33275904,24309760
11:57.4,0,1.562499844,392.1874608,0,0,199745536,125128704,116695040,33275904,24309760
11:59.3,0.519437869,4.501794867,388.0200883,0,0,199745536,125128704,119246848,33275904,24309760
12:07.4,3.225806119,4.838709178,387.0967342,0,0,199708672,125128704,120012800,33275904,24309760
12:08.4,0,1.550855402,386.1629952,0,0,199708672,125128704,120762368,33275904,24309760
12:09.4,0,1.562499531,389.0623833,0,0,199708672,125128704,121593856,33275904,24309760
12:10.4,0,3.125,381.25,0,0,199680000,125128704,122376192,33275904,24309760
12:11.4,4.618975194,4.618975194,380.2956243,0,0,199680000,125128704,123203584,33275904,24309760
12:12.4,0,3.174603497,379.3651179,0,0,199680000,125128704,123686912,33275904,24309760
12:13.4,0,4.6875,387.5,0,0,199680000,125128704,124489728,33275904,24309760
12:18.4,1.251347075,1.877020613,385.1020624,0,0,199680000,125128704,128299008,33275904,24309760
12:19.4,3.124998125,7.812495313,381.2497713,0,0,199680000,125128704,129093632,33275904,24309760
12:20.4,0,1.53846275,384.6156876,0,0,199680000,125128704,129843200,33275904,24309760
12:21.4,4.693518969,4.693518969,373.9170112,0,0,201748480,126177280,114966528,33366016,24309760
12:22.4,0,1.587300942,385.714129,0,0,201748480,126177280,116047872,33366016,24309760
12:23.4,0,1.562498594,393.7496456,0,0,201748480,126177280,116998144,33366016,24309760
12:24.4,0,1.538462599,395.3848879,0,0,201711616,126177280,117989376,33366016,24309760
12:35.4,0.994934879,2.842671082,385.3240651,0.142133554,0,201715712,124125184,127754240,33087488,24309760
12:36.4,3.093347017,3.093347017,388.2150507,0,0,201715712,124166144,128565248,33087488,24309760
12:37.4,0,1.587289816,382.5368457,0,0,201715712,124166144,129351680,33087488,24309760
12:38.4,3.124998125,6.24999625,385.9372684,0,0,201715712,124166144,130138112,33087488,24309760
12:39.4,0,3.076921865,387.692155,0,0,201715712,124166144,130924544,33087488,24309760
12:40.4,4.761913469,1.58730449,387.3022955,0,0,197120000,124166144,131727360,33087488,24309760
12:41.4,0,0,391.2609543,0,0,197120000,124166144,132513792,33087488,24309760
12:42.4,4.57933474,4.57933474,380.0847834,0,0,197120000,124166144,133332992,33087488,24309760
12:56.4,1.0060659,4.024263598,384.9878842,0,0,199487488,124166144,146173952,33107968,24309760
12:57.4,0,4.621200104,388.1808088,0,0,199487488,124166144,146944000,33107968,24309760
12:58.4,0,0,393.6503138,0,0,199487488,124166144,147582976,33107968,24309760
12:59.4,3.076925804,3.076925804,390.7695771,0,0,199487488,124166144,146485248,33107968,24309760
