(PDH-CSV 4.0) (Central European Summer Time)(-120),\\DESKTOP-940RFIL\Proces(chrome#6)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#5)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#4)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#6)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#5)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome)\Czas procesora (%)
10:00.8,12124160,79872000,15519744,108998656,4091904,3960832,61657088,0,334.4706818,0.817110786,10.89481048,0,0,2.451332359
10:01.0,12124160,79937536,15519744,109035520,4091904,3960832,61657088,0,398.9566438,0,0,0,0,0
10:02.0,12124160,75329536,15519744,90959872,4091904,3960832,61657088,0,372.9531703,0,10.96921089,0,0,6.26812051
10:03.0,12124160,67100672,15519744,90103808,4091904,3960832,61657088,0,376.5287065,0,7.844348053,0,0,0
10:04.0,12124160,67932160,15519744,82776064,4091904,3960832,61657088,0,378.1867744,0,7.846198639,0,0,0
10:05.0,12759040,68239360,15519744,82771968,4091904,3960832,61657088,0,385.6080143,0,10.88409718,0,0,0
10:06.0,12759040,70971392,15544320,82771968,4091904,3960832,61779968,0,373.5011917,1.575954395,7.879771977,0,0,3.151908791
10:07.0,12759040,71344128,15544320,82509824,4091904,3960832,61775872,0,391.1539855,0,7.730315919,0,0,0
10:08.0,12759040,72777728,15544320,82509824,4091904,3960832,61775872,0,373.9160033,0,7.888523277,0,0,0
10:09.0,12759040,73105408,15544320,82509824,4091904,3960832,61775872,0,378.550599,0,4.673464185,0,0,0
10:10.0,12759040,74817536,15544320,81985536,4091904,3960832,61775872,0,393.5877983,0,3.111365994,0,0,0
10:11.0,12759040,75083776,15544320,81985536,4091904,3960832,65273856,0,380.1430273,0,4.712516867,0,0,4.712516867
10:12.0,12759040,62627840,15548416,81985536,4091904,3960832,66215936,0,386.9184687,1.553889432,1.553889432,0,0,0
10:13.0,12759040,88125440,15548416,81985536,4091904,3960832,66306048,0,376.5330928,0,9.37426787,0,0,0
10:14.0,12759040,88522752,15548416,82116608,4091904,3960832,66306048,0,385.0665097,0,9.468848599,0,0,0
10:15.0,12759040,88952832,15548416,82116608,4091904,3960832,66306048,0,383.9089921,0,10.83614091,0,0,0
10:16.0,12759040,89358336,15552512,82116608,4091904,3960832,70246400,0,377.2898016,0,0,0,0,3.131035698
10:17.0,12759040,94941184,15552512,82153472,4091904,3960832,70135808,0,386.9737479,0,1.547894992,0,0,0
10:18.0,12759040,95268864,15503360,82108416,4059136,3862528,69541888,0,380.0944671,0,3.128349524,0,0,0
10:19.0,12759040,87207936,15503360,82108416,4059136,3862528,69468160,0,391.0269108,1.583104902,0,0,0,1.583104902
10:20.0,12759040,87535616,15503360,82108416,4059136,3862528,79265792,0,369.1147604,0,9.227869011,0,0,4.613934505
10:21.0,12759040,87863296,15503360,82108416,4059136,3862528,79265792,0,386.7364125,0,6.288396952,0,0,0
10:22.0,12759040,75153408,15925248,85512192,4059136,3895296,83783680,0,2582.176743,18.75673179,54.70713439,0,0,51.58101243
10:29.0,12759040,81399808,16183296,85512192,4059136,3907584,85307392,0,37.07024563,0,0.446629465,0,0,2.009832594
