"(PDH-CSV 4.0) (","\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%)","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne"
"05/08/2020 11:12:32.373"," "," "," "," "," ","100","100","100","100","207605760","486965248","72527872","29732864","14827520"
"05/08/2020 11:12:33.404","26.154054742491979368","21.538633317346334906","76.923690419094043591","0","0","100","100","100","100","222187520","358268928","116113408","29732864","14827520"
"05/08/2020 11:12:34.388","0","1.5873030385500797035","204.76209197296029174","0","0","100","100","100","100","221048832","358268928","97587200","29732864","14827520"
"05/08/2020 11:12:35.373","4.7619042781557565647","1.5873014260519187069","199.99997968254174907","0","0","100","100","100","100","197136384","324653056","98516992","29732864","14970880"
"05/08/2020 11:12:36.373","1.5623625120989352855","3.1247250241978705709","203.10712657286157423","0","0","100","100","100","100","197500928","140529664","99545088","27402240","14970880"
"05/08/2020 11:12:37.380","1.5514339320494774377","3.1028678640989548754","200.13497723438260323","0","0","100","100","100","100","197615616","140529664","100560896","27344896","14970880"
"05/08/2020 11:12:38.380","0","3.1249993750001250348","206.24995875000826118","0","0","100","100","100","100","194048000","140529664","97673216","27344896","14970880"
"05/08/2020 11:12:39.380","3.1249178146614742246","1.5624589073307371123","203.11965795299582282","0","0","100","100","100","100","189952000","140529664","98598912","27344896","14970880"
"05/08/2020 11:12:40.395","0","4.6155050445623935218","200.0052185977037027","0","0","100","100","100","100","189915136","140529664","99516416","26587136","14970880"
"05/08/2020 11:12:41.395","0","1.5631693491152911513","200.08567668675726736","0","0","100","100","100","100","189915136","140005376","100589568","26587136","14970880"
