(PDH-CSV 4.0) (,\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne
45:38.6,33.08118539,6.301178169,200.0624069,0,0,206458880,246202368,122257408,29806592,14778368
45:39.6,1.562503906,6.250015625,292.1882305,0,0,204136448,224043008,123936768,29806592,14778368
45:40.6,0,6.249999375,296.8749703,0,0,203538432,224010240,105885696,29806592,14778368
45:41.6,3.154972873,1.577486437,298.1449365,0,0,196182016,152838144,107188224,29806592,14905344
45:42.6,3.119070024,6.238140048,293.1925823,0,0,196186112,152838144,108564480,29806592,14905344
45:43.6,0,3.080780631,298.8357212,0,0,192798720,152838144,109887488,27394048,14905344
45:44.6,0,4.687502813,295.3126772,0,0,192684032,147308544,108249088,27394048,14905344
45:45.6,0,4.687501875,293.7501175,0,0,192684032,147308544,108998656,27394048,14905344
45:46.6,1.562500313,3.125000625,296.8750594,0,0,192368640,147308544,110387200,27394048,14905344
45:47.6,0,3.125000313,293.7500294,0,0,192368640,146108416,111792128,26546176,14905344
45:48.6,1.564475463,6.257901853,295.6858625,0,0,192368640,146108416,113147904,26546176,14905344
45:49.6,0,3.125000313,301.5625302,0,0,192368640,146108416,108158976,26546176,14905344
45:50.6,0,3.125003125,300.0003,0,0,192151552,160645120,109494272,26546176,14905344
45:51.6,0,3.124997188,296.8747328,0,0,192151552,161697792,110817280,26546176,14905344
45:52.6,0,4.687501875,298.4376194,0,0,192151552,161697792,112271360,26546176,14905344
45:53.6,0,3.128965651,294.1227712,0,0,192221184,161026048,110813184,26546176,14905344
45:54.6,0,0,301.5621683,0,0,192221184,161026048,112107520,26546176,14905344
45:55.6,0,0,300.00024,0,0,192372736,161026048,113356800,26546176,14905344
45:56.6,0,0,300.00012,0,0,192372736,125788160,114618368,26546176,14905344
45:57.6,0,3.125,301.5625,0,0,192372736,125788160,113303552,26517504,14905344
45:58.6,0,1.564498177,297.2546536,0,0,192344064,125788160,114495488,26517504,14905344
