(PDH-CSV 4.0) (Central European Summer Time)(-120),\\DESKTOP-940RFIL\Proces(chrome#6)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#5)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#4)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#6)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#5)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome)\Czas procesora (%)
15:16.3,11.759616,21.098496,14.331904,101.658624,1.92512,1.777664,58.63424,0,9.371807962,0,6.247871975,0,0,15.61967994
15:17.3,11.759616,21.147648,14.348288,101.609472,1.92512,1.777664,59.469824,0,1.574557965,0,3.14911593,0,0,3.14911593
15:18.2,12.505088,21.733376,14.405632,100.5568,1.92512,1.777664,59.469824,0,3.136693279,3.136693279,0,0,0,1.568346639
15:19.3,12.505088,35.77856,14.405632,339.017728,1.92512,1.777664,59.641856,0,17.07717801,1.552470729,10.8672951,0,0,4.657412186
15:20.2,12.505088,92.860416,15.167488,384.344064,1.92512,1.777664,78.594048,0,42.45867934,6.290174717,81.77227132,0,0,59.75665981
15:21.3,12.505088,131.555328,15.396864,418.029568,1.92512,1.777664,78.770176,0,35.73035683,20.19541908,83.88866386,0,0,32.62336928
15:22.3,5.869568,200.9088,15.454208,456.564736,1.92512,1.777664,79.720448,17.22192663,37.57511265,0,76.71585499,0,1.565629694,51.66577989
15:23.2,54.898688,241.065984,15.454208,518.643712,1.92512,1.777664,81.272832,69.12093056,36.13139552,0,75.40465152,0,0,58.12441888
15:24.3,55.144448,302.338048,15.454208,585.187328,1.92512,1.777664,81.28512,1.53974397,30.7948794,0,97.0038701,0,1.53974397,43.11283116
15:25.3,55.599104,364.736512,15.454208,650.092544,1.92512,1.777664,81.22368,3.15656757,37.87881084,0,89.96217573,0,0,42.61366219
15:26.2,58.945536,296.50944,15.532032,568.77056,1.92512,1.777664,83.247104,29.98736465,33.14392935,0,94.696941,0,0,53.6615999
15:27.3,59.117568,376.819712,15.532032,573.87008,1.92512,1.777664,82.771968,9.27301446,44.81956989,0,86.54813496,0,0,21.63703374
15:28.2,59.650048,460.341248,15.532032,569.2416,1.92512,1.777664,82.771968,1.568773525,40.78811166,0,92.55763799,0,0,36.08179108
15:29.3,59.650048,544.124928,15.532032,573.435904,1.92512,1.777664,82.90304,0,34.27220737,0,98.14313928,0,0,4.673482823
15:30.2,60.297216,593.36704,15.532032,518.88128,1.92512,1.777664,82.911232,12.52504885,42.27203985,0,104.8972841,0,0,1.565631106
15:31.3,56.803328,472.952832,15.532032,912.850944,1.92512,1.777664,82.911232,32.71434388,81.00694676,0,98.14303165,0,0,26.48304029
15:32.2,70.238208,504.926208,15.532032,1082.834944,1.92512,1.777664,86.654976,64.25516268,197.4670853,1.56719909,25.07518544,0,0,81.49435267
15:33.2,75.313152,538.198016,15.532032,993.77152,1.92512,1.777664,92.053504,59.37508906,198.4377977,3.125004688,12.50001875,0,0,79.68761953
15:34.2,88.461312,572.207104,15.532032,949.645312,1.92512,1.777664,97.943552,76.71580887,206.6629953,0,10.95940127,0,0,59.49389259
15:35.2,97.169408,603.369472,15.532032,757.51424,1.92512,1.777664,103.211008,61.05956417,220.7538089,6.262519403,7.828149253,0,0,78.28149253
15:36.2,103.739392,634.810368,15.532032,757.51424,1.826816,1.675264,107.692032,56.24356011,212.4756715,4.686963343,6.249284457,0,0,92.17694574
15:37.2,111.292416,529.870848,15.532032,743.19872,1.826816,1.675264,110.620672,62.39373723,199.6599591,1.559843431,14.03859088,0,0,67.07326752
15:38.3,117.817344,548.876288,15.532032,573.231104,1.826816,1.675264,114.200576,69.96272137,223.8807084,0,4.664181425,0,0,66.85326709
15:39.3,121.233408,574.48448,15.532032,571.265024,1.826816,1.675264,119.189504,73.51095214,193.9437886,1.564062812,12.51250249,0,0,65.69063809
15:40.3,127.91808,605.851648,15.486976,571.265024,1.826816,1.675264,124.592128,64.06242953,221.8747559,4.687494844,9.374989688,0,0,64.06242953
15:41.3,134.504448,635.695104,15.486976,571.265024,1.826816,1.675264,129.007616,71.37550706,229.6429358,4.654924374,6.206565832,0,0,54.30745103
15:42.3,141.205504,673.77152,15.486976,571.265024,1.826816,1.675264,133.30432,58.04462626,222.765863,1.568773683,21.96283156,0,0,64.319721
15:43.3,151.154688,704.04096,15.450112,571.265024,1.826816,1.675264,138.633216,53.125,196.875,4.6875,25,0,0,90.625
15:44.3,159.25248,739.815424,15.450112,571.0848,1.826816,1.675264,144.216064,59.13836375,196.090364,4.668818191,15.5627273,0,0,82.48245471
15:45.3,167.448576,558.309376,15.450112,571.0848,1.826816,1.675264,146.407424,51.70473806,253.9615075,1.52072759,12.16582072,0,0,77.55710709
15:46.3,176.140288,596.004864,15.450112,571.0848,1.826816,1.675264,148.647936,58.04473116,232.1789247,0,1.568776518,0,0,59.61350768
15:47.3,184.373248,645.89824,15.450112,571.0848,1.826816,1.675264,152.100864,46.21869611,258.187199,0,3.187496283,0,0,60.56242938
15:48.3,192.38912,649.211904,15.450112,571.0848,1.826816,1.675264,156.782592,51.94370969,215.6450978,4.722155426,4.722155426,0,0,70.8323314
15:49.3,200.15104,679.440384,15.450112,571.0848,1.826816,1.675264,160.960512,52.5185006,236.3332527,1.544661782,12.35729426,0,0,52.5185006
15:50.3,208.580608,831.598592,15.450112,571.0848,1.826816,1.675264,165.961728,55.65313014,247.5099735,1.464556056,7.322780281,0,0,76.15691493
15:51.3,207.355904,730.89024,15.40096,571.0848,1.826816,1.675264,169.193472,40.41189092,250.8904895,1.683828789,13.47063031,0,0,37.04423335
