start,end,total
56,98713,98657
98756,192767,94011
192805,287646,94841
287686,383977,96292
384026,478888,94862
478936,573391,94455
573435,669753,96318
669790,765924,96133
765970,864161,98190
864221,967015,102794
967070,1080498,113429
1080547,1213281,132733
1213332,1330223,116891
1330262,1463005,132744
1463058,1601283,138225
1601342,1726156,124814
1726199,1830472,104273
1830524,1932006,101482
1932043,2034056,102012
2034105,2174383,140277
2174422,2325321,150899
2325378,2470102,144724
2470148,2631487,161339
2631526,2802503,170976
2802546,2966668,164122
2966715,3114942,148227
3115123,3236226,121103
3236262,3433349,197087
3433386,3614280,180894
3614322,4365596,751274
4365657,4540598,174941
4540649,4716948,176298
4716984,4833002,116019
4833046,4941522,108476
4941557,5049054,107497
5049101,5156293,107192
5156326,5341364,185038
5341400,5495534,154134
5495576,5662838,167261
5662874,5837316,174441
5837360,6008419,171059
6008477,6188174,179697
6188212,6320297,132085
6320338,6441201,120863
6441239,6554530,113291
6554658,6669542,114884
6669586,6898370,228784
6898416,7050138,151722
7050212,7246638,196425
7246699,7438268,191569
