start,end,total
116,11376,11260
11510,21144,9634
21167,30626,9459
30645,40302,9657
40325,49962,9637
49974,59590,9616
59613,69204,9591
69216,78805,9589
78815,88345,9530
88373,97767,9394
97789,107575,9786
107587,117063,9477
117076,126873,9798
126891,136574,9683
136587,146449,9862
146460,155972,9512
155987,165531,9545
165543,175167,9624
175180,184888,9708
184899,194855,9956
194871,204722,9851
204755,214486,9731
214498,224088,9590
224098,233602,9504
233614,243471,9856
243482,253364,9882
253376,262872,9497
262883,272617,9734
272630,282480,9850
282493,292182,9689
292193,301705,9512
301719,311404,9685
311467,321208,9741
321219,330915,9696
330931,340629,9698
340641,350499,9858
350511,360204,9693
360215,369871,9655
369884,379727,9843
379739,389317,9579
389329,398957,9628
398969,408569,9601
408581,418668,10087
418684,428371,9688
428384,438242,9858
438254,448657,10403
448671,458702,10031
458715,468461,9746
468477,478266,9790
478280,488455,10174
