(PDH-CSV 4.0) (Central European Summer Time)(-120),\\DESKTOP-940RFIL\Proces(chrome#6)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#5)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#4)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#6)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#5)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome)\Czas procesora (%)
38:47.9,20.819968,43.536384,16.347136,150.638592,1.867776,1.748992,163.55328,0,6.157223571,0,1.539305893,0,0,0
38:48.9,20.877312,43.536384,16.347136,125.394944,1.867776,1.748992,163.524608,3.159872351,7.899680878,0,0,0,0,3.159872351
38:49.9,64.139264,37.978112,16.355328,128.950272,1.867776,1.748992,163.827712,64.36242025,11.70225823,1.462782278,38.03233924,0,0,11.70225823
38:50.9,94.90432,37.605376,16.355328,128.65536,1.867776,1.748992,164.7616,302.8486785,9.984022369,1.664003728,18.30404101,0,0,23.2960522
38:51.9,148.598784,37.605376,16.396288,125.509632,1.867776,1.748992,166.088704,331.3467283,7.599695604,3.039878241,22.79908681,0,0,16.71933033
38:52.9,182.878208,37.605376,16.420864,110.350336,1.867776,1.748992,167.256064,256.8072612,6.188126777,1.547031694,24.75250711,0,0,17.01734864
38:53.9,192.86016,37.605376,16.420864,110.350336,1.867776,1.748992,168.464384,282.3210775,12.98027942,0,21.09295407,0,0,16.22534928
38:55.0,250.42944,37.605376,16.420864,104.783872,1.867776,1.748992,170.053632,339.1361962,9.611147261,0,16.47625245,0,0,16.47625245
38:55.9,263.909376,37.605376,16.420864,104.783872,1.867776,1.748992,170.962944,233.6449144,5.476052681,0,14.60280715,0,0,18.25350894
38:57.0,211.820544,37.605376,16.420864,100.47488,1.867776,1.748992,172.326912,230.9044355,5.666366515,2.833183258,16.99909955,0,0,21.24887443
38:57.9,227.504128,37.605376,16.420864,97.624064,1.867776,1.748992,173.38368,285.5248394,14.01348905,1.751686131,14.01348905,0,0,24.52360583
38:58.9,257.343488,37.605376,16.420864,97.681408,1.867776,1.748992,175.013888,305.6982297,9.217032053,1.536172009,13.82554808,0,0,13.82554808
38:59.9,295.530496,37.605376,16.420864,97.677312,1.867776,1.748992,176.582656,328.479336,5.918546594,0,16.27600313,0,0,23.67418638
39:00.9,285.384704,37.605376,16.420864,97.677312,1.867776,1.748992,178.569216,405.1114464,8.069949131,0,22.59585757,0,0,27.43782705
39:01.9,302.444544,37.605376,16.420864,97.677312,1.867776,1.748992,179.580928,168.1469862,1.586292323,0,11.10404626,0,0,11.10404626
39:02.9,326.725632,37.605376,16.420864,95.875072,1.867776,1.748992,180.867072,288.1984522,4.673488414,4.673488414,20.25178313,0,0,23.36744207
39:03.9,331.563008,37.605376,16.420864,93.974528,1.867776,1.748992,182.710272,262.2941618,6.436666548,0,32.18333274,0,0,12.8733331
