start,end,total
43,810,766
812,1396,584
1403,1954,551
1956,2516,561
2519,3112,593
3114,3689,575
3691,4289,598
4294,5017,722
5019,5731,712
5735,6517,782
6519,7172,653
7178,7741,563
7743,8347,604
8349,8935,586
8937,9505,568
9507,10085,579
10087,10676,589
10679,11238,559
11240,11830,590
11832,12382,550
12385,12935,550
12936,13502,565
13503,14095,592
14097,14676,579
14678,15234,556
15236,15835,599
15837,16393,556
16396,16996,600
16998,17547,549
17549,18082,534
18085,18630,545
18632,19168,536
19170,19682,512
19687,20225,538
20227,20773,546
20777,21341,564
21343,21914,571
21915,22503,588
22505,23068,563
23071,23641,570
23648,24195,548
24197,24766,568
24768,25330,562
25331,25875,543
25876,26455,579
26457,27052,595
27054,27654,600
27656,28225,569
28227,28795,568
28797,29372,575
