(PDH-CSV 4.0) (,\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne
43:52.1,10.7416064,1.5345152,4.603545599,0,0,206.094336,161.09568,60.493824,29.442048,14.200832
43:53.1,35.8303029,9.347035539,57.64005249,0,0,198.926336,165.66272,225.165312,29.442048,14.307328
43:54.1,0,0,126.2218902,0,0,199.020544,165.66272,526.012416,29.442048,14.307328
43:55.1,0,0,130.6119162,0,0,199.000064,165.66272,784.7936,26.963968,14.307328
43:56.1,23.3891126,6.237096694,110.7084663,0,0,203.862016,144.674816,1008.25088,26.963968,14.307328
43:57.1,10.90821907,0,135.5735798,0,0,179.15904,144.674816,1281.06496,26.963968,14.307328
43:58.1,1.582960236,0,115.5560972,0,0,178.266112,144.674816,1529.704448,26.963968,14.307328
43:59.1,0,0,124.6649007,0,0,178.233344,137.371648,1798.582272,26.09152,14.307328
44:00.1,0,0,120.1816342,0,0,178.233344,137.371648,2049.077248,26.09152,14.307328
44:01.1,26.46071621,0,175.8859372,0,0,209.98144,138.133504,2218.266624,26.09152,14.307328
44:02.1,7.790956447,1.558191289,196.3321025,0,0,203.640832,138.133504,2094.137344,26.09152,14.307328
44:03.1,7.778184207,14.00073157,340.6844683,0,0,207.552512,139.18208,2123.354112,26.09152,14.307328
44:04.1,4.718872955,9.43774591,360.2073022,0,0,211.21024,139.18208,2152.656896,26.09152,14.307328
44:05.1,4.620310065,15.40103355,328.0420146,0,0,214.945792,139.18208,2132.742144,26.09152,14.307328
44:06.1,11.04010564,11.04010564,310.7001158,0,0,215.220224,121.225216,2055.122944,26.09152,14.307328
44:07.1,13.88282432,10.79775225,330.1027117,0,0,218.714112,121.094144,2071.965696,26.09152,14.307328
44:08.1,15.74420409,9.446522455,324.3306043,0,0,222.257152,121.094144,2089.734144,26.09152,14.307328
44:09.1,9.443265365,18.88653073,328.9404102,0,0,225.93536,119.668736,2088.046592,26.062848,14.307328
44:10.1,9.440097021,15.73349504,350.8569393,0,0,229.216256,119.668736,2016.74752,26.062848,14.307328
44:11.1,24.61236509,13.84445537,310.7311093,0,0,232.722432,119.668736,1953.97632,26.062848,14.307328
44:12.1,3.154613938,9.463841815,354.8940681,0,0,236.208128,119.668736,1878.167552,26.062848,14.307328
44:13.1,12.56323453,3.140808632,336.0665236,0,0,239.562752,119.668736,1837.285376,26.062848,14.307328
