(PDH-CSV 4.0) (,\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne
16:53.7,29.23164996,16.92358682,155.3892971,0,0,165.060608,129.462272,130.977792,29.184,14.184448
16:54.7,7.875612798,6.300490239,324.4752473,0,0,166.54336,114.44224,144.36352,29.155328,14.184448
16:55.7,15.40668268,6.162673074,332.784346,0,0,150.925312,114.409472,186.667008,29.155328,14.286848
16:56.7,7.890648191,11.04690747,306.1571498,0,0,152.90368,114.409472,229.085184,26.112,14.286848
16:57.7,3.148029726,6.296059453,300.6368389,0,0,155.000832,113.156096,181.567488,26.112,14.286848
16:58.7,10.82935374,3.094101069,310.9571574,0,0,155.226112,113.156096,210.665472,26.112,14.286848
16:59.7,11.06855389,9.487331907,314.6631749,0,0,157.196288,113.09056,169.979904,26.112,14.286848
17:00.7,9.388644517,4.694322259,309.8252691,1.564774086,0,159.055872,112.697344,191.700992,26.177536,14.286848
17:01.7,7.677725212,4.606635127,325.535549,0,0,161.181696,112.697344,176.246784,26.177536,14.286848
17:02.7,6.307479429,6.307479429,310.6433619,0,0,163.393536,112.697344,209.8176,26.177536,14.286848
17:03.7,14.11712905,7.842849475,302.7339897,0,0,165.625856,111.648768,253.243392,26.177536,14.286848
17:04.7,6.2169779,4.662733425,338.8252956,0,0,168.194048,111.648768,283.680768,26.177536,14.286848
17:05.7,4.690068751,4.690068751,342.3750188,0,0,170.295296,111.648768,218.09152,26.177536,14.286848
17:06.7,9.391685268,6.261123512,303.6644903,0,0,172.453888,111.648768,251.96544,26.177536,14.286848
17:07.7,3.137197109,4.705795663,321.5627036,0,0,174.665728,111.648768,284.389376,26.177536,14.286848
17:08.7,3.129641571,1.564820786,327.0475442,0,0,176.92672,111.648768,313.63072,26.177536,14.286848
17:09.7,4.650224729,9.300449457,291.414083,0,0,178.946048,111.648768,221.995008,26.177536,14.286848
17:10.7,6.315785219,1.578946305,339.4734555,0,0,181.096448,92.737536,263.94624,26.15296,14.286848
17:11.7,7.727365298,4.636419179,327.6402886,0,0,183.324672,92.737536,299.094016,26.15296,14.286848
17:12.7,9.512329501,12.683106,309.1507088,0,0,185.614336,92.737536,331.730944,26.15296,14.286848
17:13.7,10.773771,6.156440573,330.9086808,0,0,187.973632,92.737536,276.074496,26.15296,14.286848
17:14.7,54.56615034,3.118065734,316.483672,0,0,193.82272,92.737536,263.221248,26.15296,14.286848
17:15.7,53.66778525,11.0492499,304.6436045,0,0,194.899968,92.737536,297.725952,26.124288,14.286848
17:16.7,6.269754743,14.10694817,297.8133503,0,0,194.7648,92.69248,328.675328,26.124288,14.286848
17:17.7,18.574992,4.643747999,60.36872399,0,0,196.640768,94.88384,321.425408,26.124288,14.385152
