start,end,total
44,636,592
640,1114,474
1116,1581,465
1583,2027,444
2028,2473,445
2474,2944,470
2945,3403,458
3405,3868,463
3868,4369,501
4371,4812,441
4812,5265,453
5268,5741,473
5741,6196,455
6197,6696,499
6698,7171,473
7172,7645,473
7645,8121,476
8122,8612,490
8613,9072,459
9073,9538,465
9539,10002,463
10003,10462,459
10463,10929,466
10930,11386,456
11388,11856,468
11857,12313,456
12315,12842,527
12844,13328,484
13328,13797,469
13798,14261,463
14262,14719,457
14720,15184,464
15184,15653,469
15654,16116,462
16117,16637,520
16638,17097,459
17097,17566,469
17567,18038,471
18039,18515,476
18516,18968,452
18969,19446,477
19447,19904,457
19905,20365,460
20366,20892,526
20894,21384,490
21384,21919,535
21922,22422,500
22423,22895,472
22896,23375,479
23376,23833,457
