start,end,total
42,11626,11584
11654,21359,9705
21381,30419,9038
30436,39531,9095
39554,48777,9223
48794,57904,9109
57922,67048,9126
67062,76181,9119
76194,85174,8980
85186,94432,9246
94453,103512,9059
103549,112649,9100
112662,122131,9469
122158,131266,9108
131298,140666,9368
140681,149719,9038
149737,159041,9304
159061,168353,9293
168366,177813,9447
177829,186938,9109
186970,196430,9460
196448,205591,9143
205609,215066,9456
215133,224235,9101
224253,233343,9090
233361,242684,9322
242703,252327,9624
252351,261558,9206
261575,270684,9109
270698,279883,9184
279902,289334,9432
289346,298782,9436
298805,308223,9419
308238,317400,9163
317442,327072,9630
327101,336268,9167
336281,345681,9400
345697,355495,9798
355515,364838,9323
364849,374297,9448
374320,383624,9304
383645,392821,9177
392847,402228,9381
402245,411951,9707
411968,421852,9884
421916,431386,9470
431408,441183,9775
441201,450640,9439
450658,460174,9516
460198,469844,9647
