(PDH-CSV 4.0) (Central European Summer Time)(-120),\\DESKTOP-940RFIL\Proces(chrome#6)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#5)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#4)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#6)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#5)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome)\Czas procesora (%)
27:07.2,12.480512,89.321472,16.699392,151.052288,1.929216,1.80224,80.621568,0,36.2074519,1.574237039,77.13761492,0,0,50.37558525
27:08.8,42.74176,105.467904,16.699392,181.78048,1.929216,1.82272,85.573632,43.31807223,175.1975366,0,16.36460506,0,0,66.42104408
27:09.6,52.523008,112.35328,16.699392,176.76288,1.929216,1.82272,86.900736,32.4154395,207.0986412,0,3.6017155,0,0,64.830879
27:11.1,57.696256,128.929792,16.699392,171.917312,1.929216,1.830912,90.710016,32.90232862,217.1553689,0,14.25767574,0,0,50.45023722
27:11.1,57.778176,129.41312,16.646144,172.044288,1.929216,1.830912,90.710016,39.21130691,372.5074156,19.60565345,0,0,0,19.60565345
27:12.3,67.9936,162.607104,16.646144,171.220992,1.929216,1.830912,94.171136,35.22672988,310.5171004,1.304693699,3.914081098,0,0,31.31264878
27:13.2,70.651904,176.7424,16.646144,170.319872,1.929216,1.830912,96.497664,25.533555,379.3556743,1.823825357,7.295301429,0,0,52.89093536
27:14.2,72.589312,191.471616,16.646144,170.1888,1.929216,1.830912,98.77504,22.82425149,252.6970701,1.630303678,3.260607356,0,0,45.64850298
27:15.2,76.857344,204.795904,16.646144,160.649216,1.929216,1.830912,102.383616,26.23648284,331.8143418,3.08664504,3.08664504,0,0,50.92964316
27:16.2,77.668352,146.563072,16.646144,120.266752,1.929216,1.830912,104.214528,18.49306111,277.3959166,0,4.623265277,0,0,50.85591805
27:17.2,81.34656,144.97792,16.646144,115.175424,1.929216,1.830912,106.958848,20.67985207,289.5179289,1.378656804,11.02925444,0,0,55.14627218
27:18.2,85.266432,169.136128,16.646144,163.971072,1.929216,1.830912,107.606016,24.3549257,84.30551202,1.873455823,52.45676304,0,0,3.746911646
27:19.2,86.523904,177.516544,16.646144,173.965312,1.929216,1.830912,109.617152,21.27869024,290.3021311,1.519906446,36.4777547,0,0,57.75644494
27:20.1,88.096768,194.531328,16.646144,173.473792,1.929216,1.830912,111.525888,21.04163255,247.6438292,1.618587119,4.855761357,0,0,33.9903295
27:21.2,91.406336,223.092736,16.646144,173.113344,1.929216,1.830912,113.430528,21.46612822,328.1251027,1.533294873,13.79965385,0,0,45.99884618
27:22.2,94.543872,223.612928,16.646144,171.098112,1.830912,1.736704,115.519488,24.72426755,258.0595426,3.090533444,1.545266722,0,0,40.17693477
27:23.2,98.074624,182.341632,16.646144,159.649792,1.830912,1.736704,116.989952,43.01803632,289.97343,1.593260605,4.779781814,0,0,31.86521209
27:24.2,99.495936,211.099648,16.601088,137.302016,1.830912,1.736704,120.270848,28.36180947,434.3835029,1.492726814,4.478180442,0,0,70.15816026
27:25.4,102.289408,221.159424,16.601088,123.916288,1.830912,1.736704,122.515456,12.13196995,195.4595159,2.695993323,6.739983306,0,0,32.35191987
27:26.3,106.958848,189.407232,16.601088,123.219968,1.830912,1.736704,125.755392,36.78527679,317.0540523,1.751679847,3.503359694,0,0,50.79871556
27:27.2,107.569152,200.871936,16.601088,117.837824,1.830912,1.736704,126.857216,30.69235068,305.2183762,1.705130593,6.820522373,0,0,52.85904839
27:28.2,109.371392,230.99392,15.077376,174.891008,1.830912,1.736704,127.516672,13.65290732,156.2499393,0,62.19657779,0,0,21.23785583
27:29.3,113.528832,233.652224,15.077376,171.835392,1.830912,1.736704,130.105344,24.99786842,295.5630325,0,4.411388544,0,0,39.7024969
27:30.2,114.692096,253.042688,15.077376,171.851776,1.830912,1.736704,132.087808,26.13476159,247.4090764,0,1.742317439,0,0,43.55793599
27:31.2,117.039104,221.700096,15.077376,171.716608,1.830912,1.736704,134.868992,24.70020576,325.4615347,0,7.264766399,0,0,36.323832
27:32.4,116.224,237.477888,15.077376,171.64288,1.830912,1.736704,136.445952,34.14600162,296.387294,0,0,0,0,54.63360259
27:33.2,116.842496,258.449408,15.077376,143.003648,1.830912,1.736704,138.555392,40.15722239,379.6682844,0,7.301313162,0,0,40.15722239
27:34.2,117.919744,266.575872,15.077376,127.40608,1.830912,1.736704,141.0048,18.11044829,250.2534672,6.585617559,0,0,0,44.45291852
27:35.3,118.034432,280.547328,15.077376,127.32416,1.830912,1.736704,144.40448,28.35902679,297.0945664,1.350429847,9.453008931,0,0,55.36762374
27:36.2,120.700928,246.226944,15.081472,127.32416,1.830912,1.736704,145.723392,41.78813083,270.7144128,3.633750507,1.816875254,0,0,54.50625761
27:37.2,119.169024,263.897088,15.699968,169.996288,1.830912,1.736704,146.78016,19.46284216,191.3846146,0,34.05997379,0,0,19.46284216
27:38.6,121.757696,291.823616,15.699968,177.238016,1.830912,1.736704,148.783104,28.8459538,343.9325261,1.109459762,31.06487333,0,0,47.70676975
27:40.3,125.104128,293.998592,15.699968,177.221632,1.830912,1.736704,152.838144,24.10465091,243.827815,0,4.635509791,0,0,36.15697637
27:41.3,126.881792,296.067072,15.699968,177.156096,1.830912,1.736704,154.8288,18.78641371,219.1748266,1.565534475,3.131068951,0,0,28.17962056
27:42.2,128.344064,316.178432,15.699968,154.775552,1.830912,1.736704,157.67552,26.88977818,325.8408415,1.581751658,3.163503315,0,0,49.03430139
27:43.2,130.359296,337.3056,15.699968,152.49408,1.830912,1.736704,159.891456,37.158129,319.2221082,5.067017591,6.756023454,0,0,43.91415245
27:44.2,128.569344,281.550848,15.699968,134.467584,1.830912,1.736704,162.013184,23.11612119,265.0648563,0,7.70537373,0,0,36.9857939
27:45.2,130.658304,307.4048,15.699968,134.230016,1.830912,1.736704,164.896768,18.42133936,294.7414297,1.535111613,16.88622774,0,0,44.51823678
