(PDH-CSV 4.0) (,\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne
38:23.4,33.24956554,6.333250579,71.24906901,0,0,190.34112,179.965952,252.448768,29.380608,14.163968
38:24.4,49.80892301,29.57404804,317.5318842,0,0,212.578304,195.19488,273.641472,29.323264,14.270464
38:25.3,28.4063507,9.468783567,274.5947234,0,0,215.109632,200.06912,290.44736,29.323264,14.270464
38:26.4,6.169154465,15.42288616,328.5074752,1.542288616,0,217.321472,199.9872,317.31712,26.353664,14.270464
38:27.4,3.148377014,15.74188507,325.857021,0,0,219.549696,199.9872,325.046272,26.353664,14.270464
38:28.4,9.239428935,6.15961929,349.5583947,0,0,220.38528,198.975488,322.842624,26.353664,14.270464
38:29.4,11.02243558,9.447801927,340.1208694,0,0,208.146432,198.975488,296.521728,26.353664,14.270464
38:30.4,1.574180736,9.445084415,340.023039,0,0,210.067456,198.230016,319.291392,26.365952,14.270464
38:31.4,6.199107805,3.099553902,207.6701115,0,0,218.087424,193.990656,379.76064,26.365952,14.270464
38:32.4,7.617212941,9.14065553,330.5870417,0,0,220.962816,193.990656,335.835136,26.365952,14.270464
38:33.4,12.86300957,8.039380978,316.7516106,0,0,223.17056,209.637376,274.960384,26.365952,14.270464
38:34.4,7.715368906,12.34459025,345.648527,0,0,227.008512,209.637376,285.5936,26.365952,14.270464
38:35.4,7.887312739,6.309850191,362.816386,0,0,229.298176,209.637376,303.939584,26.365952,14.270464
38:36.4,9.443223513,9.443223513,349.39927,0,0,231.907328,153.894912,294.752256,26.365952,14.270464
38:37.4,6.167093906,7.708867383,356.1496731,0,0,234.405888,153.894912,314.81856,26.365952,14.270464
38:38.3,9.646954397,4.823477199,329.6042752,0,0,236.679168,153.894912,325.197824,26.365952,14.270464
38:39.4,9.104691718,4.552345859,256.4488167,0,0,240.054272,153.76384,406.478848,26.365952,14.270464
38:40.4,3.148817022,9.446451067,336.9234214,0,0,242.556928,153.76384,417.374208,26.312704,14.270464
38:41.4,9.354880459,4.677440229,338.3348433,0,0,244.813824,153.76384,450.90816,26.312704,14.270464
38:42.4,9.35275634,10.91154906,342.9343991,0,0,247.291904,153.76384,353.28,26.312704,14.270464
38:43.4,3.149441239,3.149441239,365.3351837,0,0,249.606144,153.76384,386.453504,26.312704,14.270464
38:44.4,17.31156332,23.60667725,303.7392473,0,0,252.002304,153.76384,396.476416,26.312704,14.270464
38:45.4,1.543282735,6.173130939,347.2386153,0,0,254.763008,153.718784,400.576512,26.284032,14.270464
38:46.3,11.16038631,17.53774991,259.8775669,0,0,254.148608,153.849856,461.381632,26.284032,14.331904
38:47.4,12.26869582,16.86945676,288.3143519,0,0,256.167936,153.849856,426.827776,26.284032,14.331904
38:48.4,9.433506608,14.15025991,349.0397445,0,0,258.699264,153.849856,448.651264,26.284032,14.331904
38:49.4,6.172896205,7.716120257,334.8796191,0,0,261.091328,153.849856,458.416128,26.284032,14.331904
38:50.4,7.855557094,7.855557094,339.3600665,0,0,263.426048,153.849856,473.632768,26.284032,14.331904
38:51.4,6.29736627,12.59473254,332.1860707,0,0,265.916416,153.849856,452.411392,26.3168,14.331904
38:52.3,59.95420559,6.310969009,302.9265125,0,0,271.642624,153.849856,400.064512,26.3168,14.331904
38:53.4,52.43983682,3.084696284,325.4354579,0,0,273.01888,153.849856,418.607104,26.3168,14.331904
38:54.4,3.131645038,7.829112594,228.6100877,0,0,274.632704,153.849856,424.787968,26.3168,14.331904
38:55.3,11.0895488,14.25799132,346.9444554,0,0,277.069824,153.849856,462.467072,26.3168,14.331904
38:56.4,4.639674238,10.82590656,317.0444063,0,0,279.482368,153.849856,415.404032,26.3168,14.331904
38:57.3,4.71356839,6.284757853,340.9481135,0,0,281.10848,153.849856,433.319936,26.3168,14.331904
38:58.4,7.718028247,4.630816948,356.572905,0,0,283.56608,153.849856,440.762368,26.3168,14.331904
38:59.4,4.734087683,6.312116911,350.3224886,0,0,285.851648,153.849856,427.094016,26.3168,14.331904
39:00.3,10.91291865,14.03089541,310.2386874,0,0,288.354304,153.849856,483.848192,26.288128,14.331904
39:01.4,7.794086471,9.352903765,322.6751799,0,0,291.094528,153.849856,423.002112,26.29632,14.331904
39:02.3,7.883440718,9.460128862,250.6934148,0,0,292.704256,153.849856,443.027456,26.29632,14.331904
39:03.3,1.559200731,14.03280658,336.787358,0,0,295.006208,153.849856,469.086208,26.29632,14.331904
39:04.4,4.629225915,6.172301221,333.3042659,0,0,297.373696,153.849856,498.446336,26.29632,14.331904
39:05.4,11.04322229,9.465619104,332.8742718,0,0,299.794432,153.849856,475.758592,26.29632,14.331904
39:06.3,10.88599292,10.88599292,323.469504,0,0,301.924352,153.849856,396.070912,26.312704,14.331904
39:07.4,0,12.46704337,338.1685514,0,0,304.47616,153.849856,403.570688,26.312704,14.331904
39:08.3,7.889978006,7.889978006,340.8470499,0,0,306.855936,153.849856,413.0816,26.312704,14.331904
39:09.4,9.311065568,7.759221307,260.7098359,0,0,308.793344,153.849856,472.22784,26.312704,14.331904
39:10.4,3.075626658,1.537813329,326.0164257,0,0,311.291904,153.849856,421.445632,26.312704,14.331904
39:11.4,3.187296995,9.561890984,353.7899664,0,0,313.856,153.849856,392.310784,26.35776,14.331904
39:12.4,7.700434802,12.32069568,335.7389574,0,0,317.00992,153.849856,436.977664,26.35776,14.331904
39:13.4,9.46196301,4.730981505,320.1297485,0,0,319.393792,158.138368,429.187072,26.35776,14.331904
39:14.4,3.142340061,7.855850152,344.0862367,0,0,321.82272,162.361344,414.728192,26.35776,14.331904
39:15.4,27.56179943,9.187266478,324.6167489,1.53121108,0,327.18848,162.258944,440.9344,26.386432,14.35648
39:16.4,6.220841671,4.665631253,335.9254502,0,0,329.752576,162.258944,492.711936,26.46016,14.360576
39:17.4,12.77399974,12.77399974,229.9319953,0,0,331.538432,162.258944,453.763072,26.46016,14.360576
39:18.3,4.723367362,7.872278937,349.5291848,0,0,333.524992,162.258944,461.746176,26.46016,14.360576
39:19.4,9.273829017,6.182552678,335.4034828,0,0,336.031744,162.258944,477.261824,26.46016,14.360576
39:20.4,12.44529422,9.333970665,331.3559586,0,0,337.977344,162.258944,490.594304,26.46016,14.360576
39:21.4,12.59296505,12.59296505,340.0100562,0,0,329.125888,163.30752,475.815936,26.46016,14.360576
39:22.4,17.14338835,7.792449249,331.958338,0,0,331.644928,163.30752,485.72416,26.46016,14.360576
39:23.3,4.7339978,9.4679956,332.9578453,0,0,334.004224,163.30752,478.552064,26.46016,14.360576
39:24.4,6.172774883,10.80235604,288.5772258,0,0,337.977344,163.30752,515.46112,26.46016,14.360576
39:25.4,14.20887701,4.736292336,273.1261914,0,0,336.207872,163.30752,505.643008,26.46016,14.360576
39:26.3,14.1690584,6.297359291,333.7600424,0,0,338.464768,163.30752,524.562432,26.46016,14.360576
39:27.4,9.25815011,12.34420015,331.7503789,0,0,340.824064,163.30752,527.716352,26.46016,14.360576
39:28.4,9.259138548,7.71594879,347.2176955,0,0,343.248896,163.30752,539.42272,26.46016,14.360576
39:29.4,7.863179766,1.572635953,358.5609973,0,0,345.718784,163.30752,492.826624,26.46016,14.360576
39:30.4,6.296898037,6.296898037,325.8644734,0,0,348.049408,163.30752,516.640768,24.649728,14.360576
39:31.3,11.00305732,6.287461323,367.8164874,0,0,350.683136,163.30752,523.96032,24.649728,14.360576
39:32.3,12.51872802,6.259364009,225.3371043,0,0,355.672064,163.30752,545.112064,24.649728,14.360576
39:33.4,3.085964707,13.88684118,330.1982236,0,0,358.023168,163.30752,519.278592,24.649728,14.360576
39:34.4,11.02360871,6.29920498,330.7082614,0,0,360.370176,163.30752,507.5968,24.649728,14.360576
39:35.4,12.10143676,9.07607757,328.2514721,0,0,362.770432,163.30752,516.108288,24.649728,14.360576
39:36.4,9.661772022,6.441181348,346.2134974,0,0,364.9536,163.30752,508.940288,24.649728,14.360576
39:37.4,7.857007591,7.857007591,307.9946976,0,0,367.3088,163.30752,453.05856,24.649728,14.360576
39:38.4,12.22508713,7.640679457,351.471255,0,0,369.815552,163.30752,466.079744,24.649728,14.360576
