(PDH-CSV 4.0) (Central European Summer Time)(-120),\\DESKTOP-940RFIL\Proces(chrome#6)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#5)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#4)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#6)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#5)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome)\Czas procesora (%)
46:48.9,28.889088,61.980672,15.527936,206.536704,1.921024,1.794048,81.34656,7.554619293,0,0,4.532771576,0,0,42.30586804
46:49.8,30.298112,61.612032,15.757312,208.441344,1.921024,1.794048,81.825792,4.769108508,7.94851418,1.589702836,15.89702836,0,1.589702836,49.28078791
46:50.8,37.490688,62.705664,15.42144,529.575936,1.921024,1.794048,83.275776,21.99790449,14.14151003,6.285115569,20.4266256,0,0,34.56813563
46:51.8,97.214464,55.148544,15.228928,492.68736,1.921024,1.794048,83.513344,24.95007739,7.796899184,1.559379837,51.45953462,0,0,28.06883706
46:52.8,135.991296,57.32352,15.44192,495.419392,1.921024,1.794048,83.402752,37.57517289,21.91885085,0,65.75655256,0,0,25.05011526
46:53.8,203.83744,57.32352,15.44192,538.140672,1.921024,1.794048,83.406848,37.65060241,0,0,78.43875502,0,0,0
46:54.8,271.62624,56.246272,15.44192,604.565504,1.921024,1.794048,83.406848,31.43110287,0,0,106.8657498,0,0,0
46:55.8,342.704128,56.246272,15.44192,675.6352,1.921024,1.794048,83.406848,34.24599192,0,0,115.1910637,0,0,0
46:56.8,320.745472,56.246272,15.44192,644.28032,1.921024,1.794048,83.406848,37.65095019,0,0,89.4210067,0,0,0
46:57.8,413.88032,56.246272,15.44192,508.547072,1.921024,1.794048,83.406848,35.40641789,0,0,93.90397789,0,0,0
46:58.8,499.728384,56.066048,15.44192,527.609856,1.921024,1.794048,83.406848,41.11839608,0,0,80.65531539,0,0,0
46:59.8,567.742464,56.066048,15.44192,591.64672,1.921024,1.794048,83.406848,33.24471117,0,0,83.90331866,0,0,1.583081484
47:00.8,617.930752,56.2176,15.446016,574.717952,1.921024,1.794048,83.488768,35.47632551,3.08489787,1.542448935,123.3959148,0,0,0
47:01.8,540.540928,56.250368,15.446016,533.569536,1.921024,1.794048,83.488768,118.2246334,3.111174562,0,80.89053862,0,0,4.666761844
47:02.8,680.226816,56.2176,15.446016,532.545536,1.921024,1.794048,83.488768,234.1422406,0,0,0,0,0,0
47:03.8,886.071296,56.233984,15.446016,532.545536,1.921024,1.794048,83.488768,219.0384737,0,0,1.542524462,0,0,0
47:04.8,886.00576,56.233984,15.446016,534.011904,1.921024,1.794048,83.492864,219.4424507,0,0,1.567446076,0,0,0
47:05.8,834.351104,56.233984,15.446016,532.959232,1.921024,1.794048,83.492864,216.9410474,1.583511295,0,3.167022589,0,0,0
47:06.8,781.975552,56.2176,15.446016,532.959232,1.921024,1.794048,83.492864,222.5018353,0,0,0,0,0,0
47:07.8,835.01056,56.233984,15.446016,503.537664,1.921024,1.794048,83.488768,225.4944456,1.555134107,0,7.775670537,0,0,0
47:08.8,761.36448,56.233984,15.446016,501.63712,1.921024,1.794048,83.488768,228.6787456,0,0,3.132585556,0,0,0
47:09.8,751.259648,56.233984,15.446016,496.971776,1.82272,1.695744,83.31264,221.6536124,0,0,0,0,0,3.121881864
47:10.8,737.95584,56.233984,15.446016,496.16896,1.82272,1.695744,83.31264,214.7063614,0,0,0,0,0,1.567199719
47:11.8,511.594496,56.471552,15.142912,923.066368,1.82272,1.695744,83.386368,176.6093171,1.576868903,3.153737805,12.61495122,0,0,1.576868903
47:12.8,550.4,56.471552,15.142912,920.113152,1.82272,1.695744,83.341312,31.14854607,1.557427304,0,84.10107439,0,0,0
