start,end,total
201,21284,21083
21378,40347,18970
40393,59365,18972
59408,78440,19033
78486,97602,19116
97676,116583,18906
116625,135509,18884
135584,154358,18774
154418,173235,18818
173293,192074,18781
192135,210938,18803
210998,229894,18896
229945,248726,18781
248781,267736,18955
267790,286582,18792
286626,305438,18812
305536,324205,18669
324252,343238,18986
343279,362525,19246
362571,381521,18951
381573,400497,18924
400553,419589,19036
419642,439146,19504
439201,458064,18862
458119,477095,18976
477150,496268,19118
496322,515358,19036
515409,534764,19354
534810,554025,19216
554076,572922,18846
572973,592613,19640
592662,612172,19509
612220,631484,19264
631540,650559,19019
650643,669626,18983
669673,689083,19410
689130,708626,19496
708675,728105,19430
728156,747574,19418
747621,767061,19440
767108,786340,19233
786391,805907,19516
805959,825483,19524
825529,844881,19352
844931,864257,19325
864310,883619,19309
883672,903080,19408
903125,922520,19395
922570,942123,19553
942174,961095,18921
