(PDH-CSV 4.0) (Central European Summer Time)(-120),\\DESKTOP-940RFIL\Proces(chrome#6)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#5)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#4)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#6)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#5)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome)\Czas procesora (%)
07:59.6,11.784192,49.180672,14.016512,108.802048,1.921024,1.777664,60.219392,0,157.4876188,9.355700126,29.62638373,0,0,7.796416772
08:00.6,11.784192,92.381184,14.487552,108.802048,1.921024,1.777664,77.664256,0,214.0587735,3.057982479,21.40587735,0,0,51.98570215
08:01.6,11.784192,98.922496,16.109568,108.478464,1.921024,1.777664,77.950976,0,207.1763543,19.12397117,22.3112997,0,0,36.65427807
08:02.7,11.784192,144.707584,16.146432,98.791424,1.921024,1.777664,78.143488,0,229.0109936,2.917337499,24.79736874,0,0,26.25603749
08:03.6,11.784192,84.140032,19.423232,94.957568,1.921024,1.777664,80.32256,0,220.2247053,6.724418483,38.66540628,0,0,18.49215083
08:04.7,12.623872,112.156672,17.010688,94.6176,1.921024,1.777664,79.806464,0,257.5123519,5.598094606,15.39476017,0,0,26.59094938
08:05.8,12.623872,144.912384,15.990784,89.206784,1.921024,1.777664,80.871424,0,244.8361491,10.20150621,13.11622227,0,0,27.68980258
08:06.6,12.623872,90.636288,16.24064,86.347776,1.921024,1.777664,80.420864,0,233.1897847,0,22.56675336,0,0,37.6112556
08:07.7,12.623872,118.0672,16.24064,66.056192,1.921024,1.777664,80.482304,0,218.0406718,1.397696614,30.74932551,0,0,39.13550519
08:08.6,12.623872,90.066944,16.24064,66.093056,1.921024,1.777664,82.57536,0,218.8710114,3.474143037,29.53021582,0,0,29.53021582
08:09.8,12.623872,115.052544,16.24064,66.093056,1.921024,1.777664,82.571264,0,216.1453554,2.736017157,24.62415442,0,0,31.46419731
08:10.6,12.623872,99.30752,16.244736,66.093056,1.921024,1.777664,82.571264,0,205.8447373,0,38.2543317,0,0,41.89760139
08:11.6,12.623872,110.477312,16.244736,66.093056,1.921024,1.777664,82.886656,0,260.2644173,0,24.09855716,0,0,14.4591343
08:12.7,12.623872,110.542848,16.510976,66.3552,1.921024,1.777664,82.886656,0,259.774521,10.45069912,19.40844122,0,0,14.92957017
08:13.6,12.623872,92.155904,16.510976,69.226496,1.921024,1.777664,93.667328,0,4.986408778,0,3.324272519,0,0,14.95922633
08:14.6,12.623872,92.155904,16.510976,69.226496,1.921024,1.777664,93.667328,0,0,0,0,0,0,0
08:15.6,12.623872,92.450816,16.510976,68.173824,1.921024,1.777664,93.667328,0,0,0,0,0,0,0
08:16.6,12.623872,92.450816,16.510976,68.173824,1.921024,1.777664,93.663232,0,0,0,0,0,0,0
08:17.6,12.623872,92.450816,16.510976,68.173824,1.921024,1.777664,93.663232,0,0,0,0,0,0,0
08:18.6,12.623872,91.213824,16.510976,69.455872,1.921024,1.777664,93.691904,0,1.580788298,0,0,0,0,1.580788298
