start,end,total
33,380,347
382,678,296
689,1059,370
1064,1368,305
1370,1689,319
1691,2004,314
2006,2329,323
2331,2641,309
2642,2923,280
2924,3197,273
3201,3478,277
3480,3750,271
3762,4063,301
4070,4327,258
4330,4577,248
4592,4832,240
4833,5076,243
5078,5272,194
5277,5520,243
5522,5772,250
5775,6049,274
6051,6320,269
6323,6580,257
6583,6846,263
6851,7112,260
7114,7399,285
7416,7689,273
7690,7948,258
7951,8242,290
8244,8535,291
8536,8815,279
8817,9132,316
9138,9418,280
9419,9706,287
9707,9978,271
9980,10276,296
10278,10557,279
10558,10838,280
10840,11135,295
11142,11429,288
11431,11720,288
11721,11999,278
12001,12287,286
12288,12513,225
12514,12746,232
12747,12974,227
12978,13161,183
13163,13360,198
13361,13533,172
13534,13734,200
