(PDH-CSV 4.0) (,\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne
35:27.8,0,0,0,3.174660903,0,221.638656,177.004544,53.522432,36.204544,26.718208
35:28.8,37.25921604,7.762336675,0,45.02155272,0,232.910848,126.34112,53.522432,173.264896,26.718208
35:29.8,20.41392249,4.71090519,0,125.6241384,0,230.46144,127.393792,53.522432,433.467392,26.718208
35:30.8,17.18748625,6.249995,0,118.749905,0,234.954752,127.438848,53.522432,680.083456,26.763264
35:31.8,0,0,0,123.0771533,0,235.15136,126.849024,53.522432,936.341504,26.763264
35:32.8,0,0,0,125.3966598,0,235.175936,126.58688,53.522432,1184.919552,26.763264
35:33.8,23.26204371,0,0,130.2674448,0,215.650304,126.48448,53.682176,1430.638592,26.923008
35:34.8,12.60168552,0,0,121.2912231,0,217.862144,126.48448,53.735424,1674.330112,26.923008
35:35.8,3.124936876,0,0,123.4350066,0,217.964544,126.48448,53.735424,1919.045632,27.070464
35:36.8,15.6171836,3.12343672,0,104.6351301,0,234.012672,126.005248,53.735424,2116.128768,27.070464
35:37.8,17.1875,1.5625,0,301.5625,0,229.679104,126.005248,53.735424,2220.31872,27.070464
35:38.8,1.540140092,1.540140092,0,337.2906802,0,229.679104,126.005248,53.735424,2334.67904,27.070464
35:39.8,1.5635033,3.1270066,0,334.5897062,0,229.097472,126.005248,53.735424,2453.83168,27.070464
35:40.8,0,0,0,301.5871484,0,229.097472,126.005248,53.735424,2234.08128,27.070464
35:41.8,6.15386312,0,0,275.3853746,0,216.702976,126.005248,53.735424,2219.556864,27.070464
35:42.8,1.574475778,1.574475778,0,349.5336226,0,216.59648,126.005248,53.735424,2334.928896,27.070464
35:43.8,0,0,0,330.1587302,0,216.55552,126.005248,53.735424,2277.494784,27.070464
35:44.8,1.517705823,1.517705823,0,349.0723393,0,216.559616,126.005248,53.735424,2393.260032,27.070464
35:45.8,4.761905246,0,0,295.2381252,0,216.559616,126.005248,53.735424,2097.061888,27.070464
35:46.8,7.898601071,3.159440428,0,338.0601258,0,216.731648,126.164992,53.735424,2185.58464,27.070464
35:47.8,1.557024257,1.557024257,0,358.1155791,0,216.731648,126.164992,53.735424,2292.748288,27.070464
35:48.8,0,3.076923077,0,349.2307692,0,216.702976,126.164992,52.871168,2045.6448,27.070464
35:49.8,1.564429881,0,0,356.6900128,0,216.702976,126.164992,52.871168,2150.436864,25.25184
35:50.8,0,0,0,284.1267244,0,216.662016,126.164992,52.871168,1877.62688,25.25184
35:51.8,0,0,0,366.3562554,0,216.633344,126.164992,52.871168,1982.316544,25.25184
35:52.8,0,0,0,356.2501781,0,216.633344,126.164992,52.871168,1923.129344,25.25184
35:53.8,1.587301265,0,0,339.6824707,0,216.633344,126.164992,52.871168,2018.947072,25.25184
35:54.8,1.539594528,0,0,355.6463361,0,216.633344,126.164992,52.871168,2055.643136,25.25184
35:55.8,0,0,0,307.8129309,0,216.633344,126.201856,52.871168,2095.153152,25.25184
35:56.8,0,0,0,328.5713284,0,216.576,126.201856,52.871168,2089.488384,25.25184
35:57.8,4.687363129,20.31190689,0,257.8049721,0,220.168192,133.615616,52.871168,2049.622016,25.25184
35:58.8,1.538461387,0,0,132.3076793,0,220.168192,133.615616,52.871168,2329.841664,25.25184
35:59.8,0,0,0,137.6450228,0,220.168192,133.615616,52.871168,2099.38432,25.25184
36:00.8,1.587349964,0,0,126.9879971,0,219.435008,119.918592,52.871168,2354.52416,25.25184
36:01.8,0,1.562454689,0,131.2461939,0,219.435008,119.918592,52.871168,2615.627776,25.25184
36:02.8,1.538503651,0,0,129.2343067,0,217.141248,119.918592,52.871168,2820.145152,25.25184
36:03.8,11.11112804,0,0,198.4130008,0,221.0816,119.488512,52.871168,2973.671424,25.25184
36:04.8,1.553368678,0,0,335.5276344,0,221.0816,119.488512,52.842496,3077.308416,25.25184
36:05.8,0,0,0,345.6716086,0,221.0816,119.488512,52.842496,3190.472704,25.223168
36:06.8,3.17460382,0,0,322.2222877,0,223.215616,119.488512,52.842496,3303.079936,25.223168
36:07.8,0,0,0,324.9995125,0,223.219712,119.488512,52.842496,3415.166976,25.223168
36:08.8,0,1.538465174,0,252.3082885,0,223.576064,119.488512,52.842496,3114.532864,25.223168
36:09.8,1.577027101,0,0,230.2459567,0,223.367168,119.488512,52.842496,3121.68448,25.223168
36:10.8,0,0,0,356.5217918,0,223.367168,119.488512,52.842496,2851.028992,25.223168
36:11.8,0,0,0,348.4375348,0,223.367168,119.488512,52.842496,2890.8544,25.223168
36:12.8,1.555468195,0,0,353.0912802,0,223.37536,119.554048,52.842496,2912.428032,25.223168
36:13.8,1.587302232,1.587302232,0,311.1112375,0,223.37536,119.554048,52.842496,2783.506432,25.223168
36:14.8,0,0,0,258.5070288,0,223.37536,119.554048,52.842496,2440.58112,25.223168
36:15.8,0,0,0,363.7101718,0,223.37536,119.554048,52.842496,2545.410048,25.223168
36:16.8,0,0,0,334.920737,0,223.37536,119.554048,52.842496,2289.934336,25.247744
36:17.9,1.492537028,1.492537028,0,359.7014238,0,223.37536,119.554048,52.842496,2370.973696,25.247744
36:18.8,0,0,0,298.3605931,0,223.37536,119.554048,52.842496,2287.792128,25.247744
36:19.8,0,0,0,312.2248072,0,223.37536,119.554048,52.842496,1525.911552,25.247744
36:20.8,0,1.549334683,0,348.6003038,0,223.37536,119.554048,52.842496,1472.688128,25.247744
