start,end,total
157,29143,28986
29228,57148,27920
57150,87414,30264
87418,116344,28926
116348,145465,29117
145467,176870,31403
176873,205110,28237
205113,236417,31304
236420,265758,29338
265761,295364,29603
295367,323969,28602
323971,355341,31370
355344,384428,29084
384432,414695,30263
414697,444760,30063
444763,474331,29568
474334,505547,31213
505550,534764,29214
534767,563584,28817
563587,594264,30677
594268,624096,29828
624099,655370,31271
655374,685915,30541
685917,715794,29877
715797,744169,28372
744171,774588,30417
774591,804816,30225
804819,834884,30065
834887,864852,29965
864855,894844,29989
894847,924176,29329
924179,954825,30646
954827,985231,30404
985235,1014052,28817
1014056,1045267,31211
1045270,1075244,29974
1075247,1103965,28718
1103968,1134838,30870
1134841,1165149,30308
1165152,1194927,29775
1194930,1227338,32408
1227340,1257927,30587
1257929,1288344,30415
1288347,1319295,30948
1319298,1349721,30423
1349724,1379826,30102
1379829,1410527,30698
1410531,1441096,30565
1441098,1471230,30132
1471233,1501533,30300
