(PDH-CSV 4.0) (,\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne
15:25.0,46.22046278,3.081364185,163.3123018,0,0,189.546496,194.138112,132.325376,29.093888,14.569472
15:26.0,19.33341878,0,269.0567447,0,0,192.59392,191.725568,149.200896,29.093888,14.569472
15:27.0,26.30121583,0,318.7088507,0,0,186.568704,191.696896,188.821504,29.093888,14.675968
15:27.9,28.44381823,1.580212124,308.1413641,0,0,205.217792,191.696896,228.409344,26.632192,14.675968
15:29.0,24.90134833,0,311.2668541,0,0,216.072192,191.643648,277.27872,26.632192,14.675968
15:30.0,18.56265639,3.093776065,315.5651586,0,0,219.066368,191.643648,164.27008,26.632192,14.675968
15:31.0,18.63249973,4.658124933,304.3308289,0,0,212.238336,186.146816,196.38272,26.632192,14.675968
15:32.0,18.958636,3.159772666,312.817494,0,0,216.154112,186.146816,193.114112,26.0096,14.675968
15:33.0,15.26680115,3.05336023,312.9694236,0,0,220.471296,186.146816,234.655744,26.0096,14.675968
15:34.0,20.85613818,3.208636644,295.1945712,0,0,225.234944,186.114048,237.924352,26.0096,14.675968
15:34.9,9.493881434,1.582313572,338.6151045,0,0,230.977536,186.114048,235.06944,26.0096,14.675968
15:36.0,21.64162751,0,199.4121392,0,0,224.99328,185.462784,252.35456,26.0096,14.675968
15:37.0,3.12497625,0,1.562488125,0,0,227.233792,185.462784,254.435328,26.0096,14.675968
15:38.0,1.561669816,0,0,0,0,227.295232,185.462784,254.44352,26.0096,14.675968
15:39.0,0,0,4.681639991,0,0,227.295232,152.10496,161.124352,26.0096,14.675968
15:40.0,0,0,0,0,0,225.984512,152.10496,161.124352,26.0096,14.675968
15:41.0,0,0,0,0,0,226.230272,152.10496,161.124352,26.0096,14.675968
15:42.0,0,0,0,0,0,226.213888,151.580672,161.124352,25.94816,14.675968
15:43.0,1.562020772,0,0,0,0,225.36192,151.580672,158.007296,25.94816,14.675968
15:44.0,0,0,0,0,0,225.304576,151.580672,158.007296,25.94816,14.675968
15:45.0,0,0,0,0,0,225.304576,151.580672,157.978624,25.94816,14.675968
15:46.0,81.01254413,0,0,0,0,227.971072,151.580672,157.978624,25.94816,14.675968
15:47.0,4.724640874,0,0,0,0,228.032512,151.547904,157.949952,25.919488,14.675968
15:48.0,96.37189055,0,0,0,0,262.189056,151.502848,157.949952,25.919488,14.675968
15:49.0,15.64871876,0,0,0,0,258.215936,151.502848,157.949952,25.919488,14.733312
