start,end,total
58,2034,1976
2043,3681,1638
3692,5236,1545
5239,6944,1705
6953,8465,1511
8466,10014,1547
10016,11595,1579
11600,13001,1401
13003,14297,1294
14299,15740,1441
15746,17226,1480
17229,18710,1481
18715,20158,1443
20162,21639,1477
21641,23143,1503
23149,24660,1511
24662,26165,1503
26167,27611,1444
27614,29001,1387
29004,30343,1339
30346,31884,1538
31886,33332,1445
33334,34822,1489
34827,36253,1426
36255,37717,1462
37720,38993,1273
38995,40440,1445
40446,41944,1498
41946,43401,1455
43403,44939,1536
44943,46417,1474
46421,47937,1516
47942,49451,1509
49455,50955,1500
50959,52471,1512
52473,53913,1440
53917,55482,1565
55486,56945,1459
56947,58521,1574
58526,59904,1378
59906,61247,1341
61251,62444,1193
62447,63837,1391
63841,65163,1322
65168,66677,1508
66681,68131,1450
68136,69629,1494
69631,71145,1514
71150,72633,1483
72638,74021,1383
