(PDH-CSV 4.0) (Central European Summer Time)(-120),\\DESKTOP-940RFIL\Proces(chrome#6)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#5)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#4)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#6)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#5)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome)\Czas procesora (%)
11:04.2,12.402688,20.414464,15.310848,91.377664,1.921024,1.773568,81.83808,0,4.642426679,0,3.09495112,0,0,3.09495112
11:05.2,12.402688,122.175488,15.310848,142.09024,1.921024,1.773568,81.874944,0,34.2305096,4.667796763,79.35254497,0,0,23.33898382
11:06.2,12.402688,131.821568,15.310848,159.633408,1.921024,1.773568,81.85856,0,268.5676691,1.579809818,11.05866873,0,0,4.739429455
11:07.2,12.402688,328.626176,15.310848,160.669696,1.921024,1.773568,81.866752,0,209.325315,3.147749098,48.79011101,0,0,4.721623646
11:08.3,12.402688,203.190272,15.978496,164.130816,1.921024,1.773568,81.85856,0,148.1814329,1.4671429,79.22571663,0,0,1.4671429
11:09.2,12.402688,151.662592,15.978496,163.08224,1.921024,1.773568,81.854464,0,206.6317542,0,24.99577671,0,0,0
11:10.2,12.402688,296.177664,15.978496,163.217408,1.921024,1.773568,81.862656,0,205.0007911,3.082718664,40.07534263,0,0,3.082718664
11:11.3,12.402688,316.760064,16.576512,160.366592,1.921024,1.773568,81.866752,0,137.2720128,4.381021685,73.01702808,0,0,7.301702808
11:12.2,12.402688,124.391424,16.576512,162.463744,1.921024,1.773568,81.854464,0,199.0845297,0,30.89242702,0,0,0
11:13.2,12.402688,286.089216,16.576512,159.072256,1.921024,1.773568,81.854464,0,237.0095847,1.539023277,33.8585121,0,0,1.539023277
11:14.3,12.402688,210.374656,17.096704,161.968128,1.921024,1.773568,81.874944,0,147.0941815,4.412825445,67.66332349,0,0,1.470941815
11:15.2,12.402688,227.557376,17.096704,162.947072,1.921024,1.773568,81.854464,0,150.6498704,0,40.62468414,0,0,0
11:16.2,12.402688,274.39104,17.096704,160.772096,1.921024,1.773568,81.87904,0,236.7510521,1.547392498,37.13741994,0,0,6.18956999
11:17.3,12.402688,202.309632,17.096704,163.282944,1.921024,1.773568,81.85856,0,120.865897,2.912431254,61.16105633,0,0,1.456215627
11:18.2,12.402688,233.443328,17.096704,162.9184,1.921024,1.773568,81.85856,0,208.9605069,0,32.01814219,0,0,0
11:19.2,12.402688,336.535552,17.096704,159.326208,1.82272,1.675264,81.268736,0,239.795805,1.577603981,26.81926767,0,0,4.732811942
11:20.3,12.402688,335.736832,17.096704,160.555008,1.82272,1.675264,81.256448,0,145.3982895,3.029131032,81.78653786,0,0,4.543696548
11:21.2,12.402688,124.219392,17.051648,166.510592,1.82272,1.675264,81.252352,0,150.6402686,0,27.24345283,0,0,0
11:22.2,12.402688,321.724416,17.051648,166.739968,1.82272,1.675264,81.268736,0,214.8691691,1.54582136,41.73717673,0,0,4.637464081
11:23.4,12.402688,207.826944,17.051648,165.781504,1.82272,1.675264,80.924672,0,165.2796212,1.412646335,49.44262174,0,0,1.412646335
11:24.2,12.402688,232.759296,17.051648,164.7616,1.82272,1.675264,80.883712,0,162.4521035,1.765783733,52.973512,0,0,5.2973512
11:25.2,12.402688,140.611584,17.051648,167.497728,1.82272,1.675264,80.879616,0,248.0645015,1.550403135,21.70564388,0,0,6.201612538
11:26.2,12.402688,278.720512,17.051648,166.825984,1.82272,1.675264,80.887808,0,204.8769644,1.575976649,34.67148628,0,0,4.727929947
11:27.5,12.402688,331.894784,17.051648,166.944768,1.82272,1.675264,80.904192,0,163.3355702,2.437844331,64.60287477,0,0,3.656766496
11:28.3,12.402688,145.436672,17.051648,172.941312,1.82272,1.675264,80.879616,0,195.7948843,0,25.53846317,0,0,2.128205264
11:29.2,12.402688,282.591232,17.051648,172.982272,1.82272,1.675264,80.928768,0,217.8230627,3.179898726,39.74873407,0,0,4.769848088
11:30.2,12.402688,324.489216,17.051648,172.060672,1.82272,1.675264,80.941056,0,175.5155748,4.618830917,73.90129467,0,0,6.158441223
11:31.2,12.402688,149.106688,17.051648,172.908544,1.82272,1.675264,80.924672,0,182.3514507,0,12.79659304,0,0,1.599574129
11:32.2,12.402688,249.827328,17.014784,171.954176,1.82272,1.675264,80.924672,0,166.4212508,1.540937507,63.1784378,0,0,3.081875015
11:33.4,12.365824,202.539008,16.961536,170.20928,1.82272,1.675264,80.924672,0,187.3838541,1.338456101,40.15368303,0,0,5.353824404
11:34.2,12.365824,223.932416,16.961536,173.182976,1.82272,1.675264,80.896,0,196.6074895,0,33.38617747,0,0,0
11:35.2,12.365824,248.541184,16.961536,169.869312,1.82272,1.675264,80.896,0,222.6409458,4.7370414,26.8432346,0,0,3.1580276
