(PDH-CSV 4.0) (,\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne
36:32.9,9.579506172,11.17609053,6.386337448,0,0,165.863424,124.727296,42.68032,26.038272,14.262272
36:34.0,22.9033863,21.55612828,412.2609533,0,0,166.33856,140.12416,304.66048,26.038272,14.262272
36:36.5,1.855126255,0,265.9014299,0,0,165.126144,140.476416,289.263616,25.980928,14.262272
36:36.9,14.51455434,4.838184781,164.4982826,0,0,165.126144,140.279808,396.51328,25.980928,14.323712
36:38.0,0.786586122,0,503.4151178,0,0,165.126144,140.279808,510.042112,25.980928,14.323712
36:39.9,0,0,67.0264221,0,0,165.126144,140.279808,370.823168,25.980928,14.323712
36:40.9,4.453325021,0,442.3636188,0,0,165.187584,140.279808,396.967936,25.980928,14.323712
36:42.2,0.862687292,0,335.5853567,0,0,165.29408,140.279808,477.519872,26.013696,14.323712
36:42.9,0,11.16706356,301.5107161,0,0,165.29408,140.279808,305.844224,26.013696,14.323712
36:44.1,1.219030006,1.219030006,737.5131538,0,0,165.51936,140.279808,537.812992,26.013696,14.323712
36:45.9,1.739282984,0,78.26773426,0,0,165.51936,140.279808,425.979904,26.013696,14.323712
36:46.9,1.617828606,0,800.8251599,0,0,165.978112,155.877376,519.942144,26.013696,14.323712
36:49.9,1.055582695,0,153.0594907,0,0,165.94944,155.48416,466.632704,26.013696,14.323712
36:51.0,0,0,744.5343549,0,0,165.94944,155.48416,544.72704,25.993216,14.323712
36:52.9,0,0,116.7002516,0,0,165.94944,101.687296,443.445248,25.993216,14.323712
36:54.1,8.910161943,0,348.7691961,0,0,166.801408,101.687296,536.522752,25.993216,14.323712
36:55.2,71.69395393,0,576.363159,0,0,168.546304,101.687296,481.9968,25.993216,14.323712
36:57.1,6.620275659,0,429.4903834,0,0,168.59136,101.687296,519.176192,26.0096,14.323712
36:59.0,0,0,149.7932782,0,0,168.59136,101.687296,500.396032,26.0096,14.323712
36:59.9,1.829366954,0,204.8890988,0,0,168.013824,101.687296,422.653952,26.0096,14.323712
37:00.9,0,0,826.6840226,0,0,168.013824,101.687296,585.641984,26.054656,14.323712
37:02.9,1.570605029,0,108.371747,0,0,168.288256,101.687296,495.087616,26.054656,14.323712
37:04.9,7.791127768,0.779112777,518.1099966,0,0,172.261376,101.588992,586.891264,26.079232,14.348288
37:05.9,1.564727076,0,40.68290398,0,0,172.265472,101.588992,411.959296,26.079232,14.348288
37:07.3,0,1.090315984,332.5463752,0,0,172.675072,101.588992,533.23776,26.157056,14.352384
37:08.6,1.209813949,0,485.1353935,0,0,172.675072,101.588992,508.092416,26.157056,14.352384
37:10.0,3.274347348,1.091449116,287.0511175,0,0,172.675072,101.588992,487.993344,26.157056,14.352384
37:11.0,0,0,509.9265527,0,0,171.982848,101.588992,522.297344,26.157056,14.352384
37:11.9,0,0,90.787161,0,0,171.982848,101.588992,460.353536,26.157056,14.352384
37:12.9,1.631944629,0,261.1111407,0,0,171.982848,101.588992,374.571008,26.157056,14.352384
37:14.0,6.568512974,0,576.7154392,0,0,171.982848,101.588992,540.045312,26.157056,14.352384
37:15.2,0,0,262.0587719,0,0,171.982848,101.588992,577.138688,26.157056,14.352384
37:15.9,10.30832106,0,108.2373711,0,0,171.982848,101.588992,476.901376,26.157056,14.352384
37:17.6,2.657751816,0,504.972845,0,0,172.05248,101.588992,525.254656,26.157056,14.352384
37:18.9,1.263797433,0,168.0850585,0,0,172.05248,101.588992,265.039872,26.157056,14.352384
37:19.9,2.91473346,0,281.2717789,0,0,172.35968,101.588992,399.966208,26.157056,14.352384
37:20.9,2.555409872,0,415.2541042,0,0,172.35968,101.588992,464.084992,24.399872,14.352384
37:21.9,2.14603563,0,360.5339859,0,0,172.31872,101.588992,516.5056,24.403968,14.352384
37:23.0,8.096421951,0,503.3275647,0,0,172.654592,101.588992,426.520576,24.403968,14.352384
37:25.0,0,0,264.76264,0,0,172.654592,101.588992,512.090112,24.403968,14.352384
37:25.9,7.461123963,0,167.8752892,0,0,172.896256,101.588992,406.188032,24.403968,14.352384
37:27.0,0,0,387.8987419,0,0,172.896256,101.588992,353.533952,24.403968,14.352384
37:28.0,0,0,570.1435095,0,0,172.896256,101.588992,456.937472,24.403968,14.352384
37:28.9,0,0,69.86241675,0,0,172.896256,101.588992,338.423808,24.403968,14.352384
37:30.1,6.129492221,0,648.500277,0,0,173.252608,101.588992,549.380096,24.403968,14.352384
37:31.9,0,0,146.9552771,0,0,173.252608,101.588992,320,24.403968,14.352384
37:32.9,1.06501274,0,717.8185867,0,0,173.568,100.847616,599.63392,24.403968,14.352384
37:34.9,0,0,15.28137485,0,0,173.568,100.847616,529.178624,24.403968,14.352384
37:36.0,1.409831847,0,869.8662496,0,0,173.727744,100.847616,560.529408,24.375296,14.323712
37:38.9,1.613012009,0.53767067,181.1950156,0,0,174.075904,100.847616,558.718976,24.375296,14.323712
37:40.0,0,0,217.3816072,0,0,174.075904,100.847616,415.318016,24.375296,14.323712
37:40.9,0,0,457.5570116,0,0,174.075904,100.847616,506.601472,24.375296,14.323712
37:41.9,0,0,182.8092412,0,0,174.075904,100.847616,396.967936,24.375296,14.323712
37:44.1,2.143415852,0,392.2451009,0,0,174.301184,100.847616,543.809536,24.375296,14.323712
37:44.9,0,0,300.1196415,0,0,174.301184,100.847616,331.6736,24.375296,14.323712
37:46.1,2.470564509,0,532.4066516,0,0,174.669824,100.847616,530.956288,24.41216,14.323712
37:47.5,0,0,258.6232783,0,0,174.669824,100.847616,591.785984,24.41216,14.323712
37:47.9,0,0,128.5092053,0,0,174.669824,100.847616,434.21696,24.41216,14.323712
37:48.9,2.878816032,1.439408016,460.6105651,0,0,175.02208,100.847616,465.477632,24.41216,14.323712
37:49.9,0,0,257.7669182,0,0,175.02208,100.847616,509.612032,24.41216,14.323712
37:50.9,0,0,327.2946175,0,0,175.02208,100.847616,588.689408,24.41216,14.323712
37:51.9,4.519103734,0,593.508957,0,0,175.292416,100.847616,552.128512,24.41216,14.323712
37:53.1,0,0,84.74538596,0,0,175.292416,100.847616,422.432768,24.41216,14.323712
37:53.9,0,0,390.3478817,0,0,175.292416,100.847616,491.343872,24.41216,14.323712
37:54.9,1.61090562,0,257.7448992,0,0,175.669248,100.847616,440.549376,24.41216,14.323712
37:55.9,0,1.551904681,387.9761703,0,0,175.669248,100.847616,507.559936,24.41216,14.323712
37:56.9,0,0,391.3726717,0,0,175.669248,100.847616,580.673536,24.41216,14.323712
37:57.9,3.051821293,0,263.9825418,0,0,175.669248,100.847616,345.21088,24.41216,14.323712
37:58.9,3.150733299,0,340.2791963,0,0,176.04608,100.847616,463.020032,24.41216,14.323712
38:00.9,0,0,364.4489993,0,0,176.04608,100.847616,433.52064,24.41216,14.323712
38:01.9,4.319133619,0,977.5639091,0,0,176.340992,100.847616,576.753664,24.41216,14.323712
38:03.9,0,0,14.66050722,0,0,176.340992,100.847616,422.158336,24.41216,14.323712
38:04.9,38.40177821,0,528.4084681,0,0,185.769984,100.847616,504.97536,24.41216,14.323712
38:06.0,2.759764488,0,114.5302263,0,0,185.7536,100.847616,423.825408,24.41216,14.323712
38:07.2,25.31775434,0,321.1357261,3.997540159,0,195.977216,100.847616,517.492736,27.500544,14.62272
38:07.9,20.96447779,0,216.6329372,0,2.329386421,195.579904,100.847616,373.88288,27.46368,14.78656
38:09.2,5.589606194,0,362.6257019,2.096102323,3.493503871,195.796992,100.847616,527.089664,31.203328,21.078016
38:10.9,0,0,356.9573442,2.039756253,0,195.796992,100.847616,502.951936,31.502336,21.078016
38:12.0,0,0,613.2807823,0,0,196.640768,100.847616,535.138304,31.596544,21.139456
38:14.0,0,0,214.2338442,0,0,196.640768,100.847616,613.470208,31.596544,21.139456
38:14.9,5.281325357,0,200.6903636,0,0,196.943872,100.847616,499.73248,31.596544,21.139456
38:16.2,0,0,409.5627221,0,0,196.943872,100.847616,527.839232,31.596544,21.139456
38:17.9,0,0,283.9270406,0,0,196.943872,100.847616,475.684864,31.596544,21.139456
38:19.1,3.733234789,0,365.8570093,0,0,197.271552,100.847616,579.264512,31.596544,21.139456
38:20.1,1.680409459,0,645.2772321,0,0,197.271552,100.847616,466.993152,31.596544,21.139456
38:20.9,0,0,54.25008832,0,0,197.271552,100.847616,289.64864,31.596544,21.139456
38:22.8,2.419328491,0,523.381397,0,0,197.61152,100.847616,577.708032,31.596544,21.139456
38:23.9,0,0,50.15047976,0,0,197.61152,100.847616,466.505728,31.596544,21.139456
38:25.0,2.822002954,1.411001477,807.0928448,0,0,199.02464,100.847616,567.7056,31.596544,21.139456
38:27.1,0,0,97.39082747,0,0,199.02464,100.847616,607.686656,31.596544,21.139456
38:27.9,1.027024515,0,289.6209133,0,0,199.548928,100.847616,487.09632,31.596544,21.139456
38:29.2,0,0,730.8506443,0,0,199.548928,100.847616,490.37312,31.596544,21.139456
38:30.1,0,0,288.2417501,0,0,199.548928,100.847616,506.355712,31.596544,21.139456
38:30.9,3.917644469,0,123.4058008,0,0,199.827456,100.847616,477.945856,31.596544,21.139456
38:32.4,1.025464801,0,499.4013583,0,0,199.827456,100.847616,591.118336,31.596544,21.139456
38:32.9,0,0,29.74139107,0,0,199.827456,100.847616,463.015936,31.596544,21.139456
38:33.9,0,0,299.9254256,0,0,199.827456,100.847616,361.824256,31.596544,21.139456
38:35.0,7.243512664,0,438.9568674,0,0,200.126464,100.847616,511.229952,31.596544,21.139456
38:36.3,0,0,301.1568516,0,0,200.126464,100.847616,597.83168,31.596544,21.139456
38:36.9,2.771084316,0,343.6144552,0,0,200.056832,100.847616,449.155072,31.596544,21.139456
38:37.9,3.009834115,0,790.0814553,0,0,200.327168,100.847616,548.94592,31.596544,21.139456
38:39.9,0.780612513,0,133.4847397,0,0,200.327168,100.847616,576.323584,31.596544,21.139456
38:41.0,2.771581753,0,485.0268067,0,0,200.671232,100.847616,544.198656,31.596544,21.139456
38:41.9,0,0,183.1190805,0,0,200.671232,100.847616,448.131072,31.596544,21.139456
38:42.9,0,0,412.8463765,0,0,200.671232,100.847616,525.47584,31.596544,21.139456
38:43.9,4.853772782,0,194.1509113,0,0,202.108928,100.847616,465.457152,31.596544,21.139456
38:45.5,0,0,463.8856307,0,0,202.108928,100.847616,595.1488,31.596544,21.139456
38:46.9,4.42306496,1.10576624,182.4514296,0,0,201.44128,100.847616,424.095744,31.596544,21.139456
38:48.1,0,0,672.838106,0,0,201.44128,100.847616,578.957312,31.596544,21.139456
38:49.9,0,0.859565437,157.3004749,0,0,201.44128,100.847616,508.731392,31.596544,21.139456
38:50.9,4.572951676,0,521.3164911,0,0,201.674752,100.847616,498.11456,31.596544,21.139456
38:52.4,0,0,347.1149322,0,0,201.674752,100.847616,589.533184,31.596544,21.139456
38:52.9,3.241147829,3.241147829,100.4755827,0,0,201.674752,100.847616,437.10464,31.596544,21.139456
38:54.4,3.112703989,0,317.4958069,0,0,202.01472,100.847616,595.31264,31.596544,21.139456
38:55.0,0,0,881.3599116,0,0,202.416128,100.847616,514.179072,31.596544,21.139456
38:57.0,2.449427615,1.632951743,155.1304156,0,0,202.416128,100.847616,484.655104,31.596544,21.139456
38:57.9,0,0,570.1780772,0,0,202.416128,100.847616,550.670336,31.596544,21.139456
38:58.9,0,0,57.28644469,0,0,202.416128,100.847616,493.965312,31.596544,21.139456
38:59.9,1.717569944,1.717569944,238.7422222,0,0,202.698752,100.847616,424.574976,31.596544,21.139456
39:02.3,0,0.642999035,411.5193822,0,0,202.698752,100.847616,617.046016,31.596544,21.139456
39:02.9,0,0,143.0118022,0,0,202.698752,100.847616,504.107008,31.547392,21.139456
39:04.2,2.390822425,0,359.8187749,0,0,202.698752,100.847616,495.140864,31.547392,21.139456
39:05.5,0,0,448.0051112,0,0,202.698752,100.847616,599.248896,31.547392,21.139456
39:05.9,0,0,104.4405071,0,0,202.657792,100.847616,443.06432,31.547392,21.139456
39:07.2,2.392312631,0,330.139143,0,0,202.735616,100.847616,568.479744,31.547392,21.139456
39:08.0,0,0,469.3637335,0,0,202.735616,100.847616,486.506496,31.547392,21.139456
39:08.9,0,0,278.5247592,0,0,202.735616,100.847616,522.09664,31.547392,21.139456
39:10.0,1.448688429,2.897376859,423.0170214,0,0,203.030528,100.847616,521.945088,31.547392,21.139456
39:10.9,0,0,327.1015676,0,0,203.030528,100.847616,598.503424,31.547392,21.139456
39:11.9,2.007880917,0,375.4737314,0,0,203.030528,100.847616,517.902336,31.547392,21.139456
39:12.9,3.241355254,1.620677627,155.5850522,0,0,203.38688,100.847616,437.354496,31.547392,21.139456
39:14.0,0,0,805.9235149,0,0,203.38688,100.847616,633.614336,31.547392,21.139456
39:15.9,7.66867151,5.112447673,25.56223837,0,0,204.6976,102.981632,310.49728,31.547392,21.139456
39:16.9,4.751486366,1.583828789,7.919143944,0,0,208.46592,102.981632,309.014528,31.547392,21.139456
