(PDH-CSV 4.0) (Central European Summer Time)(-120),\\DESKTOP-940RFIL\Proces(chrome#6)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#5)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#4)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#6)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#5)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome)\Czas procesora (%)
54:44.5,12.587008,20.86912,15.241216,76.996608,1.949696,1.769472,81.94048, , , , , , , 
54:45.5,12.587008,25.624576,15.200256,87.289856,1.949696,1.769472,82.7392,0,12.5076284,7.817267752,9.380721302,0,0,34.39597811
54:46.5,12.587008,80.191488,15.200256,332.238848,1.949696,1.769472,82.714624,0,37.62218935,0,83.08233481,0,0,1.567591223
54:47.5,18.055168,124.919808,15.212544,358.842368,1.949696,1.769472,82.927616,1.573512225,37.76429341,0,72.38156236,0,0,22.02917115
54:48.5,57.782272,175.828992,15.212544,405.499904,1.949696,1.769472,84.19328,89.06228625,37.49991,0,82.81230125,0,0,59.3748575
54:49.5,60.407808,227.561472,15.212544,466.427904,1.949696,1.769472,84.197376,27.81914244,37.09218992,0,75.72988775,0,0,44.81972948
54:50.5,60.407808,291.26656,15.212544,534.208512,1.949696,1.769472,84.197376,0,34.3876925,0,89.09538511,0,0,3.126153863
54:51.5,61.407232,361.525248,15.212544,607.27296,1.949696,1.769472,84.197376,1.573513335,33.04378003,0,105.4253934,0,0,0
54:52.5,59.518976,306.712576,15.241216,534.130688,1.949696,1.769472,84.197376,0,36.26188431,0,102.4792383,0,0,4.729810997
54:53.5,59.518976,385.204224,15.241216,520.740864,1.949696,1.769472,84.205568,0,35.37136016,0,109.1898509,0,0,0
54:54.5,63.700992,366.6944,15.835136,888.946688,1.949696,1.769472,84.742144,50.67210995,110.5573308,24.56829573,66.02729479,0,0,39.92348057
54:55.5,77.68064,375.865344,15.908864,749.93664,1.949696,1.769472,84.742144,62.877194,117.8947387,26.72280745,6.2877194,0,0,62.877194
54:56.5,81.891328,385.069056,15.908864,751.419392,1.949696,1.769472,84.742144,61.67094016,143.8988604,47.43918474,3.162612316,0,0,75.90269558
54:57.5,89.862144,400.891904,15.908864,565.00224,1.949696,1.769472,84.742144,64.51421564,121.160844,34.617384,1.573517455,0,0,72.38180291
54:58.5,94.707712,408.59648,15.908864,496.68096,1.949696,1.769472,84.983808,66.74756634,113.7742608,37.9247536,9.101940864,0,0,56.12863533
54:59.5,101.011456,425.254912,16.003072,496.697344,1.949696,1.769472,85.327872,64.36665885,139.997483,35.40166237,12.87333177,0,0,74.02165768
55:00.5,107.08992,430.51008,16.101376,496.697344,1.949696,1.769472,85.66784,58.97372508,121.0513304,46.55820401,6.207760535,0,0,63.62954548
55:01.5,112.795648,445.763584,16.101376,496.697344,1.949696,1.769472,85.983232,59.31565469,142.0453836,43.70627187,3.121876562,0,0,73.36409922
55:02.5,116.16256,345.4976,16.101376,433.487872,1.949696,1.769472,86.05696,24.90109286,133.8433741,15.56318304,4.668954911,0,0,34.23900268
55:03.5,116.211712,345.526272,16.101376,432.390144,1.847296,1.671168,85.970944,0,253.4239091,0,0,0,0,1.583899432
55:04.5,117.90336,323.756032,16.420864,431.607808,1.847296,1.671168,85.970944,15.40384393,172.523052,12.32307515,4.62115318,0,0,20.02499711
55:05.5,119.615488,337.084416,16.375808,431.603712,1.847296,1.671168,86.380544,34.34784116,132.7075681,23.41898261,1.561265507,0,0,40.59290319
55:06.5,130.281472,357.5808,16.375808,431.603712,1.847296,1.671168,86.392832,77.3358664,130.997488,53.66162158,4.734848963,0,0,63.13131951
55:07.5,137.322496,366.338048,16.338944,431.423488,1.847296,1.671168,86.360064,54.09080807,114.3634228,46.36354977,0,0,0,52.54535641
55:08.5,144.519168,348.135424,16.338944,431.423488,1.847296,1.671168,86.360064,47.34852311,118.3713078,34.72225028,6.313136415,0,0,56.81822773
55:09.5,151.764992,360.783872,16.338944,428.048384,1.847296,1.671168,86.360064,54.4440751,115.1103302,37.33308007,13.99990502,0,0,77.77725014
55:10.5,158.96576,366.841856,16.338944,428.224512,1.847296,1.671168,86.360064,71.1665556,131.2627581,42.69993336,6.325916053,0,0,63.25916053
55:11.5,167.297024,376.29952,16.338944,428.224512,1.847296,1.671168,86.360064,57.18181885,134.454547,44.81818234,0,0,0,64.90909166
55:12.5,174.297088,387.751936,16.338944,428.224512,1.847296,1.671168,86.360064,69.11645545,130.3787682,40.84154185,9.424971197,0,0,65.97479838
55:13.5,184.9344,394.358784,16.338944,428.224512,1.847296,1.671168,86.40512,50.16708146,128.5531463,54.87024535,12.54177037,0,0,79.95378608
55:14.5,192.548864,408.436736,17.911808,428.224512,1.847296,1.671168,86.40512,43.14298255,130.9697685,32.35723691,1.540820805,0,0,84.74514429
55:15.5,199.000064,420.102144,17.89952,428.224512,1.847296,1.671168,86.69184,56.00814563,138.4645822,40.4503274,3.111563646,0,0,66.89861839
55:16.5,206.348288,352.468992,17.89952,428.224512,1.847296,1.671168,86.69184,55.84736032,143.607498,51.06044372,1.595638866,0,0,68.61247125
55:17.5,214.491136,356.073472,17.85856,428.224512,1.847296,1.671168,86.69184,52.91334134,141.6210018,42.01941813,1.556274745,0,0,82.48256151
