start,end,total
54,19766,19713
19781,39267,19486
39281,58403,19122
58417,77693,19276
77706,96705,18999
96721,116179,19457
116194,135042,18849
135056,153964,18908
153981,173323,19342
173336,192477,19141
192493,211865,19372
211879,230739,18860
230752,250360,19608
250376,269451,19075
269465,288404,18939
288416,308201,19785
308220,327205,18986
327219,346192,18973
346207,365983,19777
366005,384894,18889
384911,403859,18948
403874,423680,19805
423694,442685,18991
442700,461803,19103
461818,480792,18974
480807,500605,19798
500620,519640,19019
519656,538588,18932
538602,558443,19841
558460,577376,18917
577392,596405,19013
596419,616545,20125
616570,635698,19128
635712,654746,19034
654762,675136,20374
675152,694160,19008
694175,713296,19122
713312,733394,20082
733409,752430,19021
752446,771484,19038
771497,791671,20174
791685,810759,19075
810774,829701,18928
829715,850228,20512
850243,869167,18924
869181,888362,19181
888377,908773,20396
908792,927784,18992
927806,946774,18968
946791,967219,20427
