(PDH-CSV 4.0) (Central European Summer Time)(-120),\\DESKTOP-940RFIL\Proces(chrome#6)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#5)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#4)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#6)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#5)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome)\Czas procesora (%)
07:40.6,29.888512,20.598784,14.78656,93.57312,1.937408,1.785856,60.186624,28.34489402,11.02301434,0,4.724149003,0,0,29.91961035
07:41.6,59.363328,27.930624,15.17568,130.772992,1.937408,1.785856,61.48096,80.05237874,6.278617941,4.708963455,51.79859801,0,0,37.67170764
07:42.8,60.86656,98.533376,15.241216,192.8192,1.937408,1.785856,62.603264,15.20707412,70.96634589,5.069024707,101.3804941,0,0,25.34512353
07:44.3,75.476992,95.199232,16.306176,194.19136,1.937408,1.785856,80.46592,28.05699524,212.5856947,26.97788004,15.10761282,0,0,61.50956649
07:44.6,77.94688,118.513664,16.310272,233.775104,1.937408,1.785856,81.297408,69.12731903,497.716697,27.65092761,23.04243968,0,0,193.5564933
07:45.7,80.207872,125.861888,16.330752,229.572608,1.937408,1.785856,81.338368,13.31425738,107.9934209,14.79361931,7.396809653,0,0,31.06660054
07:46.9,88.424448,139.85792,15.58528,226.459648,1.937408,1.798144,83.51744,42.87396638,349.8125893,42.87396638,16.56494156,0,0,60.41331626
07:48.6,89.317376,137.29792,15.58528,222.101504,1.937408,1.798144,83.607552,6.893773676,66.6398122,8.042735955,3.446886838,0,0,8.042735955
07:49.6,92.16,134.590464,15.58528,208.36352,1.937408,1.798144,83.90656,36.76407779,305.3016895,36.76407779,6.393752659,0,0,36.76407779
07:50.6,96.804864,147.902464,15.58528,180.71552,1.937408,1.798144,83.902464,26.7698971,179.5157806,28.34459693,6.298799318,0,0,28.34459693
