(PDH-CSV 4.0) (Central European Summer Time)(-120),\\DESKTOP-940RFIL\Proces(chrome#6)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#5)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#4)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#6)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#5)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome)\Czas procesora (%)
49:14.2,11.763712,49.737728,14.938112,93.343744,1.933312,1.839104,58.871808,0,157.1316505,7.096268086,8.11002067,0,0,25.34381459
49:15.0,11.763712,63.213568,14.962688,93.233152,1.933312,1.851392,77.344768,0,223.9591946,22.21082922,5.552707305,0,0,62.93068279
49:16.3,12.16512,74.723328,16.011264,84.774912,1.933312,1.851392,79.384576,0,183.6314365,10.20174647,6.376091546,0,0,44.63264082
49:17.4,12.685312,82.649088,21.786624,78.774272,1.933312,1.851392,79.745024,0,185.9072043,10.01038792,12.87049876,0,0,27.17105293
49:18.2,12.685312,89.731072,18.223104,78.528512,1.933312,1.851392,80.1792,0,224.3928558,11.21964279,13.08958325,0,0,43.00863069
49:18.7,12.685312,71.786496,16.502784,78.528512,1.933312,1.851392,79.314944,0,246.6173446,19.46979036,3.24496506,0,0,29.20468554
49:19.7,12.685312,74.141696,15.454208,75.137024,1.933312,1.851392,79.622144,0,278.3014014,12.72234978,22.26411211,0,0,30.21558073
49:20.8,12.685312,93.55264,15.52384,74.838016,1.933312,1.851392,79.798272,0,326.893538,16.62170532,20.77713165,0,0,47.09483175
49:21.8,12.685312,100.569088,15.52384,66.347008,1.933312,1.851392,80.248832,0,177.8404371,9.120022413,13.68003362,0,0,28.88007098
49:22.7,12.685312,112.242688,19.329024,63.791104,1.933312,1.851392,79.921152,0,225.5900341,20.34008504,16.64188776,0,0,44.37836736
49:23.9,12.685312,84.959232,16.285696,64.069632,1.933312,1.851392,80.40448,0,314.2115803,23.69055566,21.19681296,0,0,56.10921077
49:25.2,12.685312,90.763264,16.285696,64.069632,1.933312,1.851392,80.621568,0,146.6567884,8.554979323,10.99925913,0,0,37.886337
49:25.9,12.685312,107.032576,16.289792,63.807488,1.933312,1.851392,80.764928,0,264.4535208,8.670607238,10.83825905,0,0,41.18538438
49:26.8,12.685312,107.184128,16.289792,63.807488,1.933312,1.851392,82.345984,0,226.7711441,10.97279729,9.143997745,0,0,60.35038512
49:27.7,12.685312,110.432256,16.289792,63.807488,1.933312,1.851392,82.501632,0,195.9205376,10.59029933,21.18059866,0,0,38.83109755
49:28.7,12.685312,107.237376,16.289792,64.135168,1.933312,1.851392,82.501632,0,338.2409568,23.42794506,19.03520536,0,0,35.14191759
49:29.7,12.685312,121.991168,16.289792,64.135168,1.933312,1.851392,82.501632,0,261.6618614,14.44758744,24.0793124,0,0,30.50046237
