start,end,total
44,1169,1125
1172,2105,933
2113,3194,1081
3197,4278,1081
4280,5128,848
5130,5937,807
5940,6586,646
6588,7224,636
7225,7982,757
7984,8776,793
8778,9607,829
9610,10450,841
10454,11288,834
11289,12123,834
12125,12911,786
12913,13748,835
13749,14553,804
14555,15183,628
15186,15827,641
15828,16473,644
16474,17112,638
17113,17744,630
17745,18366,621
18367,18980,613
18985,19608,623
19609,20254,645
20256,20877,621
20878,21538,660
21539,22177,637
22178,22806,628
22809,23445,636
23446,24082,636
24083,24714,631
24716,25328,612
25329,25954,625
25955,26587,632
26590,27210,619
27211,27830,619
27832,28454,622
28455,29066,611
29068,29715,646
29717,30334,617
30338,30976,639
30978,31592,614
31593,32197,604
32198,32823,625
32824,33439,615
33441,34053,612
34057,34629,572
34630,35245,615
