(PDH-CSV 4.0) (,\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne
31:03.9,14.2857346,9.523823069,6.349215379,0,0,141.684736,86.843392,42.811392,27.332608,14.946304
31:04.9,12.49839646,7.811497785,4.686898671,0,0,142.00832,87.498752,42.971136,27.332608,14.946304
31:05.9,10.7705691,12.30922183,81.54859464,0,0,142.856192,87.580672,234.262528,26.488832,14.946304
31:06.9,14.13803386,12.56714121,262.3390727,0,0,144.044032,87.71584,346.615808,26.488832,14.946304
31:07.9,78.12492188,10.93748906,259.3747406,0,0,149.024768,87.71584,349.601792,26.488832,14.946304
31:08.9,97.75633387,15.51687839,142.7552812,0,0,213.712896,149.03296,308.67456,26.488832,14.946304
31:09.9,99.15268834,15.73852196,228.2085684,0,0,246.718464,139.300864,312.303616,26.488832,14.946304
31:10.9,90.62479156,14.06246766,195.3120508,0,0,289.734656,139.399168,325.025792,26.488832,14.946304
31:11.9,95.88752154,12.37258342,269.1036895,0,0,320.9216,121.040896,335.126528,26.488832,14.946304
31:12.9,112.6983555,9.523804686,206.3491015,0,0,298.86464,121.040896,338.825216,26.488832,14.946304
31:13.9,99.99999015,12.3076911,241.5384378,0,0,331.853824,120.188928,351.883264,26.488832,14.946304
31:14.9,114.2855053,6.349194739,201.586933,0,0,307.265536,120.188928,355.704832,26.488832,14.946304
31:15.9,107.6925728,10.76925728,198.462027,0,0,333.590528,113.815552,364.351488,26.488832,14.946304
31:16.9,107.5789115,20.56655662,213.5757803,0,0,328.43776,113.02912,373.006336,26.488832,14.946304
