(PDH-CSV 4.0) (,\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne
23:52.2,18.89240909,9.446204545,4.723102273,0,1.574367424,213.123072,177.545216,59.16672,29.773824,14.934016
23:53.2,21.53848275,13.84616748,44.61542854,0,0,215.474176,214.36416,135.31136,29.773824,14.934016
23:54.2,45.88352041,14.23971323,188.2806527,0,0,244.252672,411.947008,226.852864,27.348992,14.934016
23:55.2,72.76171827,15.48121665,216.7370331,1.548121665,0,288.6656,412.106752,214.614016,27.348992,14.934016
23:56.2,90.02969805,3.158936774,270.0890941,0,0,306.089984,412.106752,213.147648,27.348992,14.934016
23:57.2,54.27964815,9.30508254,317.9236535,0,0,325.804032,174.63296,224.694272,27.348992,14.934016
23:58.2,84.12683884,4.761896538,246.0313211,0,0,273.825792,145.309696,228.663296,26.50112,14.934016
23:59.2,56.19294169,7.804575234,312.1830094,0,0,293.82656,144.490496,240.365568,26.50112,14.934016
24:00.2,85.93746563,7.812496875,265.6248938,0,0,313.982976,144.490496,242.417664,26.50112,14.934016
24:01.2,69.23087148,7.692319053,286.1542688,0,0,343.650304,144.490496,252.014592,26.50112,14.934016
24:02.2,88.06601302,10.62865674,255.0877619,0,0,321.548288,144.359424,254.85312,26.50112,14.934016
24:03.2,72.58071259,6.451618897,270.9679937,0,0,343.371776,144.359424,265.801728,26.50112,14.934016
24:04.2,45.31247734,1.562499219,184.3749078,0,0,352.01024,149.762048,261.378048,26.50112,14.934016
24:05.2,78.12488281,3.124995313,287.4995688,0,0,337.747968,149.762048,260.411392,26.50112,14.934016
24:06.2,71.87502156,3.125000938,285.9375858,0,0,364.142592,149.762048,266.850304,26.50112,14.934016
24:07.2,67.27028955,10.95097737,265.9523075,0,0,349.14304,113.647616,276.819968,26.50112,14.934016
24:08.2,54.68757109,6.250008125,271.8753534,0,0,377.409536,113.647616,282.595328,26.443776,14.934016
24:09.2,78.1250625,10.93750875,275.00022,0,0,367.763456,113.647616,236.486656,26.443776,14.934016
24:10.2,60.31704365,9.523743734,282.5377308,0,0,397.000704,112.484352,236.35968,26.443776,14.934016
24:11.2,89.23139303,13.84625064,241.5401501,0,0,390.520832,112.484352,238.997504,26.443776,14.934016
