(PDH-CSV 4.0) (,\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne
11:04.2,57.14288617,25.3968383,109.5238652,0,0,206.143488,384.421888,130.68288,29.88032,14.848
11:05.2,49.49123015,7.733004712,272.2017658,0,0,225.910784,258.555904,151.9616,29.88032,14.848
11:06.2,49.20652416,12.69845785,285.7153016,0,0,240.492544,258.506752,128.352256,29.88032,14.848
11:07.2,73.43741922,7.812491406,271.8747009,0,0,249.798656,162.537472,141.246464,29.88032,14.99136
11:08.2,107.8123059,17.18746906,176.5621822,0,0,263.10656,162.230272,142.974976,29.88032,14.99136
11:09.2,68.75000688,9.375000938,265.6250266,0,0,292.491264,162.230272,160.014336,27.377664,14.99136
11:10.2,79.61678896,12.24873676,260.2856562,0,0,292.10624,160.919552,173.056,27.377664,14.99136
11:11.2,66.30371131,7.893298966,251.0069071,0,0,302.436352,160.722944,155.500544,27.377664,14.99136
11:12.2,67.18753359,3.125001563,267.1876336,0,0,324.923392,160.628736,164.724736,27.377664,14.99136
11:13.2,114.0626483,12.50001625,226.5627945,0,0,311.45984,155.910144,167.862272,26.210304,14.99136
11:14.2,74.999835,4.687489688,259.3744294,0,0,342.085632,161.091584,175.931392,26.210304,14.99136
11:15.2,79.29899835,1.554882321,241.0067597,0,0,330.256384,160.190464,154.7264,26.210304,14.99136
11:16.2,69.46027999,7.893213635,252.5828363,0,0,358.191104,160.190464,155.963392,26.210304,14.99136
11:17.2,87.49995625,6.249996875,228.1248859,0,0,360.390656,116.707328,172.118016,26.210304,14.99136
11:18.2,62.4999875,6.24999875,267.1874466,0,0,376.123392,116.707328,179.859456,26.210304,14.99136
11:19.2,84.61520966,6.15383343,259.9994624,0,0,367.55456,116.707328,151.228416,26.210304,14.99136
11:20.2,56.62425233,6.291583593,250.0904478,0,0,376.897536,116.252672,161.71008,26.210304,14.99136
11:21.2,62.66911888,3.133455944,252.2432035,0,0,396.107776,116.252672,168.255488,26.210304,14.99136
11:22.2,76.56249234,9.374999063,235.9374764,0,0,382.160896,116.252672,173.248512,26.210304,14.99136
11:23.2,51.56250516,4.687500469,278.1250278,0,0,413.003776,116.252672,147.398656,26.15296,14.99136
11:24.2,90.62487313,9.374986875,246.8746544,0,0,409.94816,116.252672,168.091648,26.15296,14.99136
11:25.2,76.56257656,4.687504688,234.3752344,0,0,434.364416,116.252672,177.373184,26.15296,14.99136
11:26.2,95.88850861,6.186355394,242.8144492,0,0,433.64352,116.252672,190.971904,26.15296,14.99136
11:27.2,79.36533737,4.761920242,255.5563863,0,0,428.601344,116.252672,152.735744,26.15296,14.99136
11:28.2,74.999775,6.24998125,248.4367547,0,0,464.818176,116.207616,176.058368,26.124288,14.99136
11:29.2,77.65761763,6.21260941,208.1224152,0,0,450.977792,116.207616,176.365568,26.124288,14.99136
11:30.2,78.12494531,14.06249016,232.812337,0,0,478.154752,116.207616,182.788096,26.124288,14.99136
11:31.2,83.34344979,4.630191655,229.9661855,0,0,478.711808,116.207616,188.817408,26.124288,14.99136
11:32.2,93.65064143,1.587299007,219.047263,0,0,466.51392,116.207616,182.530048,26.124288,14.99136
11:33.2,79.68744422,9.374993438,232.812337,0,0,502.02624,116.207616,181.669888,26.124288,14.99136
11:34.2,88.6592423,12.44340243,209.982416,0,0,503.95136,116.207616,200.085504,26.157056,14.99136
11:35.2,87.30133011,9.523781466,215.8723799,0,0,526.139392,116.207616,208.863232,26.157056,14.99136
11:36.2,83.5989675,9.288774167,241.5081283,0,0,513.630208,116.207616,181.649408,26.157056,14.99136
11:37.2,83.0767922,9.230754689,161.5382071,0,0,500.682752,125.415424,176.062464,26.157056,14.99136
11:38.2,3.174573505,3.174573505,3.174573505,0,0,501.317632,125.415424,174.452736,26.157056,14.99136
11:39.2,1.56232252,10.93625764,0,0,0,501.387264,125.415424,174.452736,26.157056,14.99136
