start,end,total
76,16625,16549
16651,32793,16142
32811,49223,16411
49237,64371,15135
64386,79058,14672
79073,93498,14425
93519,108063,14545
108078,122705,14626
122717,137060,14343
137078,152014,14936
152031,166582,14551
166599,180934,14335
180947,195519,14572
195533,210018,14485
210028,224453,14425
224469,238841,14373
238854,253526,14672
253537,267944,14407
267963,282281,14318
282292,297039,14747
297055,311502,14446
311524,326352,14828
326369,340839,14470
340859,355373,14515
355385,370367,14982
370382,384710,14328
384734,399452,14718
399469,413775,14305
413792,428782,14990
428792,443300,14508
443314,457781,14467
457804,472456,14652
472467,486798,14332
486823,501837,15014
501855,516273,14418
516286,530683,14397
530693,545121,14428
545134,560302,15169
560324,574602,14277
574623,589131,14508
589141,603455,14314
603472,617918,14446
617936,633279,15342
633291,647609,14318
647621,661883,14262
661899,676328,14429
676339,690746,14406
690756,705136,14381
705151,720452,15301
720467,734818,14352
