(PDH-CSV 4.0) (Central European Summer Time)(-120),\\DESKTOP-940RFIL\Proces(chrome#6)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#5)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#4)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#6)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#5)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome)\Czas procesora (%)
0.008,574.177,320.020,150.651,2293.924,19.333,17.736,796.180,0.000,0.000,0.000,0.000,0.000,0.000,37.739
0.008,578.028,840.499,146.637,2730.762,19.333,17.736,804.741,18.603,35.656,6.201,49.608,0.000,0.000,35.656
0.008,659.087,1266.934,153.272,2713.600,19.333,17.859,858.563,38.217,132.591,13.259,26.518,0.000,0.000,49.916
0.008,913.121,1419.346,156.549,2228.470,19.333,17.981,873.882,57.468,201.407,17.724,11.816,0.000,0.000,63.376
0.008,956.129,1584.620,156.549,2192.835,19.333,17.981,873.882,49.526,195.451,15.035,1.769,0.000,0.000,22.994
0.008,974.356,1624.719,156.549,2192.835,19.333,17.981,873.882,33.968,115.490,27.174,0.000,0.000,0.000,16.984
0.008,971.858,1480.950,156.549,2189.353,19.333,17.981,873.882,38.377,201.023,12.792,1.827,0.000,0.000,43.860
0.008,1042.883,1288.233,156.549,1686.323,19.333,17.981,874.742,36.995,237.204,16.321,10.881,0.000,0.000,48.964
0.008,1078.231,1319.895,156.549,1689.887,19.333,17.981,854.303,62.870,164.571,20.340,11.095,0.000,0.000,33.284
0.008,1077.780,1330.504,156.549,1729.044,19.333,17.981,854.303,32.840,205.249,30.787,20.525,0.000,0.000,49.260
0.008,1112.965,1444.250,160.154,1757.471,19.333,17.981,854.303,56.324,161.750,17.330,5.777,0.000,0.000,37.549
0.008,1117.716,1479.434,160.154,1449.779,19.333,17.981,854.303,59.396,193.817,18.756,14.067,0.000,0.000,43.765
0.008,1145.528,1551.729,160.154,1473.413,19.333,17.981,854.303,59.563,268.728,34.630,6.926,0.000,0.000,67.875
0.008,1198.162,1635.205,160.154,1747.763,19.333,17.981,854.303,34.768,94.077,6.135,8.181,0.000,0.000,18.406
0.008,1243.832,1697.096,160.154,1734.943,19.333,17.981,854.303,64.978,250.846,22.667,12.089,0.000,0.000,49.867
0.008,1238.589,1414.513,157.737,1853.112,19.333,17.981,854.303,34.649,133.646,21.449,14.850,0.000,0.000,49.498
0.008,1257.841,1464.320,158.269,2077.000,19.333,17.981,854.303,48.425,120.254,8.878,46.810,0.000,0.000,62.145
0.008,1305.108,1548.820,160.154,2073.600,18.350,16.998,850.493,1128.520,3674.925,376.173,115.746,0.000,0.000,1041.711
0.008,1311.252,1627.382,160.154,2073.600,18.350,16.998,850.493,2.953,16.244,0.000,0.000,0.000,0.000,1.477
0.008,1383.301,1654.211,160.154,2069.996,18.350,16.998,850.493,75.455,214.293,25.655,0.000,0.000,0.000,33.200
0.008,1367.409,1687.757,160.154,1941.258,18.350,16.998,850.493,51.142,211.165,16.497,4.949,0.000,0.000,44.543
0.008,1548.329,1379.205,164.536,1525.432,18.350,16.998,854.753,162.630,655.635,57.279,24.548,0.000,0.000,133.991
0.008,1511.014,1321.247,164.577,1523.343,18.350,16.998,854.753,9.269,37.958,3.972,0.883,0.000,0.000,5.738
0.008,1636.844,1470.833,164.536,1523.343,18.350,16.998,852.746,103.871,392.132,44.286,15.299,0.000,0.000,84.546
0.008,1680.220,1429.996,164.536,1516.134,18.350,16.998,852.746,16.286,80.907,6.830,4.728,0.000,0.000,19.439
0.008,1747.927,1321.738,168.673,1611.612,18.350,16.998,852.746,64.611,185.953,22.062,11.031,0.000,0.000,42.549
0.008,1784.504,1731.092,174.121,1790.280,18.350,16.998,852.746,23.356,135.463,16.349,54.886,0.000,0.000,29.195
0.009,2083.840,1677.025,179.814,1662.116,18.350,16.998,853.606,51.266,204.767,24.143,9.240,0.000,0.000,45.305
0.009,2259.272,1904.271,179.814,1584.865,18.350,16.998,853.606,141.217,701.532,47.072,12.148,0.000,0.000,124.514
0.009,2327.429,1816.084,179.814,1584.865,18.350,16.998,853.606,15.928,64.812,10.985,3.845,0.000,0.000,17.027
