(PDH-CSV 4.0) (,\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne
55:44.9,21.87433502,7.812262507,0,0,0,1278.971904,117.313536,30.580736,64.974848,15.200256
55:45.9,26.56239375,4.68748125,0,1.56249375,0,1254.416384,117.215232,30.580736,65.052672,15.200256
55:46.9,0,3.07869216,0,0,0,1254.469632,117.215232,30.580736,65.314816,15.200256
55:47.9,6.34914572,6.34914572,0,0,0,1254.469632,106.532864,30.580736,65.314816,15.200256
55:48.9,4.615424606,7.692374344,0,1.538474869,0,1254.531072,106.532864,30.580736,65.314816,15.200256
55:49.9,30.16168083,14.28711197,0,46.03624969,0,1245.159424,182.849536,30.580736,185.962496,15.200256
55:50.9,69.23237116,0,0,260.0060161,0,1269.633024,182.849536,30.580736,268.386304,15.200256
55:51.9,70.72457675,1.571657261,0,281.3266497,0,1290.194944,182.849536,30.580736,272.273408,15.200256
55:52.9,58.73004537,6.349194094,0,311.1105106,0,1303.588864,160.288768,30.580736,278.24128,15.200256
55:53.9,78.12507813,6.25000625,0,306.2503063,0,1318.977536,92.540928,30.580736,286.875648,15.200256
55:54.9,59.37498813,10.93749781,0,306.2499388,0,1332.207616,92.540928,30.580736,254.169088,15.200256
55:55.9,67.18759406,9.375013125,0,256.2503588,0,1341.17376,92.540928,30.580736,245.731328,15.200256
55:56.9,88.15441258,7.732843209,0,238.1715708,0,1338.650624,92.409856,30.580736,248.725504,15.200256
55:57.9,87.6923595,7.692312237,0,258.4616912,0,1332.629504,91.754496,30.580736,265.056256,15.200256
55:58.9,80.78671638,7.920266312,0,293.0498535,0,1334.55872,91.754496,30.580736,210.210816,15.200256
55:59.9,57.81089286,0,0,196.869527,0,1319.092224,91.754496,30.580736,269.94688,15.200256
56:00.9,72.30965735,4.615510044,0,244.6220323,0,1341.509632,91.754496,30.580736,265.965568,15.200256
56:01.9,70.58072794,1.568460621,0,239.974475,0,1322.115072,91.754496,30.580736,265.986048,15.200256
56:02.9,76.19067743,6.349223119,0,280.953123,0,1349.976064,91.754496,30.580736,248.823808,15.200256
56:03.9,81.24998375,3.124999375,0,257.8124484,0,1338.994688,91.754496,30.580736,250.011648,15.200256
56:04.9,78.12480469,7.812480469,0,268.7493281,0,1347.9936,91.754496,30.580736,273.330176,15.200256
56:05.9,75.0002475,9.375030938,0,212.5007013,0,1188.872192,96.473088,30.580736,262.877184,15.200256
56:06.9,78.86080221,7.731451197,0,250.4990188,0,1204.703232,96.473088,30.580736,235.954176,15.200256
56:07.9,82.539649,7.936504712,0,222.2221319,0,1207.230464,96.473088,30.580736,245.276672,15.200256
56:08.9,66.15376148,6.153838277,0,281.5381012,0,1227.972608,79.241216,30.580736,247.209984,15.200256
56:09.9,82.53977477,3.174606722,0,226.9843806,0,1218.342912,79.241216,30.580736,255.328256,15.200256
56:10.9,50.76926076,1.538462447,0,215.3847426,0,1223.192576,79.241216,30.580736,352.907264,15.200256
56:11.9,70.69025458,7.854472731,0,213.6416583,0,1227.997184,78.585856,30.580736,301.211648,15.200256
56:12.9,68.74965625,7.812460938,0,242.1862891,0,1241.923584,78.585856,30.580736,303.616,15.200256
56:13.9,81.53894325,4.615411882,0,186.1549459,0,1215.029248,78.585856,30.580736,311.689216,15.200256
56:14.9,80.95234806,12.69840754,0,255.5554517,0,1240.395776,78.585856,30.580736,317.607936,15.200256
56:15.9,74.999985,0,0,245.3124509,0,1265.987584,78.585856,30.580736,279.072768,15.200256
56:16.9,78.87604689,7.732945774,0,256.7337997,0,1258.88512,78.585856,30.580736,295.419904,15.200256
56:17.9,79.36503905,3.174601562,0,234.9205156,0,1275.047936,78.585856,30.580736,291.688448,15.200256
56:18.9,76.5625,9.375,0,270.3125,0,1299.59936,78.585856,30.580736,295.960576,15.200256
56:19.9,68.74993813,1.562498594,0,242.187282,0,1320.206336,78.585856,30.580736,256.049152,15.200256
56:20.9,71.87509344,10.93751422,0,237.5003088,0,1341.628416,78.585856,30.580736,260.419584,15.200256
56:21.9,82.36737845,3.10820296,0,184.9380761,0,1297.903616,78.585856,30.580736,300.56448,15.200256
56:22.9,63.7489825,0,0,200.5760669,0,1270.161408,78.585856,30.580736,344.895488,15.200256
56:23.9,73.01566533,14.28567365,0,198.412134,0,1293.688832,78.585856,30.580736,314.96192,15.200256
56:24.9,83.07716029,7.692329657,0,193.8467074,0,1291.812864,78.585856,30.580736,314.068992,15.200256
56:25.9,77.77766716,3.17459866,0,188.8886202,0,1284.489216,78.585856,30.580736,317.820928,15.200256
56:26.9,76.15185114,3.108238822,0,247.1049864,0,1320.07936,78.585856,30.580736,326.090752,15.200256
56:27.9,75.61668649,3.086395367,0,188.2701174,0,1289.662464,78.585856,30.580736,294.129664,15.200256
56:28.9,70.88699658,6.301066362,0,207.93519,0,1305.862144,78.585856,30.580736,288.784384,15.233024
56:29.9,89.39390472,6.06060371,0,203.0302243,0,1303.195648,78.585856,30.580736,299.692032,15.233024
56:30.9,88.70909137,6.451570281,0,182.2568604,0,1319.968768,78.585856,30.580736,298.82368,15.233024
56:31.9,78.46208697,6.153889174,0,187.6936198,0,1325.920256,78.585856,30.580736,305.942528,15.233024
56:32.9,78.50494825,9.42059379,0,193.1221727,0,1332.035584,78.585856,30.580736,273.502208,15.233024
56:33.9,85.71452952,4.761918307,0,192.0640384,0,1336.549376,78.585856,30.580736,283.992064,15.233024
56:34.9,82.81249172,6.249999375,0,160.9374839,0,1339.318272,78.585856,30.580736,312.578048,15.233024
56:35.9,63.07694171,1.538461993,0,187.6923631,0,1330.50368,78.585856,30.580736,375.554048,15.233024
56:36.9,88.88852769,1.587295137,0,192.0627116,0,1342.091264,78.585856,30.580736,339.910656,15.233024
56:37.9,87.48259096,1.562189124,0,198.3980188,0,1349.349376,78.585856,30.580736,336.216064,15.233024
56:38.9,87.69247174,6.153857666,0,178.4618723,0,1374.507008,78.585856,30.580736,341.409792,15.233024
56:39.9,89.78213976,1.575125259,0,195.3155321,0,1358.647296,78.585856,30.580736,349.048832,15.233024
56:40.9,77.77746173,0,0,185.7135311,0,1374.482432,78.585856,30.580736,243.785728,15.233024
56:41.9,73.846292,9.230786499,0,196.9234453,0,1376.33792,78.585856,30.580736,248.2176,15.233024
56:42.9,89.34622788,4.702433046,0,145.7754244,0,1341.21472,78.585856,30.580736,251.052032,15.233024
56:43.9,71.87482031,3.124992188,0,215.6244609,0,1379.074048,78.585856,30.580736,255.946752,15.233024
56:44.9,80.00014178,6.15385706,0,166.1541406,0,1355.984896,78.585856,30.580736,233.377792,15.233024
56:45.9,82.53966577,6.349205059,0,206.3491644,0,1400.987648,78.585856,30.580736,241.229824,15.233024
56:46.9,93.74994375,7.812495313,0,132.8124203,0,1365.213184,78.585856,30.580736,249.131008,15.233024
56:47.9,83.51606235,1.546593747,0,191.7776247,0,1388.25728,78.585856,30.580736,243.810304,15.233024
56:48.9,75.36268291,3.140111788,0,171.1360924,0,1379.504128,78.585856,30.580736,217.042944,15.233024
56:49.9,55.55547654,4.761897989,0,180.9521236,0,1396.281344,78.733312,30.580736,299.712512,15.233024
56:50.9,92.30771957,4.615385979,0,133.8461934,0,1381.511168,78.733312,30.580736,299.610112,15.233024
56:51.9,74.60309124,1.587299814,0,211.1108752,0,1416.45824,78.733312,30.580736,309.08416,15.233024
56:52.9,78.79429574,1.544986191,0,152.9536329,0,1382.199296,78.733312,30.580736,307.77344,15.233024
56:53.9,73.84867697,4.615542311,0,241.5467143,0,1427.177472,78.733312,30.580736,285.212672,15.233024
56:54.9,93.65055581,4.761892668,0,157.1424581,0,1401.499648,78.733312,30.580736,292.241408,15.233024
56:55.9,82.81273188,9.37502625,0,204.6880731,0,1440.518144,78.733312,30.580736,296.98048,15.233024
56:56.9,81.24699386,1.56244219,0,140.6197971,0,1396.772864,78.733312,30.580736,290.033664,15.233024
56:57.9,88.20228953,4.642225765,0,160.9304932,0,1411.219456,78.733312,30.580736,270.389248,15.233024
56:58.9,78.96166996,1.579233399,0,167.3987403,0,1427.820544,78.733312,30.580736,265.039872,15.204352
56:59.9,84.37485656,3.124994688,0,184.3746866,0,1420.73856,78.733312,30.580736,275.574784,15.204352
57:00.9,81.25057688,3.125022188,0,173.4387314,0,1453.613056,78.733312,30.580736,280.588288,15.204352
57:01.9,68.75008938,3.125004063,0,218.7502844,0,1475.158016,78.733312,30.580736,252.383232,15.204352
57:02.9,72.75830847,6.192196465,0,170.2854028,0,1497.329664,78.733312,30.580736,252.612608,15.204352
57:03.9,79.36498262,7.936498262,0,182.53946,0,1520.238592,78.733312,30.580736,264.122368,15.204352
57:04.9,65.62503938,1.562500938,0,178.1251069,0,1551.253504,78.733312,30.580736,342.577152,15.204352
57:05.9,79.68720516,1.562494219,0,151.5619392,0,1572.917248,78.733312,30.580736,306.741248,15.204352
57:06.9,103.0774305,3.076938225,0,173.8470097,0,1483.198464,78.733312,30.580736,309.956608,15.204352
57:07.9,85.42936928,9.492152142,0,162.9486118,0,1498.673152,78.733312,30.580736,317.231104,15.204352
57:08.9,80.38088967,7.880479379,0,151.3052041,0,1469.19424,78.733312,30.580736,326.578176,15.204352
57:09.9,79.68746813,0,0,179.6874281,0,1484.808192,78.733312,30.580736,284.85632,15.204352
57:10.9,74.9999925,3.124999688,0,160.9374839,0,1474.961408,78.733312,30.580736,294.576128,15.204352
57:11.9,87.50007875,3.125002813,0,178.1251603,0,1484.02176,78.733312,30.580736,299.044864,15.204352
57:12.9,87.02845373,1.554079531,0,135.2049192,0,1478.692864,78.733312,30.580736,292.864,15.204352
57:13.9,83.9606124,3.109652311,0,181.9146602,0,1491.582976,78.733312,30.580736,298.221568,15.204352
57:14.9,78.46431199,0,0,160.0056558,0,1483.563008,78.733312,30.580736,281.9072,15.204352
57:15.9,79.36325729,1.587265146,0,182.5354918,0,1501.069312,78.733312,30.580736,276.52096,15.204352
57:16.9,81.54046869,4.615498228,0,121.5414533,0,1493.098496,78.733312,30.580736,282.74688,15.204352
57:17.9,74.59806562,4.662379101,0,169.399774,0,1502.6176,78.733312,30.580736,284.246016,15.204352
57:18.9,100.3721122,0,0,74.88078215,0,1474.752512,78.733312,30.580736,259.289088,15.204352
57:19.9,89.50628776,6.172847432,0,162.0372451,0,1495.355392,78.733312,30.580736,270.966784,15.204352
57:20.9,96.82282964,3.174519004,0,131.7425387,0,1517.441024,78.733312,30.580736,281.2928,15.204352
57:21.9,64.61709607,4.615506862,0,169.2352516,0,1497.464832,78.733312,30.580736,345.550848,15.204352
57:22.9,79.36495843,1.587299169,0,171.4283102,0,1516.72832,78.733312,30.580736,321.622016,15.204352
57:23.9,80.42090868,3.093111872,0,199.5057158,0,1552.375808,78.733312,30.580736,325.185536,15.204352
57:24.9,77.77766716,3.17459866,0,192.0632189,0,1583.39072,78.733312,30.580736,327.430144,15.204352
57:25.9,80.00000788,6.15384676,0,187.6923262,0,1603.05152,78.733312,30.580736,338.571264,15.204352
57:26.9,76.19039105,1.587299814,0,219.0473743,0,1629.925376,78.733312,30.580736,303.116288,15.204352
57:27.9,81.53855788,4.615390069,0,153.8463356,0,1649.012736,78.733312,30.580736,304.82432,15.204352
57:28.9,86.35113055,3.140041111,0,147.5819322,20.41026722,1656.950784,78.729216,30.580736,308.641792,22.147072
57:29.9,119.7460959,1.575606525,0,141.8045873,7.878032627,1571.823616,78.729216,30.580736,318.963712,29.425664
57:30.9,79.68748406,0,0,146.8749706,4.687499063,1566.920704,78.729216,30.580736,314.298368,35.291136
57:31.9,90.62494563,1.562499063,0,143.7499138,0,1551.17568,78.729216,30.580736,294.141952,35.291136
57:32.9,85.93739688,0,0,167.1872994,0,1565.548544,78.729216,30.580736,301.973504,35.291136
57:33.9,80.41450933,0,0,153.0968543,0,1562.021888,78.729216,30.580736,307.46624,35.291136
57:34.9,74.6033186,6.349218604,0,165.0796837,0,1576.910848,78.729216,30.580736,303.681536,35.291136
57:35.9,88.47843615,1.552253266,0,130.3892743,0,1548.091392,78.729216,30.580736,281.554944,35.291136
57:36.9,95.99911369,7.741864007,0,122.3214513,0,1569.906688,78.729216,30.580736,271.306752,35.291136
57:37.9,77.77773037,0,0,141.2697552,0,1537.052672,78.729216,30.580736,361.598976,35.291136
57:38.9,77.32664875,0,0,177.8512921,0,1564.012544,78.729216,30.580736,365.682688,35.291136
57:39.9,78.12489063,3.124995625,0,184.3747419,0,1592.958976,78.729216,30.580736,339.054592,35.291136
57:40.9,86.85845477,4.653131505,0,153.5533397,0,1564.418048,78.729216,30.580736,345.059328,35.291136
57:41.9,79.36332984,1.587266597,0,176.1865923,0,1598.533632,78.729216,30.580736,346.13248,35.291136
57:42.9,84.61727588,0,0,138.4646333,0,1563.205632,78.729216,30.580736,349.564928,35.291136
57:43.9,87.92280318,4.71015017,0,177.4156564,0,1609.306112,78.729216,30.580736,323.46112,35.291136
57:44.9,73.0164145,0,0,165.0805893,0,1609.981952,78.729216,30.580736,323.375104,35.291136
57:45.9,87.69262716,10.76927,0,155.3851815,0,1602.596864,78.729216,30.580736,250.494976,35.291136
57:46.9,74.60284872,4.761883961,0,180.9515905,0,1607.585792,78.729216,30.580736,253.882368,35.291136
57:47.9,86.15388857,4.615386888,0,120.0000591,0,1586.76992,78.729216,30.580736,256.241664,35.291136
57:48.9,98.96657531,0,0,164.9442922,0,1612.853248,78.729216,30.580736,263.614464,35.291136
57:49.9,79.68527678,1.562456407,0,129.6838818,0,1629.57312,78.729216,30.580736,234.401792,35.291136
57:50.9,80.00216621,3.077006393,0,183.0818804,0,1604.411392,78.729216,30.580736,244.641792,35.291136
57:51.9,84.12426651,11.11075218,0,155.5505305,0,1637.158912,78.729216,30.580736,241.70496,35.291136
57:52.9,101.5415109,4.615523223,0,130.773158,0,1615.867904,78.729216,30.580736,255.307776,35.291136
57:53.9,73.83194718,3.141784986,0,171.2272818,0,1649.33632,78.729216,30.580736,213.786624,35.291136
57:54.9,90.4760618,4.761897989,0,166.6664296,0,1586.356224,78.729216,30.580736,306.323456,35.291136
57:55.9,81.53860605,6.15385706,0,187.6926403,0,1616.166912,78.729216,30.580736,306.671616,35.291136
57:56.9,80.95247141,3.174606722,0,185.7144932,0,1639.38304,78.729216,30.580736,284.557312,35.291136
57:57.9,82.79070121,1.562088702,0,140.5879832,0,1618.919424,78.729216,30.580736,269.037568,35.291136
57:58.9,77.74797674,0,0,166.3806702,0,1647.80032,78.729216,30.580736,271.597568,35.291136
57:59.9,83.9645477,6.219596126,0,167.9290954,0,1664.626688,78.729216,30.580736,275.324928,35.291136
