start,end,total
5186,15221,10035
15223,26067,10844
26068,37341,11273
37342,50418,13076
50419,64989,14570
64992,79868,14876
79870,96498,16628
96499,112743,16244
112744,129766,17022
129769,146781,17012
146783,163762,16979
163765,179421,15656
179423,196488,17065
196489,212601,16112
212602,229774,17172
229775,246959,17184
246960,264449,17489
264453,281789,17336
281790,298873,17083
298874,315484,16610
315488,332478,16990
332482,349095,16613
349098,366239,17141
366240,383245,17005
383247,400586,17339
400588,417721,17133
417723,434658,16935
434659,451991,17332
451994,469120,17126
469123,486534,17411
486535,503565,17030
503567,520723,17156
520726,537654,16928
537655,554715,17060
554716,571978,17262
571981,589345,17364
589346,606545,17199
606546,623801,17255
623801,641253,17452
641257,657945,16688
657945,675581,17636
675583,693461,17878
693463,711519,18056
711520,728066,16546
728067,745750,17683
745752,763457,17705
763458,780199,16741
780201,797687,17486
797691,815375,17684
815375,833003,17628
