start,end,total
7471864.248862,7471941.008562,76.7597
7471946.765262,7472015.714662,68.9494
7472023.015262,7472088.346462,65.3312
7472094.282062,7472195.349262,101.0672
7472201.157762,7472261.102362,59.9446
7472266.988262,7472325.721162,58.7329
7472330.718662,7472391.887062,61.1684
7472396.700162,7472455.259462,58.5593
7472463.359662,7472524.969162,61.6095
7472529.705962,7472590.512562,60.8066
7472595.349762,7472654.555962,59.2062
7472659.692262,7472721.148762,61.4565
7472726.282962,7472787.162562,60.8796
7472792.069562,7472852.860562,60.791
7472859.787562,7472918.113162,58.3256
7472923.094662,7472987.304062,64.2094
7472992.153362,7473046.223862,54.0705
7473051.366062,7473112.126562,60.7605
7473117.362062,7473178.403562,61.0415
7473183.846162,7473245.768162,61.922
7473250.813262,7473309.391662,58.5784
7473314.314762,7473373.669262,59.3545
7473378.767762,7473443.887462,65.1197
7473448.983962,7473506.392862,57.4089
7473511.189162,7473571.989762,60.8006
7473578.744862,7473636.614962,57.8701
7473641.714062,7473709.450562,67.7365
7473714.363962,7473771.961862,57.5979
7473776.823362,7473835.604162,58.7808
7473840.423762,7473900.025362,59.6016
7473905.018362,7473970.320662,65.3023
7473975.353762,7474036.567962,61.2142
7474041.259462,7474101.786662,60.5272
7474106.639262,7474168.518062,61.8788
7474173.547062,7474233.507762,59.9607
7474238.461362,7474297.874462,59.4131
7474305.506162,7474366.477762,60.9716
7474371.148262,7474428.449962,57.3017
7474433.193362,7474491.401662,58.2083
7474496.202162,7474554.121062,57.9189
7474558.896162,7474621.932262,63.0361
7474626.825162,7474689.082462,62.2573
7474693.920962,7474752.135362,58.2144
7474757.125962,7474816.749062,59.6231
7474821.706462,7474880.283862,58.5774
7474885.122862,7474944.617562,59.4947
7474949.537362,7475009.415262,59.8779
7475016.421162,7475091.152262,74.7311
7475095.955762,7475154.018362,58.0626
7475158.770162,7475216.245962,57.4758
