start,end,total
6484153.054662,6487037.985362,2884.9307
6487709.884362,6490886.524962,3176.6406
6491578.650962,6494654.745562,3076.0946
6495325.736362,6498447.498262,3121.7619
6499164.716162,6502115.949762,2951.2336
6502790.745362,6505788.745562,2998.0002
6506471.599562,6509489.805362,3018.2058
6510175.413562,6513446.947262,3271.5337
6514111.702062,6517113.210162,3001.5081
6517810.271962,6520731.327262,2921.0553
6521422.220862,6524489.086162,3066.8653
6525176.431062,6528099.147662,2922.7166
6528778.054862,6531680.969662,2902.9148
6532376.925062,6535376.779062,2999.854
6536055.807262,6538970.359762,2914.5525
6539672.772362,6542925.727362,3252.955
6543602.478262,6546857.708762,3255.2305
6547581.708862,6550676.364862,3094.656
6551337.750862,6554328.539762,2990.7889
6555012.876962,6558072.071562,3059.1946
6558770.909362,6561699.500862,2928.5915
6562382.911262,6565362.438062,2979.5268
6566044.839762,6569050.180362,3005.3406
6569734.442062,6572675.908162,2941.4661
6573378.460262,6576395.576062,3017.1158
6577121.749362,6580349.967062,3228.2177
6581013.808662,6583924.156562,2910.3479
6584612.596762,6587597.659962,2985.0632
6588258.234562,6591196.719662,2938.4851
6591867.541862,6595012.133062,3144.5912
6595675.863462,6598627.776362,2951.9129
6599294.374362,6602324.704262,3030.3299
6603017.362262,6605958.473262,2941.111
6606649.209962,6609716.327362,3067.1174
6610449.906862,6613462.209762,3012.3029
6614162.482162,6617144.171662,2981.6895
6617804.335762,6620719.922162,2915.5864
6621411.539962,6624342.633562,2931.0936
6625016.013962,6627918.667562,2902.6536
6628616.709562,6631603.738662,2987.0291
6632261.825162,6635189.249462,2927.4243
6635881.064762,6638854.305662,2973.2409
6639546.296262,6642624.312762,3078.0165
6643293.808862,6646207.650962,2913.8421
6646867.334662,6649866.982262,2999.6476
6650606.644762,6653684.648762,3078.004
6654347.401362,6657348.537562,3001.1362
6658032.586662,6661019.776462,2987.1898
6661699.389162,6664752.145562,3052.7564
6665408.706962,6668461.086362,3052.3794
