start,end,total
2130325.229462,2138768.595262,8443.3658
2139635.244562,2149159.566762,9524.3222
2150041.693262,2158914.555962,8872.8627
2159780.066962,2168193.904262,8413.8373
2169039.779162,2177618.423762,8578.6446
2178502.719962,2187285.336162,8782.6162
2188167.749262,2196816.708462,8648.9592
2197725.437162,2206341.907862,8616.4707
2207104.645162,2215944.364162,8839.719
2216673.362862,2225548.879062,8875.5162
2226292.171462,2235000.688862,8708.5174
2235720.806762,2244331.898062,8611.0913
2245203.289562,2253917.097462,8713.8079
2254792.223462,2263421.803562,8629.5801
2264236.915562,2272936.530562,8699.615
2273695.262962,2282501.110662,8805.8477
2283298.583662,2291877.043162,8578.4595
2292662.453762,2301322.586862,8660.1331
2302113.666462,2310913.049862,8799.3834
2311695.584662,2320184.630062,8489.0454
2320925.548662,2329734.608062,8809.0594
2330522.713962,2339247.822762,8725.1088
2339981.051362,2348830.723862,8849.6725
2349595.922562,2358327.437662,8731.5151
2359156.050562,2367833.023462,8676.9729
2368615.671162,2377289.458962,8673.7878
2378069.527162,2386668.343662,8598.8165
2387465.900162,2396587.914962,9122.0148
2397401.346562,2405981.105262,8579.7587
2406722.035762,2415359.906962,8637.8712
2416177.978862,2426678.358462,10500.3796
2427731.518362,2436655.046862,8923.5285
2437440.491362,2446006.858062,8566.3667
2446807.479362,2455452.384462,8644.9051
2456240.057662,2464854.549762,8614.4921
2465616.276762,2473842.672062,8226.3953
2474659.072062,2483269.871062,8610.799
2484049.489862,2492619.988762,8570.4989
2493464.927362,2502196.791762,8731.8644
2503083.485162,2511594.519162,8511.034
2512452.727062,2521050.006962,8597.2799
2521829.446362,2530595.998662,8766.5523
2531334.138862,2539926.551262,8592.4124
2540654.681162,2549337.652462,8682.9713
2550164.702762,2558895.580062,8730.8773
2559769.786262,2568336.511062,8566.7248
2569211.026462,2577743.288262,8532.2618
2578581.479462,2587521.985362,8940.5059
2588290.301762,2596754.523162,8464.2214
2597488.097962,2606100.648862,8612.5509
